"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","2640","0.0-0.0-0.0","744onjtx9a","red","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","13536","0.0-0.0-1.0","744onjtx9a","red","10893.390000000181","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","42311","0.0-0.0-2.0","744onjtx9a","red","28712.335000000163","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","47648","0.0-0.0-3.0","744onjtx9a","red","5329.259999999973","","","","{""Q0"":""18"",""Q1"":""0""}","","","","","","","","","","",""
"","survey-multi-select","4","52955","0.0-0.0-4.0","744onjtx9a","red","5300.339999999778","","","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","62467","0.0-0.0-5.0","744onjtx9a","red","9509.940000000366","","","","{""Q0"":""Female"",""Q1"":""Yes"",""Q2"":""Somewhat better than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","62468","0.0-0.0-6.0","744onjtx9a","red","","","","","","","","","","","","","","","",""
"","instructions","7","119167","0.0-1.0-0.0","744onjtx9a","red","56700.97000000032","","","","","","","[{""page_index"":0,""viewing_time"":23892.209999999977},{""page_index"":1,""viewing_time"":9723.44500000008},{""page_index"":2,""viewing_time"":1754.3949999999313},{""page_index"":3,""viewing_time"":5560.4000000003},{""page_index"":4,""viewing_time"":1227.2849999999307},{""page_index"":5,""viewing_time"":3170.149999999936},{""page_index"":6,""viewing_time"":2710.7150000001566},{""page_index"":7,""viewing_time"":8661.81499999993}]","","","","","","","",""
"","html-keyboard-response","8","121176","0.0-1.0-1.0-0.0","744onjtx9a","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","122178","0.0-1.0-1.0-1.0","744onjtx9a","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","123179","0.0-1.0-1.0-2.0","744onjtx9a","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
