"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","2150","0.0-0.0-0.0","8htcrgls7j","green","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","5396","0.0-0.0-1.0","8htcrgls7j","green","3243.564999999762","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","7881","0.0-0.0-2.0","8htcrgls7j","green","2416.309999999612","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","24206","0.0-0.0-3.0","8htcrgls7j","green","16317.755000000034","","","","{""Q0"":""20"",""Q1"":""0""}","","","","","","","","","","",""
"","survey-multi-select","4","27217","0.0-0.0-4.0","8htcrgls7j","green","3006.17499999953","","","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","34893","0.0-0.0-5.0","8htcrgls7j","green","7673.08999999932","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","34896","0.0-0.0-6.0","8htcrgls7j","green","","","","","","","","","","","","","","","",""
"","instructions","7","89070","0.0-1.0-0.0","8htcrgls7j","green","54173.36499999964","","","","","","","[{""page_index"":0,""viewing_time"":17931.080000000293},{""page_index"":1,""viewing_time"":16863.594999999812},{""page_index"":2,""viewing_time"":3766.380000000019},{""page_index"":3,""viewing_time"":3801.9100000001345},{""page_index"":4,""viewing_time"":3283.9299999996},{""page_index"":5,""viewing_time"":3958.1200000002427},{""page_index"":6,""viewing_time"":1657.975000000064},{""page_index"":7,""viewing_time"":2909.8649999996414}]","","","","","","","",""
"","html-keyboard-response","8","91078","0.0-1.0-1.0-0.0","8htcrgls7j","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","92084","0.0-1.0-1.0-1.0","8htcrgls7j","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","93100","0.0-1.0-1.0-2.0","8htcrgls7j","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","94103","0.0-1.0-1.0-3.0","8htcrgls7j","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","95097","0.0-1.0-2.0-0.0","8htcrgls7j","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
