"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","3902","0.0-0.0-0.0","q4064xaqwn","red","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","9318","0.0-0.0-1.0","q4064xaqwn","red","5413.635","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","16","","","","","","","","","","","","",""
"","external-html","2","12723","0.0-0.0-2.0","q4064xaqwn","red","3385.394999999902","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","21060","0.0-0.0-3.0","q4064xaqwn","red","8325.429999999986","","","","{""Q0"":""19"",""Q1"":""0""}","","","","","","","","","","",""
"","survey-multi-select","4","25311","0.0-0.0-4.0","q4064xaqwn","red","4240.739999999958","","","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","32553","0.0-0.0-5.0","q4064xaqwn","red","7236.369999999966","","","","{""Q0"":""Male"",""Q1"":""No"",""Q2"":""Much better than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","32561","0.0-0.0-6.0","q4064xaqwn","red","","","","","","","","","","","","","","","",""
"","instructions","7","119376","0.0-1.0-0.0","q4064xaqwn","red","86813.70500000002","","","","","","","[{""page_index"":0,""viewing_time"":55293.1900000001},{""page_index"":1,""viewing_time"":11456.92499999996},{""page_index"":2,""viewing_time"":4578.060000000041},{""page_index"":3,""viewing_time"":4716.374999999971},{""page_index"":4,""viewing_time"":4507.229999999938},{""page_index"":5,""viewing_time"":2269.7749999999796},{""page_index"":6,""viewing_time"":870.920000000071},{""page_index"":7,""viewing_time"":3120.8500000000204}]","","","","","","","",""
"","html-keyboard-response","8","121379","0.0-1.0-1.0-0.0","q4064xaqwn","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","122381","0.0-1.0-1.0-1.0","q4064xaqwn","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
