"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","2812","0.0-0.0-0.0","ql32k9rf0j","red","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","9709","0.0-0.0-1.0","ql32k9rf0j","red","6895","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","15220","0.0-0.0-2.0","ql32k9rf0j","red","5292","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","17372","0.0-0.0-3.0","ql32k9rf0j","red","2148","","","","{""Q0"":"""",""Q1"":""""}","","","","","","","","","","",""
"","survey-multi-select","4","24896","0.0-0.0-4.0","ql32k9rf0j","red","7520","","","","{""Q0"":[""Other""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","29104","0.0-0.0-5.0","ql32k9rf0j","red","4206","","","","{""Q0"":""Other"",""Q1"":"""",""Q2"":""""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","29105","0.0-0.0-6.0","ql32k9rf0j","red","","","","","","","","","","","","","","","",""
"","instructions","7","71403","0.0-1.0-0.0","ql32k9rf0j","red","42297","","","","","","","[{""page_index"":0,""viewing_time"":15938},{""page_index"":1,""viewing_time"":5479},{""page_index"":2,""viewing_time"":2507},{""page_index"":3,""viewing_time"":3927},{""page_index"":4,""viewing_time"":2048},{""page_index"":5,""viewing_time"":1822},{""page_index"":6,""viewing_time"":2408},{""page_index"":7,""viewing_time"":8167}]","","","","","","","",""
"","html-keyboard-response","8","73405","0.0-1.0-1.0-0.0","ql32k9rf0j","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","74408","0.0-1.0-1.0-1.0","ql32k9rf0j","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","75409","0.0-1.0-1.0-2.0","ql32k9rf0j","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","76413","0.0-1.0-1.0-3.0","ql32k9rf0j","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
