"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","3598","0.0-0.0-0.0","s1ylc86720","green","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","12497","0.0-0.0-1.0","s1ylc86720","green","8888.59000010416","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","52753","0.0-0.0-2.0","s1ylc86720","green","40201.54000003822","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","61631","0.0-0.0-3.0","s1ylc86720","green","8840.555000118911","","","","{""Q0"":""22"",""Q1"":""4""}","","","","","","","","","","",""
"","survey-multi-select","4","64883","0.0-0.0-4.0","s1ylc86720","green","3237.680000020191","","","","{""Q0"":[""White""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","73078","0.0-0.0-5.0","s1ylc86720","green","8171.839999966323","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Somewhat better than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","73102","0.0-0.0-6.0","s1ylc86720","green","","","","","","","","","","","","","","","",""
"","instructions","7","207125","0.0-1.0-0.0","s1ylc86720","green","134018.77999980934","","","","","","","[{""page_index"":0,""viewing_time"":31064.899999881163},{""page_index"":1,""viewing_time"":8290.920000057667},{""page_index"":2,""viewing_time"":1569.7200000286102},{""page_index"":3,""viewing_time"":6322.045000037178},{""page_index"":4,""viewing_time"":3844.969999976456},{""page_index"":5,""viewing_time"":41012.144999811426},{""page_index"":6,""viewing_time"":3342.0600001700222},{""page_index"":7,""viewing_time"":38571.28999987617}]","","","","","","","",""
"","html-keyboard-response","8","209132","0.0-1.0-1.0-0.0","s1ylc86720","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","210137","0.0-1.0-1.0-1.0","s1ylc86720","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
