"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","3996","0.0-0.0-0.0","v70dhxj50x","red","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","7073","0.0-0.0-1.0","v70dhxj50x","red","3074","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","20530","0.0-0.0-2.0","v70dhxj50x","red","13388","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","27968","0.0-0.0-3.0","v70dhxj50x","red","7396","","","","{""Q0"":""18"",""Q1"":""0""}","","","","","","","","","","",""
"","survey-multi-select","4","36797","0.0-0.0-4.0","v70dhxj50x","red","8827","","","","{""Q0"":[""Black or African-American"",""White""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","46660","0.0-0.0-5.0","v70dhxj50x","red","9860.000000000007","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Somewhat worse than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","46662","0.0-0.0-6.0","v70dhxj50x","red","","","","","","","","","","","","","","","",""
"","instructions","7","250495","0.0-1.0-0.0","v70dhxj50x","red","203838","","","","","","","[{""page_index"":0,""viewing_time"":71130},{""page_index"":1,""viewing_time"":11635.000000000015},{""page_index"":2,""viewing_time"":3951.9999999999854},{""page_index"":3,""viewing_time"":5402},{""page_index"":4,""viewing_time"":2544},{""page_index"":5,""viewing_time"":3539},{""page_index"":6,""viewing_time"":2610},{""page_index"":7,""viewing_time"":103026}]","","","","","","","",""
"","html-keyboard-response","8","252499","0.0-1.0-1.0-0.0","v70dhxj50x","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","253501","0.0-1.0-1.0-1.0","v70dhxj50x","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","254503","0.0-1.0-1.0-2.0","v70dhxj50x","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
