"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","url","responses","question_order","view_history","stimulus","key_press","trialType","color","tgtPosition","orientation","correct","rewardType","reward","value","colorPosition"
"true","fullscreen","0","3195","0.0-0.0-0.0","fudttrkjtv","green","","","","","","","","","","","","","","","",""
"","external-html","1","6727","0.0-0.0-1.0","fudttrkjtv","green","3504.6499999989464","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","","","",""
"","survey-text","2","9506","0.0-0.0-2.0","fudttrkjtv","green","2770.9150000009686","","{""Q0"":"""",""Q1"":""""}","","","","","","","","","","","","",""
"","survey-multi-select","3","10618","0.0-0.0-3.0","fudttrkjtv","green","1110.500000002503","","{""Q0"":[]}","[0]","","","","","","","","","","","",""
"","survey-multi-choice","4","12328","0.0-0.0-4.0","fudttrkjtv","green","1704.2149999979301","","{""Q0"":"""",""Q1"":"""",""Q2"":""""}","[0,1,2]","","","","","","","","","","","",""
"","instructions","5","46299","0.0-1.0-0.0","fudttrkjtv","green","33965.33500000078","","","","[{""page_index"":0,""viewing_time"":25008.764999998675},{""page_index"":1,""viewing_time"":3310.7249999993655},{""page_index"":2,""viewing_time"":897.3000000005413},{""page_index"":3,""viewing_time"":4748.400000000402}]","","","","","","","","","","",""
"","html-keyboard-response","6","48301","0.0-1.0-1.0-0.0","fudttrkjtv","green","null","","","","","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","",""
"","html-keyboard-response","7","49302","0.0-1.0-1.0-1.0","fudttrkjtv","green","null","","","","","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","",""
"","html-keyboard-response","8","50303","0.0-1.0-1.0-2.0","fudttrkjtv","green","null","","","","","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","",""
"","html-keyboard-response","9","51304","0.0-1.0-1.0-3.0","fudttrkjtv","green","null","","","","","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","",""
