"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","url","responses","question_order","value","view_history","stimulus","key_press","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","2169","0.0-0.0-0.0","phdnjr9g08","green","","","","","","","","","","","","","","","",""
"","external-html","1","22172","0.0-0.0-1.0","phdnjr9g08","green","19989","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","","","",""
"","survey-text","2","29119","0.0-1.0-0.0","phdnjr9g08","green","6943","","{""Q0"":""24"",""Q1"":""4""}","","","","","","","","","","","","",""
"","survey-multi-select","3","32235","0.0-1.0-1.0","phdnjr9g08","green","3114","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","","","",""
"","survey-multi-choice","4","39245","0.0-1.0-2.0","phdnjr9g08","green","7008","","{""Q0"":""Male"",""Q1"":""No"",""Q2"":""Somewhat better than average""}","[0,1,2]","","","","","","","","","","","",""
"","call-function","5","39246","0.0-1.0-3.0","phdnjr9g08","green","","","","","","","","","","","","","","","",""
"","instructions","6","78277","0.0-2.0-0.0","phdnjr9g08","green","39031","","","","","[{""page_index"":0,""viewing_time"":26586},{""page_index"":1,""viewing_time"":4670},{""page_index"":2,""viewing_time"":1389},{""page_index"":3,""viewing_time"":4828},{""page_index"":2,""viewing_time"":547},{""page_index"":3,""viewing_time"":1011}]","","","","","","","","","",""
"","html-keyboard-response","7","80285","0.0-2.0-1.0-0.0","phdnjr9g08","green","null","","","","","","<p>Place your fingers on the z and m keys. The experiment will continue shortly.</p><p>&nbsp</p>","null","","","","","","","",""
"","html-keyboard-response","8","81299","0.0-2.0-1.0-1.0","phdnjr9g08","green","null","","","","","","<p>Place your fingers on the z and m keys. The experiment will continue shortly.</p><p>3</p>","null","","","","","","","",""
"","html-keyboard-response","9","82315","0.0-2.0-1.0-2.0","phdnjr9g08","green","null","","","","","","<p>Place your fingers on the z and m keys. The experiment will continue shortly.</p><p>2</p>","null","","","","","","","",""
"","html-keyboard-response","10","83316","0.0-2.0-1.0-3.0","phdnjr9g08","green","null","","","","","","<p>Place your fingers on the z and m keys. The experiment will continue shortly.</p><p>1</p>","null","","","","","","","",""
"","html-keyboard-response","11","83913","0.0-2.0-2.0-0.0","phdnjr9g08","green","null","","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
