"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","url","responses","question_order","value","view_history","stimulus","key_press","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","3911","0.0-0.0-0.0","o23884ukxg","red","","","","","","","","","","","","","","","",""
"","external-html","1","52469","0.0-0.0-1.0","o23884ukxg","red","48534","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","","","",""
"","survey-text","2","58494","0.0-1.0-0.0","o23884ukxg","red","6022","","{""Q0"":""28"",""Q1"":""4""}","","","","","","","","","","","","",""
"","survey-multi-select","3","60840","0.0-1.0-1.0","o23884ukxg","red","2347","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","","","",""
"","survey-multi-choice","4","65558","0.0-1.0-2.0","o23884ukxg","red","4717","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Average""}","[0,1,2]","","","","","","","","","","","",""
"","call-function","5","65560","0.0-1.0-3.0","o23884ukxg","red","","","","","","","","","","","","","","","",""
"","instructions","6","95240","0.0-2.0-0.0","o23884ukxg","red","29682","","","","","[{""page_index"":0,""viewing_time"":15586},{""page_index"":1,""viewing_time"":6522},{""page_index"":2,""viewing_time"":2878},{""page_index"":3,""viewing_time"":4695}]","","","","","","","","","",""
"","html-keyboard-response","7","97242","0.0-2.0-1.0-0.0","o23884ukxg","red","null","","","","","","<p>Place your fingers on the z and m keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","",""
"","html-keyboard-response","8","98247","0.0-2.0-1.0-1.0","o23884ukxg","red","null","","","","","","<p>Place your fingers on the z and m keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","",""
"","html-keyboard-response","9","99247","0.0-2.0-1.0-2.0","o23884ukxg","red","null","","","","","","<p>Place your fingers on the z and m keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","",""
"","html-keyboard-response","10","100250","0.0-2.0-1.0-3.0","o23884ukxg","red","null","","","","","","<p>Place your fingers on the z and m keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","",""
"","html-keyboard-response","11","101064","0.0-2.0-2.0-0.0","o23884ukxg","red","null","","","","","","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","",""
