subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtPos,colPos,colMatch,
05v,RSVPtest,1,r,true,682.6999999880791,2,r,0,0,2,
05v,RSVPtest,2,r,true,120.20000000298023,2,r,0,1,1,
05v,RSVPtest,3,r,true,286.70000000298023,2,r,0,2,1,
05v,RSVPtest,4,r,true,150.6000000089407,1,g,0,0,2,
05v,RSVPtest,5,r,true,133.5,1,g,0,1,1,
05v,RSVPtest,6,r,true,80.1000000089407,1,g,0,2,1,
05v,RSVPtest,7,r,true,220.79999999701977,2,r,1,0,1,
05v,RSVPtest,8,r,true,222.90000000596046,2,r,1,1,2,
05v,RSVPtest,9,r,true,133.8999999910593,2,r,1,2,1,
05v,RSVPtest,10,r,true,160.8999999910593,1,g,1,0,1,
05v,RSVPtest,11,r,true,199.6000000089407,1,g,1,1,2,
05v,RSVPtest,12,r,true,206,1,g,1,2,1,
05v,RSVPtest,13,r,true,204.29999999701977,2,r,2,0,1,
05v,RSVPtest,14,r,true,370.19999998807907,2,r,2,1,1,
05v,RSVPtest,15,r,null,null,2,r,2,2,2,
05v,RSVPtest,16,r,null,null,1,g,2,0,1,
05v,RSVPtest,17,r,true,515.5,1,g,2,1,1,
05v,RSVPtest,18,r,true,842.6000000089407,1,g,2,2,2,
