subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
fw6,VDACtrain,0,g,null,null,1,r,h,0,,,
fw6,VDACtrain,0,g,true,859.2999997138977,2,g,h,5,,,
fw6,VDACtrain,0,g,null,null,1,r,v,4,,,
fw6,VDACtrain,0,g,true,728.0999999046326,2,g,h,3,,,
fw6,VDACtrain,0,g,true,682.8999996185303,2,g,v,0,,,
fw6,VDACtrain,0,g,null,null,1,r,h,1,,,
fw6,VDACtrain,0,g,null,null,1,r,h,2,,,
fw6,VDACtrain,0,g,true,799.5,2,g,v,5,,,
fw6,VDACtrain,0,g,true,788.5,2,g,v,2,,,
fw6,VDACtrain,0,g,false,651.9000000953674,1,r,v,3,,,
fw6,VDACtest,1,g,true,609.5999999046326,1,r,v,4,,,
fw6,VDACtest,2,g,false,698.9000000953674,1,r,v,3,,,
fw6,VDACtest,3,g,true,779.5,2,g,h,1,,,
fw6,VDACtest,4,g,true,705.8000001907349,1,r,h,0,,,
fw6,VDACtest,5,g,true,639.7000002861023,2,g,v,4,,,
fw6,VDACtest,6,g,true,666.2999997138977,2,g,h,1,,,
fw6,VDACtest,7,g,true,683.5,2,g,v,0,,,
fw6,VDACtest,8,g,true,636,1,r,h,3,,,
fw6,VDACtest,9,g,true,680.8000001907349,1,r,v,5,,,
fw6,VDACtest,10,g,false,578.9000000953674,1,r,v,2,,,
fw6,VDACtest,11,g,true,706.5,2,g,v,0,,,
fw6,VDACtest,12,g,true,523.8999996185303,1,r,v,5,,,
fw6,VDACtest,13,g,true,501,2,g,h,5,,,
fw6,VDACtest,14,g,true,882.7999997138977,1,r,v,1,,,
fw6,VDACtest,15,g,false,597,2,g,v,1,,,
fw6,VDACtest,16,g,false,635.9000000953674,2,g,v,2,,,
fw6,VDACtest,17,g,true,674.7999997138977,1,r,h,2,,,
fw6,VDACtest,18,g,true,740.0999999046326,1,r,h,4,,,
fw6,VDACtest,19,g,true,620.3000001907349,1,r,v,3,,,
fw6,VDACtest,20,g,true,659.6999998092651,1,r,v,4,,,
fw6,VDACtest,21,g,true,579.7999997138977,1,r,h,2,,,
fw6,VDACtest,22,g,true,640.7000002861023,2,g,v,3,,,
fw6,VDACtest,23,g,true,780.5999999046326,2,g,h,4,,,
fw6,VDACtest,24,g,true,747.3000001907349,2,g,v,2,,,
fw6,VDACtest,25,g,true,522.0999999046326,2,g,v,2,,,
fw6,VDACtest,26,g,true,651.8000001907349,2,g,h,1,,,
fw6,VDACtest,27,g,null,null,1,r,h,2,,,
fw6,VDACtest,28,g,true,582.7999997138977,2,g,h,2,,,
fw6,VDACtest,29,g,true,666.5999999046326,2,g,v,0,,,
fw6,VDACtest,30,g,true,652.7000002861023,1,r,v,3,,,
fw6,VDACtest,31,g,null,null,2,g,v,1,,,
fw6,VDACtest,32,g,true,622.9000000953674,2,g,h,4,,,
fw6,VDACtest,33,g,true,643.9000000953674,1,r,h,3,,,
fw6,VDACtest,34,g,true,564.2999997138977,2,g,v,2,,,
fw6,VDACtest,35,g,true,570.8000001907349,1,r,h,1,,,
fw6,VDACtest,36,g,true,755.7000002861023,2,g,v,0,,,
fw6,VDACtest,37,g,null,null,1,r,v,2,,,
fw6,VDACtest,38,g,true,679.9000000953674,1,r,v,5,,,
fw6,VDACtest,39,g,true,611.5999999046326,2,g,v,3,,,
fw6,VDACtest,40,g,true,711.2999997138977,2,g,v,0,,,
fw6,VDACtest,41,g,true,557.4000000953674,1,r,h,3,,,
fw6,VDACtest,42,g,true,781.5,2,g,h,1,,,
fw6,VDACtest,43,g,true,812,1,r,v,5,,,
fw6,VDACtest,44,g,true,516.6999998092651,1,r,v,5,,,
fw6,VDACtest,45,g,true,578.2999997138977,2,g,v,5,,,
fw6,VDACtest,46,g,true,938.7999997138977,1,r,v,3,,,
fw6,VDACtest,47,g,null,null,2,g,v,2,,,
fw6,VDACtest,48,g,true,545.3999996185303,1,r,h,4,,,
fw6,VDACtest,49,g,null,null,1,r,v,2,,,
fw6,VDACtest,50,g,true,702.2000002861023,2,g,h,0,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
fw6,VDACtest,51,g,true,895.8999996185303,1,r,h,0,,,
fw6,VDACtest,52,g,true,569.1999998092651,1,r,h,3,,,
fw6,VDACtest,53,g,true,481.40000009536743,2,g,v,3,,,
fw6,VDACtest,54,g,true,747.8999996185303,2,g,h,2,,,
fw6,VDACtest,55,g,true,914.5999999046326,1,r,h,4,,,
fw6,VDACtest,56,g,true,690.4000000953674,1,r,v,2,,,
fw6,VDACtest,57,g,true,546.5,1,r,h,3,,,
fw6,VDACtest,58,g,false,530.7000002861023,1,r,h,1,,,
fw6,VDACtest,59,g,null,null,2,g,h,0,,,
fw6,VDACtest,60,g,true,596.2999997138977,1,r,v,3,,,
fw6,VDACtest,61,g,true,651.8000001907349,2,g,v,2,,,
fw6,VDACtest,62,g,true,603.2000002861023,1,r,h,5,,,
fw6,VDACtest,63,g,false,798.0999999046326,2,g,h,2,,,
fw6,VDACtest,64,g,true,483.7999997138977,2,g,h,2,,,
fw6,VDACtest,65,g,true,588.3000001907349,2,g,v,3,,,
fw6,VDACtest,66,g,true,602.7000002861023,2,g,h,4,,,
fw6,VDACtest,67,g,true,644.3999996185303,2,g,h,2,,,
fw6,VDACtest,68,g,true,594.8999996185303,1,r,v,4,,,
fw6,VDACtest,69,g,true,990.9000000953674,1,r,v,1,,,
fw6,VDACtest,70,g,true,644,1,r,h,5,,,
fw6,VDACtest,71,g,true,714.8999996185303,2,g,v,5,,,
fw6,VDACtest,72,g,true,626.9000000953674,1,r,v,5,,,
fw6,VDACtest,73,g,true,724,2,g,v,0,,,
fw6,VDACtest,74,g,true,938.5,1,r,h,3,,,
fw6,VDACtest,75,g,true,668,1,r,h,5,,,
fw6,VDACtest,76,g,true,955,1,r,h,1,,,
fw6,VDACtest,77,g,true,635.9000000953674,2,g,v,1,,,
fw6,VDACtest,78,g,true,651.8000001907349,1,r,v,0,,,
fw6,VDACtest,79,g,true,730.2999997138977,1,r,v,4,,,
fw6,VDACtest,80,g,true,690.5,1,r,h,0,,,
fw6,VDACtest,81,g,true,653.0999999046326,1,r,h,3,,,
fw6,VDACtest,82,g,true,659.0999999046326,2,g,h,5,,,
fw6,VDACtest,83,g,true,627.0999999046326,1,r,h,0,,,
fw6,VDACtest,84,g,true,741.5,2,g,h,4,,,
fw6,VDACtest,85,g,true,947,1,r,v,1,,,
fw6,VDACtest,86,g,true,578.4000000953674,1,r,h,4,,,
fw6,VDACtest,87,g,true,571.7999997138977,2,g,h,3,,,
fw6,VDACtest,88,g,true,571.5,1,r,v,4,,,
fw6,VDACtest,89,g,true,564.3000001907349,1,r,v,3,,,
