subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
tg9,VDACtrain,0,g,null,null,1,r,h,2,,,
tg9,VDACtrain,0,g,null,null,2,g,v,0,,,
tg9,VDACtrain,0,g,null,null,1,r,v,3,,,
tg9,VDACtrain,0,g,null,null,1,r,h,1,,,
tg9,VDACtrain,0,g,true,632.2999999523163,2,g,v,2,,,
tg9,VDACtrain,0,g,false,600.1000000238419,2,g,h,5,,,
tg9,VDACtrain,0,g,true,598.8999999761581,2,g,v,5,,,
tg9,VDACtrain,0,g,true,583.6000000238419,2,g,h,3,,,
tg9,VDACtrain,0,g,true,808,1,r,h,0,,,
tg9,VDACtrain,0,g,true,791.6000000238419,1,r,v,4,,,
tg9,VDACtest,1,g,true,570.8000000715256,2,g,h,3,,,
tg9,VDACtest,2,g,true,695.8999999761581,2,g,h,4,,,
tg9,VDACtest,3,g,true,662.2000000476837,2,g,h,2,,,
tg9,VDACtest,4,g,true,455,1,r,h,3,,,
tg9,VDACtest,5,g,false,742.7000000476837,1,r,h,0,,,
tg9,VDACtest,6,g,true,870,2,g,h,5,,,
tg9,VDACtest,7,g,false,888.1000000238419,2,g,h,1,,,
tg9,VDACtest,8,g,true,903.6999999284744,1,r,h,5,,,
tg9,VDACtest,9,g,true,772.7000000476837,2,g,v,1,,,
tg9,VDACtest,10,g,true,662.0999999046326,1,r,v,5,,,
tg9,VDACtest,11,g,true,600.3999999761581,2,g,h,5,,,
tg9,VDACtest,12,g,false,903.7000000476837,1,r,v,3,,,
tg9,VDACtest,13,g,true,615.7000000476837,2,g,h,2,,,
tg9,VDACtest,14,g,true,550.7000000476837,1,r,h,2,,,
tg9,VDACtest,15,g,false,516.9000000953674,2,g,v,3,,,
tg9,VDACtest,16,g,true,822.6000000238419,1,r,v,1,,,
tg9,VDACtest,17,g,true,632,1,r,v,2,,,
tg9,VDACtest,18,g,true,486.7000000476837,1,r,v,2,,,
tg9,VDACtest,19,g,true,709.4000000953674,1,r,v,4,,,
tg9,VDACtest,20,g,true,648.2999999523163,1,r,h,5,,,
tg9,VDACtest,21,g,true,934.9000000953674,2,g,v,1,,,
tg9,VDACtest,22,g,true,599.1000000238419,2,g,v,4,,,
tg9,VDACtest,23,g,true,648,1,r,v,1,,,
