subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
x09,VDACtrain,0,r,true,638.2999999821186,1,g,h,5,,,
x09,VDACtrain,0,r,true,835,2,r,h,2,,,
x09,VDACtrain,0,r,true,760.5,2,r,v,4,,,
x09,VDACtrain,0,r,null,null,1,g,v,2,,,
x09,VDACtrain,0,r,true,596.3000000119209,1,g,h,3,,,
x09,VDACtrain,0,r,false,57.29999998211861,2,r,h,0,,,
x09,VDACtrain,0,r,null,null,1,g,v,5,,,
x09,VDACtrain,0,r,true,725.5,2,r,v,3,,,
x09,VDACtrain,0,r,true,945.7999999821186,2,r,h,1,,,
x09,VDACtrain,0,r,true,601.2999999821186,1,g,v,0,,,
x09,VDACtest,1,r,false,763.5999999940395,2,r,h,1,,,
x09,VDACtest,2,r,true,505.90000000596046,1,g,v,3,,,
x09,VDACtest,3,r,true,553.3999999761581,1,g,h,5,,,
x09,VDACtest,4,r,true,450.7000000178814,2,r,h,3,,,
x09,VDACtest,5,r,true,649.5999999940395,2,r,h,5,,,
x09,VDACtest,6,r,true,456.39999997615814,1,g,v,3,,,
x09,VDACtest,7,r,true,627.3000000119209,1,g,v,4,,,
x09,VDACtest,8,r,true,586,1,g,h,4,,,
x09,VDACtest,9,r,false,653.6999999880791,1,g,h,0,,,
x09,VDACtest,10,r,false,540.7999999821186,1,g,v,1,,,
x09,VDACtest,11,r,true,922.0999999940395,1,g,h,4,,,
x09,VDACtest,12,r,true,424.59999999403954,2,r,v,0,,,
x09,VDACtest,13,r,false,721.2999999821186,1,g,h,5,,,
x09,VDACtest,14,r,true,435.40000000596046,1,g,h,5,,,
x09,VDACtest,15,r,true,504.5,1,g,h,0,,,
x09,VDACtest,16,r,true,672.7000000178814,2,r,v,0,,,
x09,VDACtest,17,r,true,625.8000000119209,2,r,v,2,,,
x09,VDACtest,18,r,true,587.3999999761581,2,r,h,4,,,
x09,VDACtest,19,r,true,418.7000000178814,1,g,h,4,,,
x09,VDACtest,20,r,true,722.5999999940395,2,r,v,0,,,
x09,VDACtest,21,r,true,818.7999999821186,2,r,h,2,,,
x09,VDACtest,22,r,true,561.5,2,r,h,1,,,
x09,VDACtest,23,r,true,497.90000000596046,1,g,h,2,,,
x09,VDACtest,24,r,true,497.2999999821186,2,r,v,1,,,
x09,VDACtest,25,r,true,729.5,2,r,v,5,,,
x09,VDACtest,26,r,true,538.5999999940395,2,r,v,4,,,
x09,VDACtest,27,r,true,512.2999999821186,1,g,h,1,,,
x09,VDACtest,28,r,true,575.1999999880791,2,r,v,0,,,
x09,VDACtest,29,r,true,473.5,1,g,h,3,,,
x09,VDACtest,30,r,true,620.0999999940395,1,g,h,0,,,
x09,VDACtest,31,r,true,465.2999999821186,1,g,h,5,,,
x09,VDACtest,32,r,true,482.30000001192093,2,r,h,1,,,
x09,VDACtest,33,r,true,658.1999999880791,1,g,v,0,,,
x09,VDACtest,34,r,true,529.7999999821186,1,g,v,5,,,
x09,VDACtest,35,r,true,746,1,g,h,3,,,
x09,VDACtest,36,r,true,552.6999999880791,1,g,v,0,,,
