SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
0dnzr1v5ju,cmd8a1dgml,Sun Nov 22 2020 15:47:08 GMT-0600 (CST),2020-11-22,15:47:8,1,Familiar,27,NA,NA,NA,NA,1,26,19,0,1,35,17,0,2,1,4668,16:18:50,123652,65376,
0dnzr1v5ju,undefined,undefined,undefined,undefined,2,Know,36,GRACE,GRACE,true,7525,2,5,32,0,2,36,24,0,1,0,4825,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,3,Know,29,ALYSSA,ALYSSA,true,6004,3,32,28,2,3,19,27,0,1,0,4182,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,4,Familiar,17,NA,NA,NA,NA,4,35,17,2,4,8,16,1,0,1,8669,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,5,Know,30,KAREN,KAREN,true,5606,5,25,23,1,5,34,28,1,2,1,3302,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,6,Familiar,12,NA,NA,NA,NA,6,30,21,1,6,32,15,1,2,1,3912.000000000233,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,7,Familiar,26,NA,NA,NA,NA,7,6,3,2,7,2,2,1,1,1,2181,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,8,Know,9,JESSICA,JESSICA,true,5077,8,20,31,2,8,5,32,0,0,0,80680,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,9,Know,16,AUDREY,AUDREY,true,4195.999999999971,9,1,30,0,9,22,3,1,2,1,3399,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,10,Familiar,5,NA,NA,NA,NA,10,4,18,2,10,31,4,1,1,1,2436,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,11,Familiar,33,NA,NA,NA,NA,11,19,27,1,11,17,11,0,0,0,2632,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,12,Know,19,BRIANNA,BRIANNA,true,7454,12,9,33,1,12,15,1,0,2,0,9670.000000000233,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,13,Know,24,EMILY,EMILY,true,4891,13,10,20,0,13,13,10,1,1,1,2968,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,14,Familiar,8,NA,NA,NA,NA,14,14,10,1,14,23,36,1,0,1,2660,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,15,Familiar,10,NA,NA,NA,NA,15,36,24,1,15,1,14,1,0,1,3550.000000000233,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,16,Know,14,PATRICIA,PATRICIA,true,8992,16,18,29,2,16,7,30,1,0,1,3627,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,17,Familiar,7,NA,NA,NA,NA,17,15,1,2,17,6,12,1,2,1,933,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,18,Know,25,MARY,MARY,true,9224.99999999997,18,2,4,1,18,16,34,0,1,0,1339.9999999997672,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,19,Familiar,1,NA,NA,NA,NA,19,28,6,2,19,26,19,0,0,0,1069,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,20,Know,31,ZOEY,ZOEY,true,8064,20,17,11,0,20,14,8,1,1,1,3841,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,21,Know,2,MADISON,MADISON,true,6341.999999999971,21,12,35,0,21,29,26,0,1,0,940,undefined,undefined,undefined,
0dnzr1v5ju,undefined,undefined,undefined,undefined,22,Familiar,23,NA,NA,NA,NA,22,31,2,1,22,12,35,0,0,0,1006,undefined,undefined,undefined,
