SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
2oxkp1ley0,q8kc11col7,Wed Nov 25 2020 13:14:18 GMT-0600 (Central Standard Time),2020-11-25,13:14:18,1,Know,27,SARAH,SARAH,true,2219.7849999647588,1,16,19,1,1,32,30,0,0,0,3371.55999999959,13:35:12,120084.12999997381,61420.42500001844,
2oxkp1ley0,undefined,undefined,undefined,undefined,2,Know,30,SAMANTHA,SAMANTHA,true,2261.845000088215,2,35,6,2,2,21,34,0,2,0,1450.2550000324845,undefined,131969.2550000036,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,3,Familiar,29,NA,NA,NA,NA,3,3,24,0,3,10,10,0,0,1,1687.5949999084696,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,4,Know,16,MEGAN,MEGAN,true,1771.085000014864,4,29,2,0,4,1,15,1,0,0,1342.7199999568984,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,5,Familiar,32,NA,NA,NA,NA,5,7,31,1,5,16,19,0,1,0,1188.5750000365078,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,6,Familiar,10,NA,NA,NA,NA,6,21,34,2,6,6,18,1,1,1,1524.8349999310449,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,7,Know,9,ALYSSA,ALYSSA,true,2004.6500000171363,7,18,3,2,7,12,12,1,1,1,1430.835000006482,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,8,Familiar,25,NA,NA,NA,NA,8,11,33,0,8,8,8,0,2,0,1508.6400000145659,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,9,Familiar,11,NA,NA,NA,NA,9,26,27,1,9,24,35,1,0,1,1205.6600000942126,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,10,Know,2,AUDREY,AUDREY,true,2297.535000019707,10,17,1,1,10,25,32,0,0,0,1506.4100000308827,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,11,Know,7,REBECCA,REBECCA,true,2198.560000048019,11,34,36,2,11,2,22,0,1,0,890.8599999267608,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,12,Familiar,19,NA,NA,NA,NA,12,2,22,1,12,22,26,1,2,0,1806.1900000320747,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,13,Familiar,3,NA,NA,NA,NA,13,6,12,1,13,9,21,0,1,1,1439.3399999244139,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,14,Know,12,JESSICA,JESSICA,true,2207.9599999124184,14,25,32,0,14,19,4,0,0,0,2187.809999915771,undefined,undefined,undefined,
2oxkp1ley0,undefined,undefined,undefined,undefined,15,Know,36,KAREN,KAREN,true,1287.1599999489263,15,23,26,2,15,4,24,1,0,1,1702.8799999970943,undefined,undefined,undefined,
