SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
3msgw0ltad,bp6q0q6l6a,Thu Oct 22 2020 11:25:41 GMT-0700 (Pacific Daylight Time),2020-10-22,11:25:41,1,Know,2,HANNAH,HANNAH,true,2316.8350000632927,1,27,18,0,1,29,9,0,1,0,2460.259999963455,11:47:11,120898.98499997798,63807.165000005625,
3msgw0ltad,undefined,undefined,undefined,undefined,2,Know,13,SOFIA,SOFIA,true,6465.855000074953,2,21,10,0,2,17,23,0,1,1,2438.0449999589473,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,3,Familiar,34,NA,NA,NA,NA,3,12,34,1,3,31,35,0,2,0,2425.899999914691,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,4,Familiar,21,NA,NA,NA,NA,4,33,17,1,4,6,33,0,2,0,1401.2250000378117,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,5,Know,17,GRACE,GRACE,true,3524.305000086315,5,5,15,2,5,11,5,1,2,0,1290.1549999369308,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,6,Know,19,LISA,LISA,true,1285.8000000705943,6,29,9,1,6,27,18,0,0,0,1402.3999999044463,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,7,Familiar,26,NA,NA,NA,NA,7,1,14,0,7,19,3,0,1,0,1865.9699999261647,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,8,Know,29,NANCY,NANCY,true,1763.245000038296,8,30,6,1,8,36,16,1,1,0,1719.844999955967,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,9,Know,33,MADISON,MADISON,true,4817.230000044219,9,36,29,1,9,20,14,1,0,1,1333.9799999957904,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,10,Familiar,27,NA,NA,NA,NA,10,10,32,2,10,16,7,0,0,0,1274.0100000519305,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,11,Know,12,CHLOE,CHLOE,true,2705.0100000342354,11,6,33,2,11,15,2,1,2,1,1298.450000002049,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,12,Familiar,24,NA,NA,NA,NA,12,26,30,0,12,26,30,0,0,0,1256.8650000030175,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,13,Familiar,16,NA,NA,NA,NA,13,4,11,0,13,32,29,1,1,1,2790.335000026971,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,14,Know,36,AUDREY,AUDREY,true,2579.3200000189245,14,19,3,1,14,23,31,0,2,1,1028.485000017099,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,15,Familiar,20,NA,NA,NA,NA,15,11,2,2,15,18,26,1,1,1,2392.8999999770895,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,16,Familiar,3,NA,NA,NA,NA,16,22,21,0,16,2,28,0,1,0,1198.2250000583008,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,17,Know,32,MEGAN,MEGAN,true,2845.8600000012666,17,24,19,0,17,13,20,0,1,0,1241.13999994006,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,18,Familiar,4,NA,NA,NA,NA,18,7,24,2,18,10,15,1,2,0,523.7300000153482,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,19,Know,18,SARAH,SARAH,true,1811.5299999481067,19,8,13,2,19,33,17,0,1,0,1261.0799999674782,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,20,Know,30,VICTORIA,VICTORIA,true,2186.2650000257418,20,34,27,0,20,34,27,0,0,0,1406.360000022687,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,21,Familiar,35,NA,NA,NA,NA,21,17,23,1,21,1,22,1,0,1,1313.0249999230728,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,22,Know,14,HAZEL,HANNAH,false,7789.489999995567,22,3,25,0,22,3,11,1,0,0,1352.8250000672415,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,23,Familiar,22,NA,NA,NA,NA,23,31,35,2,23,4,25,1,0,0,1559.914999990724,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,24,Familiar,1,NA,NA,NA,NA,24,32,16,1,24,5,32,1,2,1,982.0749999489635,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,25,Know,29,NANCY,GRACE,false,3486.64000001736,25,35,8,0,25,28,12,0,2,0,1300.8250000420958,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,26,Familiar,20,NA,NA,NA,NA,26,20,22,0,26,24,19,0,0,0,1454.2849999852479,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,27,Know,19,LISA,HAZEL,false,9459.294999949634,27,28,12,2,27,14,4,1,1,0,2308.6649999022484,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,28,Familiar,1,NA,NA,NA,NA,28,2,28,1,28,21,10,0,0,0,2141.369999968447,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,29,Familiar,27,NA,NA,NA,NA,29,18,4,1,29,30,34,1,1,0,1249.3600000161678,undefined,undefined,undefined,
3msgw0ltad,undefined,undefined,undefined,undefined,30,Know,18,SARAH,GRACE,false,4057.249999954365,30,9,1,2,30,9,1,0,2,1,2075.2999999094754,undefined,undefined,undefined,
