SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
4e3gv0o7h0,ba7xdzha38,Thu Dec 03 2020 14:30:48 GMT-0600 (CST),2020-12-3,14:30:48,1,Know,12,ALYSSA,ALYSSA,true,6771,1,35,6,0,1,35,6,0,0,0,3357,14:54:29,123341,63509.99999999977,
4e3gv0o7h0,undefined,undefined,undefined,undefined,2,Familiar,22,NA,NA,NA,NA,2,25,4,1,2,13,28,1,2,1,2985,undefined,142073,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,3,Familiar,27,NA,NA,NA,NA,3,33,30,2,3,3,11,0,1,1,4188,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,4,Know,28,HANNAH,HANNAH,true,3382,4,2,34,1,4,7,21,0,0,0,1656,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,5,Familiar,1,NA,NA,NA,NA,5,18,18,1,5,21,7,0,2,0,1411,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,6,Know,3,AUDREY,AUDREY,true,4317,6,9,22,2,6,32,26,1,2,0,3344.999999999767,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,7,Familiar,35,NA,NA,NA,NA,7,20,14,0,7,27,23,0,0,1,1203,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,8,Know,26,REBECCA,REBECCA,true,3386,8,4,12,0,8,22,20,0,0,1,2207.999999999767,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,9,Know,18,BRIANNA,BRIANNA,true,2875,9,12,10,1,9,25,3,1,1,1,4974,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,10,Familiar,7,NA,NA,NA,NA,10,36,3,1,10,36,4,1,1,1,2058,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,11,Familiar,20,NA,NA,NA,NA,11,27,23,0,11,4,36,1,0,0,1859,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,12,Know,15,ELIZABETH,ELIZABETH,true,3250.999999999971,12,31,24,2,12,2,25,1,1,1,1207,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,13,Familiar,34,NA,NA,NA,NA,13,11,9,2,13,26,33,0,1,0,4577,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,14,Familiar,24,NA,NA,NA,NA,14,22,20,0,14,16,22,1,2,0,1203,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,15,Know,25,BETTY,BETTY,true,2135,15,24,15,0,15,9,16,1,2,0,1001,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,16,Know,6,BRITTANY,BRITTNEY,false,3375,16,26,33,1,16,14,34,1,1,1,1244,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,17,Familiar,23,NA,NA,NA,NA,17,1,1,0,17,23,12,1,0,0,3479,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,18,Familiar,10,NA,NA,NA,NA,18,32,28,2,18,8,31,0,2,1,854.0000000002328,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,19,Know,14,NICOLE,NICOLE,true,2202,19,15,8,1,19,30,32,1,0,1,3752,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,20,Familiar,4,NA,NA,NA,NA,20,16,16,2,20,11,9,0,2,0,1081,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,21,Know,29,MARY,MARY,true,2192.000000000029,21,23,36,0,21,6,35,1,1,1,1616,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,22,Know,2,VICTORIA,VICTORIA,true,3454.999999999971,22,8,31,2,22,33,30,0,2,1,2500,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,23,Familiar,30,NA,NA,NA,NA,23,28,2,1,23,15,8,0,1,0,1436,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,24,Know,36,PATRICIA,PATRICIA,true,3290,24,10,19,0,24,29,13,1,1,1,3353,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,25,Familiar,7,NA,NA,NA,NA,25,7,21,0,25,20,14,0,0,0,2032.9999999997672,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,26,Know,2,VICTORIA,HANNAH,false,5506.000000000029,26,21,7,2,26,34,5,1,0,0,1012.9999999997672,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,27,Familiar,27,NA,NA,NA,NA,27,29,35,1,27,17,27,0,2,0,2183,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,28,Know,6,BRITTANY,ALYSSA,false,7262,28,30,5,0,28,10,15,1,0,0,1963,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,29,Familiar,34,NA,NA,NA,NA,29,3,11,1,29,18,18,0,1,0,2241,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,30,Familiar,30,NA,NA,NA,NA,30,14,25,1,30,24,19,1,0,1,1334,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,31,Know,14,NICOLE,NICOLE,true,2474,31,5,29,2,31,28,2,0,1,0,2317,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,32,Familiar,10,NA,NA,NA,NA,32,13,26,2,32,31,29,1,2,0,2675.000000000233,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,33,Know,26,REBECCA,HANNAH,false,10669.999999999942,33,34,32,0,33,19,17,0,2,1,1164,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,34,Familiar,4,NA,NA,NA,NA,34,6,13,1,34,12,10,0,1,0,1252,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,35,Know,29,MARY,MARY,true,8825,35,17,27,2,35,1,1,0,0,0,1485,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,36,Know,12,ALYSSA,ALYSSA,true,3991,36,19,17,2,36,5,24,1,2,0,1070,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,37,Familiar,20,NA,NA,NA,NA,37,15,8,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,38,Know,18,BRIANNA,PATRICIA,false,7716,38,16,16,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,39,Know,28,HANNAH,PATRICIA,false,5398,39,22,20,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,40,Familiar,35,NA,NA,NA,NA,40,4,12,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,41,Familiar,24,NA,NA,NA,NA,41,33,30,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,42,Know,3,AUDREY,PATRICIA,false,7556,42,13,26,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,43,Know,25,BETTY,ELIABETH,false,10101,43,29,35,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,44,Familiar,23,NA,NA,NA,NA,44,1,1,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,45,Know,15,ELIZABETH,PATRICIA,false,4735,45,18,18,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,46,Know,36,PATRICIA,REBECCA,false,5023,46,28,2,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,47,Familiar,22,NA,NA,NA,NA,47,7,21,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,48,Familiar,1,NA,NA,NA,NA,48,17,27,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,49,Know,6,BRITTANY,REBECCA,false,7803,49,14,25,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,50,Know,18,BRIANNA,HANNAH,false,3942,50,2,34,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,51,Familiar,34,NA,NA,NA,NA,51,31,24,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,52,Know,3,AUDREY,AMY,false,6544.000000000058,52,20,14,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,53,Know,28,HANNAH,HANNAH,true,25365,53,27,23,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,54,Familiar,24,NA,NA,NA,NA,54,21,7,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,55,Familiar,1,NA,NA,NA,NA,55,19,17,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,56,Know,14,NICOLE,NICOLE,true,3298.000000000058,56,10,19,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
4e3gv0o7h0,undefined,undefined,undefined,undefined,57,Know,29,MARY,MARY,true,2991,57,35,6,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
