SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
fje6gglque,9l6rmfbl5j,Mon Oct 05 2020 18:03:27 GMT+0800 (China Standard Time),2020-10-5,18:3:27,1,Familiar,24,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,2,Know,8,MEGAN,AMY,false,9994.950000022072,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,3,Know,6,SAMANTHA,SAMTHMA,false,4471.6850000259,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,4,Familiar,26,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,5,Familiar,3,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,6,Know,36,AUDREY,AUDREY,true,4378.094999992754,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,7,Know,31,HANNAH,HANNAH,true,3051.9599999825004,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,8,Familiar,4,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,9,Familiar,29,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,10,Know,32,NICOLE,NICOLE,true,3037.75499999756,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,11,Know,18,BRIANNA,BRINNA,false,3651.000000012573,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,12,Familiar,33,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,13,Familiar,5,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,14,Know,20,BRITTANY,BRIANTTY,false,3768.5849999834318,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,15,Know,35,MARGARET,MARGANT,false,4840.265000006184,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,16,Familiar,2,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,17,Familiar,10,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,18,Know,12,ASHLEY,ASHLEY,true,3765.399999974761,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,19,Familiar,25,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,20,Know,27,MARY,MARY,true,2927.83000000054,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,21,Familiar,14,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,22,Familiar,15,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
fje6gglque,undefined,undefined,undefined,undefined,23,Know,28,BETTY,BETTY,true,2856.449999992037,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
