SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
j95y3zzme0,8ao17crh1c,Tue Oct 13 2020 11:59:09 GMT-0500 (CDT),2020-10-13,11:59:9,1,Familiar,18,NA,NA,NA,NA,1,9,18,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,123460,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,2,Know,20,SAMANTHA,SAMANTHA,true,3556,2,21,34,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,3,Know,1,RACHEL,RACHEL,true,2843,3,8,35,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,4,Familiar,8,NA,NA,NA,NA,4,11,26,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,5,Familiar,12,NA,NA,NA,NA,5,34,32,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,6,Know,19,BRIANNA,BRIANNA,true,3052,6,1,11,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,7,Familiar,17,NA,NA,NA,NA,7,26,33,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,8,Familiar,36,NA,NA,NA,NA,8,30,15,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,9,Know,2,AUDREY,AUDREY,true,11919,9,15,6,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,10,Know,3,MARGARET,MARGARET,true,3065,10,14,17,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,11,Familiar,29,NA,NA,NA,NA,11,31,36,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,12,Familiar,26,NA,NA,NA,NA,12,22,24,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,13,Know,23,ELIZABETH,ELIZABETH,true,5285,13,23,31,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,14,Know,22,KAREN,KAREN,true,2497.999999999971,14,35,25,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,15,Familiar,32,NA,NA,NA,NA,15,24,19,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,16,Familiar,13,NA,NA,NA,NA,16,27,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,17,Know,11,PATRICIA,PATRICIA,true,3425,17,33,12,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,18,Know,21,MADISON,MADISON,true,2961,18,18,16,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,19,Familiar,24,NA,NA,NA,NA,19,10,23,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,20,Know,16,JENNIFER,JENNIFER,true,2765.000000000029,20,3,5,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,21,Familiar,6,NA,NA,NA,NA,21,13,4,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,22,Familiar,14,NA,NA,NA,NA,22,29,10,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,23,Know,5,NANCY,NANCY,true,2924,23,7,8,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,24,Know,10,REBECCA,REBECCA,true,2829,24,16,21,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,25,Familiar,24,NA,NA,NA,NA,25,12,30,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,26,Know,2,AUDREY,RACHEL,false,10286,26,6,9,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,27,Familiar,12,NA,NA,NA,NA,27,4,27,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,28,Know,16,JENNIFER,KATHERINE,false,10214,28,19,7,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,29,Know,19,BRIANNA,NANCY,false,10712,29,32,22,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,30,Familiar,36,NA,NA,NA,NA,30,36,3,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,31,Know,20,SAMANTHA,AUDREY,false,14358,31,2,14,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,32,Familiar,32,NA,NA,NA,NA,32,20,29,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,33,Familiar,17,NA,NA,NA,NA,33,28,28,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,34,Know,22,KAREN,KAREN,true,7894,34,25,13,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,35,Know,1,RACHEL,BRIANNA,false,3774,35,5,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
j95y3zzme0,undefined,undefined,undefined,undefined,36,Familiar,13,NA,NA,NA,NA,36,17,20,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
