SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
k57kgblnkg,97j8uw1y59,Thu Oct 15 2020 13:06:10 GMT-0500 (Central Daylight Time),2020-10-15,13:6:10,1,Familiar,14,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,2,Familiar,6,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,3,Know,9,RACHEL,RACHEL,true,3952.065000019502,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,4,Know,8,SARAH,SARAH,true,2155.945000005886,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,5,Familiar,32,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,6,Know,20,AMANDA,AMANDA,true,1947.039999999106,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,7,Familiar,28,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,8,Know,3,GRACE,GRACE,true,2138.6700000148267,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,9,Familiar,10,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,10,Familiar,17,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,11,Know,1,LAUREN,LAUREN,true,2091.305000009015,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,12,Familiar,34,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,13,Know,35,EMILY,EMILY,true,1549.0999999456108,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,14,Familiar,12,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,15,Know,29,NICOLE,NICOLE,true,2040.6000000075437,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,16,Know,24,SAMANTHA,SAMANTHA,true,2304.169999959413,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,17,Familiar,2,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,18,Know,5,MARY,MARY,true,1340.894999972079,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,19,Familiar,11,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,20,Familiar,21,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,21,Know,18,REBECCA,REBECCA,true,2465.864999976475,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
k57kgblnkg,undefined,undefined,undefined,undefined,22,Know,7,KAREN,KAREN,true,1725.0650000059977,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
