SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
uouvfvrfw1,bpf5urfyba,Fri Dec 04 2020 18:45:57 GMT-0600 (Central Standard Time),2020-12-4,18:45:57,1,Know,35,SAMANTHA,SAMANTHA,true,3083.2150001078844,1,20,5,0,1,16,24,0,1,1,1961.5350000094622,19:7:25,123774.47999990545,62492.61000007391,
uouvfvrfw1,undefined,undefined,undefined,undefined,2,Know,32,JESSICA,JESSICA,true,3022.2100000828505,2,33,9,2,2,22,17,1,1,1,1419.7649999987334,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,3,Familiar,24,NA,NA,NA,NA,3,7,32,1,3,28,34,0,0,0,1005.5299999658018,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,4,Know,27,HANNAH,HANNAH,true,2670.8050000015646,4,26,1,1,4,19,6,1,0,1,2030.0000000279397,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,5,Familiar,9,NA,NA,NA,NA,5,24,16,0,5,9,11,0,0,0,1466.044999891892,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,6,Know,16,STEPHANIE,STEPHANIE,true,2590.0599998421967,6,29,15,2,6,12,30,1,1,1,1745.979999890551,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,7,Know,31,NANCY,NANCY,true,2401.1399999726564,7,14,6,0,7,10,22,0,2,1,1431.279999902472,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,8,Familiar,15,NA,NA,NA,NA,8,18,4,2,8,33,9,0,2,1,1372.7900001686066,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,9,Know,21,ELIZABETH,ELIZABETH,true,3914.3449999392033,9,25,12,0,9,32,8,0,1,0,1108.754999935627,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,10,Familiar,28,NA,NA,NA,NA,10,27,27,1,10,20,5,0,0,0,896.1099998559803,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,11,Know,26,HAZEL,HAZEL,true,1858.1399999093264,11,36,13,1,11,27,27,0,1,0,975.7700001355261,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,12,Familiar,20,NA,NA,NA,NA,12,23,28,2,12,29,15,0,2,0,926.329999929294,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,13,Know,5,MADISON,MADISON,true,1987.4750000890344,13,3,3,0,13,14,25,1,0,0,2374.9750000424683,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,14,Familiar,4,NA,NA,NA,NA,14,16,24,1,14,4,31,0,0,1,5112.560000037774,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,15,Familiar,3,NA,NA,NA,NA,15,34,33,2,15,21,20,0,1,0,2206.0250001959503,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,16,Know,22,MARY,MARY,true,1646.0100000258535,16,30,29,0,16,3,12,1,0,1,1385.5300000868738,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,17,Familiar,30,NA,NA,NA,NA,17,15,26,0,17,26,13,1,1,1,1425.9099999908358,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,18,Know,12,SOFIA,SOFIA,true,1377.7149999514222,18,22,30,1,18,23,18,1,2,1,1200.3399999812245,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,19,Familiar,19,NA,NA,NA,NA,19,11,36,0,19,1,14,0,2,0,1083.559999940917,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,20,Familiar,25,NA,NA,NA,NA,20,1,14,2,20,36,1,1,1,0,1612.4799998942763,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,21,Know,7,VICTORIA,VICTORIA,true,3444.859999930486,21,21,20,1,21,24,16,0,0,0,1861.4450001623482,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,22,Familiar,11,NA,NA,NA,NA,22,28,34,0,22,18,4,0,2,0,1026.5099999960512,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,23,Familiar,14,NA,NA,NA,NA,23,2,21,2,23,17,28,1,2,1,1183.1150001380593,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,24,Know,36,MEGAN,MEGAN,true,1679.7650000080466,24,12,17,1,24,35,35,0,1,0,933.3800000604242,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,25,Know,22,MARY,SAMANTHA,false,4978.370000142604,25,5,10,1,25,6,21,1,2,0,1678.624999942258,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,26,Familiar,3,NA,NA,NA,NA,26,17,18,2,26,31,23,0,1,0,1527.669999981299,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,27,Know,16,STEPHANIE,MEGAN,false,8708.259999984875,27,35,35,1,27,2,7,1,2,1,1077.1200000308454,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,28,Know,31,NANCY,JESSICA,false,3609.575000125915,28,4,31,0,28,25,3,1,0,0,980.8400000911206,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,29,Familiar,4,NA,NA,NA,NA,29,6,7,2,29,8,33,1,2,0,1302.3299998603761,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,30,Familiar,9,NA,NA,NA,NA,30,9,11,0,30,34,19,1,2,1,1553.1949999276549,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,31,Know,35,SAMANTHA,JESSICA,false,5852.420000126585,31,8,19,2,31,11,29,1,0,1,1481.9350000470877,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,32,Know,5,MADISON,JULIE,false,3698.8649999257177,32,31,23,1,32,30,36,1,0,0,869.925000006333,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,33,Familiar,11,NA,NA,NA,NA,33,32,8,1,33,15,26,0,0,0,1007.4000000022352,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,34,Know,32,JESSICA,MEGAN,false,4565.170000074431,34,10,22,2,34,13,2,0,2,0,1795.240000123158,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,35,Know,36,MEGAN,MEGAN,true,4627.54000001587,35,19,25,0,35,5,32,1,1,1,1275.6350000854582,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,36,Familiar,28,NA,NA,NA,NA,36,13,2,2,36,7,10,1,1,0,806.2299999874085,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,37,Familiar,24,NA,NA,NA,NA,37,9,11,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,38,Know,7,VICTORIA,ELIZABETH,false,9823.59499996528,38,13,2,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,39,Familiar,15,NA,NA,NA,NA,39,29,15,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,40,Familiar,25,NA,NA,NA,NA,40,12,17,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,41,Know,12,SOFIA,JULIE,false,5926.140000112355,41,22,30,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,42,Know,27,HANNAH,MARY,false,3420.8550001494586,42,8,19,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,43,Familiar,30,NA,NA,NA,NA,43,16,24,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,44,Familiar,20,NA,NA,NA,NA,44,32,8,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,45,Know,21,ELIZABETH,JULIE,false,27150.415000040084,45,3,3,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,46,Know,26,HAZEL,MEGAN,false,2690.324999857694,46,27,27,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,47,Familiar,14,NA,NA,NA,NA,47,17,18,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,48,Familiar,19,NA,NA,NA,NA,48,15,26,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,49,Know,36,MEGAN,NANCY,false,5070.605000015348,49,31,23,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,50,Familiar,4,NA,NA,NA,NA,50,19,25,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,51,Know,7,VICTORIA,NANCY,false,4568.519999971613,51,2,21,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,52,Familiar,15,NA,NA,NA,NA,52,7,32,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,53,Know,32,JESSICA,HAZEL,false,8122.720000101253,53,1,14,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,54,Know,31,NANCY,JESSICA,false,5779.730000067502,54,4,31,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,55,Familiar,19,NA,NA,NA,NA,55,26,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,56,Familiar,14,NA,NA,NA,NA,56,24,16,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,57,Know,5,MADISON,HAZEL,false,7232.599999988452,57,28,34,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,58,Know,35,SAMANTHA,SAMANTHA,true,4944.145000074059,58,10,22,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,59,Familiar,20,NA,NA,NA,NA,59,5,10,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,60,Know,21,ELIZABETH,JESSICA,false,4793.099999893457,60,23,28,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,61,Familiar,3,NA,NA,NA,NA,61,6,7,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,62,Know,22,MARY,JESSICA,false,6385.634999955073,62,11,36,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,63,Familiar,24,NA,NA,NA,NA,63,34,33,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,64,Familiar,9,NA,NA,NA,NA,64,20,5,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,65,Know,16,STEPHANIE,MARY,false,2421.3100001215935,65,30,29,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,66,Know,27,HANNAH,MARY,false,2911.244999850169,66,35,35,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,67,Familiar,28,NA,NA,NA,NA,67,18,4,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,68,Familiar,25,NA,NA,NA,NA,68,21,20,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,69,Know,26,HAZEL,HAZEL,true,3654.325000010431,69,36,13,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,70,Familiar,30,NA,NA,NA,NA,70,14,6,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,71,Know,12,SOFIA,SOFIA,true,3372.4599999841303,71,33,9,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,72,Familiar,11,NA,NA,NA,NA,72,25,12,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,73,Familiar,11,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,74,Know,16,STEPHANIE,VICTORIA,false,4910.829999949783,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,75,Know,12,SOFIA,SOFIA,true,5723.570000147447,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,76,Familiar,25,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,77,Familiar,20,NA,NA,NA,NA,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
uouvfvrfw1,undefined,undefined,undefined,undefined,78,Know,31,NANCY,HANNAH,false,6363.660000031814,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
