SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
azwkshy9c9,1w6e0cjjcg,Mon Oct 19 2020 23:24:22 GMT-0500 (Central Daylight Time),2020-10-19,23:24:22,1,Familiar,34,NA,NA,NA,NA,1,17,4,1,1,33,19,1,1,1,6081.165000330657,23:50:18,123287.06999961287,61386.28999982029,
azwkshy9c9,undefined,undefined,undefined,undefined,2,Familiar,29,NA,NA,NA,NA,2,11,11,1,2,6,30,1,0,1,4351.714999880642,undefined,undefined,undefined,
azwkshy9c9,undefined,undefined,undefined,undefined,3,Know,13,REBECCA,REBECCA,true,7696.32999971509,3,21,22,2,3,35,12,0,2,0,2006.3099996186793,undefined,undefined,undefined,
azwkshy9c9,undefined,undefined,undefined,undefined,4,Familiar,27,NA,NA,NA,NA,4,19,32,2,4,1,14,0,2,0,1926.6599998809397,undefined,undefined,undefined,
azwkshy9c9,undefined,undefined,undefined,undefined,5,Familiar,10,NA,NA,NA,NA,5,25,19,1,5,8,23,0,1,0,1776.049999985844,undefined,undefined,undefined,
azwkshy9c9,undefined,undefined,undefined,undefined,6,Know,15,LISA,LISA,true,3938.3350000716746,6,15,33,1,6,19,17,1,2,0,3044.6500000543892,undefined,undefined,undefined,
azwkshy9c9,undefined,undefined,undefined,undefined,7,Know,8,MARY,MARY,true,3737.7050002105534,7,3,2,2,7,11,11,0,1,0,2296.9999997876585,undefined,undefined,undefined,
azwkshy9c9,undefined,undefined,undefined,undefined,8,Familiar,28,NA,NA,NA,NA,8,22,28,1,8,14,9,1,0,0,5046.934999991208,undefined,undefined,undefined,
azwkshy9c9,undefined,undefined,undefined,undefined,9,Familiar,9,NA,NA,NA,NA,9,28,31,0,9,7,15,1,0,1,2024.4800001382828,undefined,undefined,undefined,
azwkshy9c9,undefined,undefined,undefined,undefined,10,Know,11,JESSICA,JESSICA,true,5678.139999974519,10,8,23,1,10,2,34,0,2,0,5313.459999859333,undefined,undefined,undefined,
