SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
forzgzad9r,wltg89hzkd,Sun Nov 22 2020 22:19:25 GMT-0600 (Central Standard Time),2020-11-22,22:19:25,1,Know,14,COURTNEY,COURTNEY,true,3617.165000003297,1,10,13,2,1,7,36,1,0,1,9360.380000027362,22:43:22,123459.09499999834,62053.184999967925,
forzgzad9r,undefined,undefined,undefined,undefined,2,Know,4,JESSICA,JESSICA,true,3016.6900000185706,2,14,21,1,2,8,30,0,2,0,2234.870000043884,undefined,144443.90999997267,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,3,Familiar,23,NA,NA,NA,NA,3,25,8,0,3,16,11,1,2,1,3058.0799999879673,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,4,Know,1,KAYLA,KAYLA,true,2069.2000000271946,4,29,12,2,4,33,14,1,0,0,6571.460000006482,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,5,Know,5,SOFIA,SOFIA,true,2528.020000027027,5,15,1,1,5,9,5,0,2,0,1925.2400000113994,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,6,Familiar,25,NA,NA,NA,NA,6,11,16,1,6,2,29,0,0,0,1411.9599999976344,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,7,Familiar,32,NA,NA,NA,NA,7,30,17,0,7,23,6,0,0,1,2875.9200000204146,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,8,Know,21,MARGARET,MARGARET,true,3356.9799999822862,8,17,18,0,8,12,31,0,2,0,3568.7350000371225,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,9,Familiar,26,NA,NA,NA,NA,9,31,20,1,9,30,33,1,0,0,4191.525000031106,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,10,Familiar,27,NA,NA,NA,NA,10,6,33,0,10,32,35,0,0,0,1579.7099999617785,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,11,Know,11,ASHLEY,ASHLEY,true,2438.94999998156,11,20,15,2,11,4,25,0,1,0,7586.080000037327,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,12,Know,31,ALEXIS,ALEXIS,true,2469.150000018999,12,1,24,1,12,6,17,1,0,1,6379.324999987148,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,13,Familiar,2,NA,NA,NA,NA,13,26,34,0,13,22,19,1,1,1,1210.5999999912456,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,14,Familiar,30,NA,NA,NA,NA,14,9,5,2,14,36,2,1,2,1,1022.5000000209548,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,15,Know,15,BRIANNA,BRIANNA,true,2780.079999996815,15,36,11,2,15,25,8,0,0,1,4818.0300000240095,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,16,Know,22,BRITTANY,BRITTANY,true,2416.7050000396557,16,2,29,0,16,35,7,1,1,1,557.7750000520609,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,17,Familiar,33,NA,NA,NA,NA,17,18,23,2,17,29,12,0,2,1,3637.4950000317767,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,18,Familiar,6,NA,NA,NA,NA,18,3,32,2,18,1,24,0,1,0,8558.824999956414,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,19,Know,13,NANCY,NANCY,true,1723.0250000138767,19,13,4,1,19,18,28,1,2,1,1510.4600000195205,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,20,Know,35,HANNAH,HANNAH,true,2821.0800000233576,20,4,25,1,20,26,34,0,0,0,4176.020000013523,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,21,Familiar,17,NA,NA,NA,NA,21,7,14,0,21,24,23,1,2,1,1142.42499996908,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,22,Familiar,19,NA,NA,NA,NA,22,16,2,2,22,34,20,1,1,1,2454.609999957029,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,23,Know,34,AMANDA,AMANDA,true,2201.9950000103563,23,35,19,1,23,19,18,1,0,0,2736.2949999514967,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,24,Familiar,7,NA,NA,NA,NA,24,27,10,0,24,14,21,0,1,0,2783.1549999536946,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,25,Familiar,30,NA,NA,NA,NA,25,22,7,1,25,31,3,1,1,1,1371.6049999929965,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,26,Know,4,JESSICA,NANCY,false,18141.945000039414,26,32,35,0,26,21,26,0,1,0,941.9900000211783,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,27,Familiar,23,NA,NA,NA,NA,27,28,9,2,27,28,13,1,2,1,1418.1249999674037,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,28,Familiar,6,NA,NA,NA,NA,28,8,30,2,28,5,22,0,1,1,15306.874999951106,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,29,Know,13,NANCY,NANCY,true,3394.7649999754503,29,23,6,0,29,20,15,0,2,0,2235.6850000214763,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,30,Familiar,27,NA,NA,NA,NA,30,33,36,0,30,3,32,0,2,0,1205.2399999811314,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,31,Know,22,BRITTANY,ASHLEY,false,9320.675000024494,31,5,22,1,31,27,10,0,0,0,3050.1100000110455,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,32,Know,31,ALEXIS,COURTNEY,false,6140.444999968167,32,24,28,2,32,13,1,1,1,1,2127.455000008922,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,33,Familiar,19,NA,NA,NA,NA,33,12,31,2,33,10,9,1,2,1,3931.4550000126474,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,34,Familiar,32,NA,NA,NA,NA,34,21,26,1,34,11,16,0,1,0,2267.8999999770895,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,35,Know,34,AMANDA,NANCY,false,7015.445000026375,35,34,3,1,35,15,4,1,1,1,2724.8750000144355,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,36,Know,35,HANNAH,KAYLA,false,10241.05499999132,36,19,27,0,36,17,27,1,0,1,4083.6750000016764,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,37,Familiar,2,NA,NA,NA,NA,37,17,18,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,38,Know,5,SOFIA,JESSICA,false,10646.175000001676,38,15,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,39,Know,15,BRIANNA,COURTNEY,false,11114.545000018552,39,10,13,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,40,Familiar,25,NA,NA,NA,NA,40,22,7,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
forzgzad9r,undefined,undefined,undefined,undefined,41,Know,21,MARGARET,NANCY,false,2844.344999990426,41,35,19,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
