SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
j6maojsv2z,vqmtrtxpn3,Mon Oct 19 2020 13:47:56 GMT-0500 (Central Daylight Time),2020-10-19,13:47:56,1,Know,36,MADISON,MADISON,true,4929.275000002235,1,6,22,2,1,13,1,0,2,0,2574.5499999902677,14:11:24,120134.02500000666,63732.54999998608,
j6maojsv2z,undefined,undefined,undefined,undefined,2,Know,33,NANCY,NANCY,true,3514.8300000000745,2,12,15,0,2,29,9,0,0,1,1471.9050000130665,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,3,Familiar,1,NA,NA,NA,NA,3,26,20,1,3,15,35,0,1,0,1286.3450000004377,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,4,Familiar,34,NA,NA,NA,NA,4,18,30,2,4,8,19,0,0,0,1771.679999976186,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,5,Know,15,ELIZABETH,ELIZABETH,true,4970.864999981131,5,7,34,2,5,28,2,1,1,1,1637.6649999874644,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,6,Know,16,COURTNEY,COURTNEY,true,7985.110000008717,6,27,10,1,6,9,22,1,2,1,1318.2749999978114,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,7,Familiar,17,NA,NA,NA,NA,7,10,4,1,7,1,36,0,0,0,1416.9750000000931,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,8,Familiar,29,NA,NA,NA,NA,8,14,29,0,8,20,15,1,0,1,1305.9549999888986,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,9,Know,30,VICTORIA,VICTORIA,true,5877.870000025723,9,13,1,2,9,30,18,0,1,1,1359.7850000078324,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,10,Know,10,STEPHANIE,STEPHANIE,true,4488.83499999647,10,34,16,0,10,18,30,0,2,0,1531.714999990072,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,11,Familiar,31,NA,NA,NA,NA,11,1,36,0,11,6,17,1,2,0,899.184999987483,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,12,Know,2,BRIANNA,BRIANNA,true,4321.260000026086,12,22,8,2,12,17,7,0,0,0,955.5499999842141,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,13,Familiar,8,NA,NA,NA,NA,13,3,14,2,13,3,14,0,2,0,797.2400000144262,undefined,undefined,undefined,
j6maojsv2z,undefined,undefined,undefined,undefined,14,Familiar,12,NA,NA,NA,NA,14,19,21,0,14,35,31,1,1,0,1791.1600000225008,undefined,undefined,undefined,
