SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
luysmnmh1s,xhprytsz27,Mon Oct 26 2020 01:07:09 GMT-0500 (CDT),2020-10-26,1:7:9,1,Know,17,KAYLA,KAYLA,true,6479,1,18,14,0,1,3,33,1,1,1,1915,1:32:1,122567,62254,
luysmnmh1s,undefined,undefined,undefined,undefined,2,Know,20,BRITTANY,BRITTANY,true,3816,2,17,12,1,2,17,12,0,1,0,1742,undefined,145753,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,3,Familiar,14,NA,NA,NA,NA,3,25,30,0,3,14,9,0,0,0,1433.9999999997672,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,4,Know,33,AUDREY,AUDREY,true,5295,4,20,5,1,4,4,20,1,1,1,1107.0000000002328,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,5,Familiar,10,NA,NA,NA,NA,5,12,1,2,5,27,29,0,1,0,2013,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,6,Familiar,5,NA,NA,NA,NA,6,33,32,1,6,24,13,0,2,0,1327,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,7,Know,6,VICTORIA,VICTORIA,true,5278.999999999971,7,28,28,2,7,10,36,0,0,0,2080,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,8,Know,27,ASHLEY,ASHLEY,true,4757,8,26,34,0,8,21,7,1,1,1,1285,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,9,Familiar,18,NA,NA,NA,NA,9,36,27,2,9,31,34,1,0,1,1306,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,10,Familiar,15,NA,NA,NA,NA,10,3,20,1,10,33,32,0,1,0,1164,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,11,Know,11,ZOEY,ZOEY,true,3848,11,27,29,1,11,26,31,1,0,1,2105,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,12,Familiar,22,NA,NA,NA,NA,12,10,36,0,12,6,11,0,1,0,1830,undefined,undefined,undefined,
luysmnmh1s,undefined,undefined,undefined,undefined,13,Familiar,25,NA,NA,NA,NA,13,9,19,2,13,19,17,0,2,0,1714,undefined,undefined,undefined,
