SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
m09hvn3u06,gcdaa6q5zo,Fri Oct 23 2020 10:30:08 GMT-0500 (CDT),2020-10-23,10:30:8,1,Know,26,PATRICIA,PATRICIA,true,6174,1,8,16,0,1,8,16,0,0,0,3339,10:52:38,121571,63367,
m09hvn3u06,undefined,undefined,undefined,undefined,2,Familiar,25,NA,NA,NA,NA,2,23,36,2,2,3,14,1,2,1,1065,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,3,Familiar,2,NA,NA,NA,NA,3,31,18,0,3,10,27,1,2,1,1171,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,4,Know,33,ASHLEY,ASHLEY,true,4613,4,13,1,0,4,32,28,0,1,0,1097,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,5,Know,20,EMILY,EMILY,true,2896,5,10,14,2,5,20,2,0,1,0,1080.9999999997672,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,6,Familiar,8,NA,NA,NA,NA,6,2,31,0,6,30,11,1,2,1,1499,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,7,Know,32,CHLOE,CHLOE,true,2122,7,15,8,1,7,34,7,0,2,0,1933,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,8,Familiar,14,NA,NA,NA,NA,8,26,21,1,8,5,9,1,2,1,1431.9999999997672,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,9,Familiar,36,NA,NA,NA,NA,9,6,5,0,9,26,21,0,1,0,2302,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,10,Know,15,BRIANNA,BRIANNA,true,2380,10,35,4,0,10,16,6,1,1,0,2814,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,11,Familiar,35,NA,NA,NA,NA,11,20,2,1,11,7,12,0,2,0,1852,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,12,Familiar,21,NA,NA,NA,NA,12,29,33,1,12,35,4,0,0,0,888.0000000002328,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,13,Know,9,VICTORIA,VICTORIA,true,3433,13,17,24,2,13,33,3,0,1,0,1227,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,14,Familiar,6,NA,NA,NA,NA,14,27,35,0,14,21,5,1,0,1,2808,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,15,Know,16,LAUREN,LAUREN,true,2896,15,34,7,2,15,6,23,1,0,1,1609,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,16,Know,19,KAYLA,KAYLA,true,2863.999999999971,16,7,12,2,16,19,13,1,1,0,1323,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,17,Familiar,11,NA,NA,NA,NA,17,21,23,0,17,17,24,0,2,0,1103,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,18,Familiar,31,NA,NA,NA,NA,18,18,17,1,18,36,26,0,0,0,978,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,19,Know,18,BETTY,BETTY,true,2465,19,36,26,0,19,22,20,0,2,0,1410,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,20,Familiar,13,NA,NA,NA,NA,20,5,11,2,20,15,8,0,1,1,2494.000000000233,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,21,Know,24,SAMANTHA,SAMANTHA,true,3155,21,4,32,1,21,25,15,0,0,1,1235,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,22,Familiar,27,NA,NA,NA,NA,22,11,10,0,22,23,29,1,2,1,1460.0000000002328,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,23,Know,4,SOFIA,SOFIA,true,2887,23,32,28,1,23,31,10,1,0,0,3087,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,24,Know,29,JENNIFER,JENNIFER,true,2881,24,22,20,2,24,28,36,1,2,1,2196,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,25,Familiar,11,NA,NA,NA,NA,25,28,29,2,25,11,18,1,0,0,1668,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,26,Know,18,BETTY,BETTY,true,21858.99999999997,26,16,13,1,26,29,32,1,1,1,2621,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,27,Know,29,JENNIFER,SAMANTHA,false,10944,27,3,27,2,27,27,1,1,0,1,1444,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,28,Familiar,14,NA,NA,NA,NA,28,9,19,1,28,2,31,0,0,0,1473.9999999997672,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,29,Familiar,31,NA,NA,NA,NA,29,25,15,0,29,1,22,0,2,0,2029,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,30,Know,33,ASHLEY,ASHLEY,true,6491,30,24,30,1,30,4,33,1,1,1,2407,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,31,Familiar,35,NA,NA,NA,NA,31,30,9,2,31,12,25,0,2,1,2348.999999999767,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,32,Familiar,6,NA,NA,NA,NA,32,19,6,1,32,24,17,1,1,1,1468,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,33,Know,16,LAUREN,BRIANNA,false,5234.000000000058,33,12,25,2,33,9,19,0,1,1,1402,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,34,Familiar,27,NA,NA,NA,NA,34,1,22,2,34,18,30,1,1,1,4549,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,35,Know,4,SOFIA,KAYLA,false,21790,35,33,3,1,35,14,34,0,0,1,1868,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,36,Know,24,SAMANTHA,CHLOE,false,2818.999999999942,36,14,34,0,36,13,35,1,0,1,1250,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,37,Familiar,36,NA,NA,NA,NA,37,7,12,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,38,Familiar,25,NA,NA,NA,NA,38,19,6,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,39,Know,32,CHLOE,CHLOE,true,3514,39,29,33,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,40,Know,20,EMILY,BRIANNA,false,7772,40,31,18,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,41,Familiar,8,NA,NA,NA,NA,41,35,4,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,42,Familiar,21,NA,NA,NA,NA,42,32,28,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,43,Know,15,BRIANNA,KAYLA,false,16920.99999999994,43,12,25,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,44,Familiar,13,NA,NA,NA,NA,44,36,26,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,45,Know,26,PATRICIA,KAYLA,false,7456,45,6,5,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,46,Familiar,2,NA,NA,NA,NA,46,28,29,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,47,Know,9,VICTORIA,KAYLA,false,9644,47,24,30,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,48,Know,19,KAYLA,KAYLA,true,6632,48,1,22,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,49,Familiar,21,NA,NA,NA,NA,49,34,7,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,50,Know,9,VICTORIA,VICTORIA,true,2878,50,26,21,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,51,Know,19,KAYLA,KAYLA,true,2338,51,15,8,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,52,Familiar,14,NA,NA,NA,NA,52,8,16,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,53,Familiar,35,NA,NA,NA,NA,53,2,31,0,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
m09hvn3u06,undefined,undefined,undefined,undefined,54,Know,32,CHLOE,CHLOE,true,2352,54,33,3,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
