SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
mze29lcftj,3jq3bw1dgw,Thu Dec 03 2020 12:27:54 GMT-0600 (Central Standard Time),2020-12-3,12:27:54,1,Familiar,20,NA,NA,NA,NA,1,31,20,0,1,5,13,1,0,0,4268.3799999940675,12:51:35,122495.88000000222,62886.765000002924,
mze29lcftj,undefined,undefined,undefined,undefined,2,Familiar,35,NA,NA,NA,NA,2,26,25,0,2,8,4,0,1,0,2922.9899999918416,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,3,Know,18,LISA,LISA,true,6484.6399999951245,3,19,18,1,3,12,7,0,0,0,2595.6600000062026,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,4,Familiar,34,NA,NA,NA,NA,4,23,15,2,4,35,9,0,0,0,748.6900000073947,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,5,Familiar,6,NA,NA,NA,NA,5,2,10,2,5,33,34,0,2,0,984.4650000014808,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,6,Know,24,MARY,MARY,true,3371.904999992694,6,20,6,0,6,7,24,0,1,0,531.025000003865,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,7,Know,25,NICOLE,NICOLE,true,5401.5849999996135,7,32,14,2,7,21,3,1,2,0,466.30000000004657,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,8,Familiar,31,NA,NA,NA,NA,8,17,36,2,8,15,19,1,2,0,461.0499999981839,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,9,Know,9,AMANDA,AMANDA,true,5897.259999997914,9,16,16,1,9,22,21,0,2,0,493.2399999962654,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,10,Familiar,12,NA,NA,NA,NA,10,7,24,1,10,36,29,0,2,1,1562.789999996312,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,11,Know,7,SOFIA,SOFIA,true,6654.9249999952735,11,1,28,2,11,16,18,1,1,0,1503.414999999106,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,12,Know,8,NANCY,NANCY,true,4030.7250000041677,12,10,22,0,12,19,16,1,1,0,1964.3900000080466,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,13,Familiar,26,NA,NA,NA,NA,13,11,30,0,13,6,26,0,0,1,1655.5349999980535,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,14,Familiar,4,NA,NA,NA,NA,14,21,19,2,14,14,23,1,0,0,1579.2950000031851,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,15,Know,13,ALYSSA,ALYSSA,true,3914.680000001681,15,14,13,0,15,29,27,0,2,1,1779.5900000056718,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,16,Know,30,ASHLEY,ASHLEY,true,8188.729999994393,16,3,33,2,16,17,33,1,2,0,1745.4149999974761,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,17,Familiar,14,NA,NA,NA,NA,17,5,23,0,17,25,11,0,1,1,1736.744999987539,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,18,Know,28,ZOEY,ZOEY,true,5200.77000001038,18,29,27,2,18,34,17,0,0,1,3777.80999999959,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,19,Familiar,11,NA,NA,NA,NA,19,9,2,1,19,31,20,0,0,0,1499.8800000031479,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,20,Familiar,10,NA,NA,NA,NA,20,24,5,1,20,23,15,0,2,1,2496.814999991562,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,21,Know,19,MADISON,MADISON,true,3633.539999995264,21,22,21,2,21,10,25,1,0,1,2747.6200000089593,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,22,Know,16,MEGAN,MEGAN,true,3986.335000008694,22,4,32,0,22,26,22,1,0,1,1553.6300000094343,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,23,Familiar,5,NA,NA,NA,NA,23,27,1,1,23,9,2,0,1,1,1652.4599999976344,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,24,Know,27,HAZEL,HAZEL,true,3211.7200000066077,24,15,3,2,24,24,5,0,1,0,1939.8250000085682,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,25,Familiar,5,NA,NA,NA,NA,25,13,35,1,25,3,36,1,2,1,1683.8350000034552,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,26,Familiar,31,NA,NA,NA,NA,26,35,9,0,26,1,10,1,2,1,2056.23499999661,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,27,Know,19,MADISON,NANCY,false,10905.709999991814,27,33,34,2,27,11,32,1,0,0,3631.9700000023004,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,28,Familiar,4,NA,NA,NA,NA,28,12,7,0,28,30,35,1,1,0,1842.6200000103563,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,29,Know,28,ZOEY,SOFIA,false,9311.625000002095,29,28,8,1,29,13,31,1,1,0,2267.0049999870826,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,30,Know,30,ASHLEY,MARY,false,3319.9550000135787,30,6,26,0,30,20,6,0,0,0,2601.8149999873713,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,31,Familiar,34,NA,NA,NA,NA,31,25,11,1,31,18,12,0,1,1,4116.5500000061,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,32,Familiar,20,NA,NA,NA,NA,32,30,31,1,32,27,8,1,1,0,1409.7650000040885,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,33,Know,25,NICOLE,SOFIA,false,5626.174999997602,33,36,29,2,33,32,14,0,2,0,2246.2549999910407,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,34,Know,13,ALYSSA,ALYSSA,true,8734.914999993634,34,8,4,1,34,4,30,1,0,0,2003.7000000011176,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,35,Familiar,10,NA,NA,NA,NA,35,18,12,1,35,2,28,1,2,1,3243.3999999922235,undefined,undefined,undefined,
mze29lcftj,undefined,undefined,undefined,undefined,36,Familiar,14,NA,NA,NA,NA,36,34,17,0,36,28,1,1,1,0,2247.0750000064727,undefined,undefined,undefined,
