SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
o8z9e3uam7,w5oc7t943c,Mon Oct 26 2020 17:30:56 GMT-0500 (Central Daylight Time),2020-10-26,17:30:56,1,Familiar,28,NA,NA,NA,NA,1,11,22,0,1,16,20,0,2,0,11819.844999932684,17:57:27,121318.96499998402,111526.42999996897,
o8z9e3uam7,undefined,undefined,undefined,undefined,2,Know,27,ELIZABETH,ELIZABETH,true,10839.589999988675,2,34,9,2,2,21,9,1,2,1,3635.590000078082,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,3,Familiar,20,NA,NA,NA,NA,3,36,3,2,3,31,5,0,2,1,2918.614999973215,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,4,Know,23,ZOEY,ZOEY,true,4049.9500000150874,4,20,14,0,4,9,7,0,2,1,2115.500000072643,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,5,Know,3,HANNAH,HANNAH,true,3177.7849999489263,5,26,1,0,5,11,21,1,0,1,3302.170000039041,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,6,Familiar,30,NA,NA,NA,NA,6,6,2,1,6,24,8,1,1,1,26174.029999994673,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,7,Familiar,26,NA,NA,NA,NA,7,33,24,0,7,4,27,0,2,0,1963.8900000136346,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,8,Know,8,HAZEL,HAZEL,true,1786.824999959208,8,9,7,2,8,29,28,1,1,0,3090.8350000390783,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,9,Familiar,12,NA,NA,NA,NA,9,16,20,2,9,17,17,0,1,0,6924.159999936819,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,10,Know,17,MADISON,MADISON,true,1654.8400000901893,10,12,11,0,10,14,2,1,1,1,6019.22499993816,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,11,Know,19,VICTORIA,VICTORIA,true,2611.7749999975786,11,25,35,2,11,1,10,0,2,0,1576.6350000631064,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,12,Familiar,33,NA,NA,NA,NA,12,8,15,1,12,6,31,1,1,1,2716.4049999555573,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,13,Familiar,5,NA,NA,NA,NA,13,30,4,0,13,23,26,0,1,1,9191.279999911785,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,14,Know,13,ASHLEY,ASHLEY,true,1937.7399999648333,14,14,31,1,14,28,19,0,0,0,2733.214999898337,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,15,Familiar,7,NA,NA,NA,NA,15,19,6,1,15,34,12,1,2,1,6444.980000029318,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,16,Know,22,NANCY,NANCY,true,1483.8849999941885,16,15,34,0,16,25,23,1,2,1,22287.79999993276,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,17,Familiar,11,NA,NA,NA,NA,17,3,30,1,17,10,22,1,0,1,10724.144999985583,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,18,Familiar,10,NA,NA,NA,NA,18,32,33,2,18,30,4,0,0,0,8574.60000005085,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,19,Know,6,NICOLE,NICOLE,true,1456.4450000179932,19,31,5,2,19,5,34,1,0,1,2976.314999978058,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,20,Know,14,JESSICA,JESSICA,true,1998.9150000037625,20,5,32,0,20,13,25,1,1,1,10138.509999960661,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,21,Familiar,35,NA,NA,NA,NA,21,10,21,0,21,15,32,1,0,1,4858.525000046939,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,22,Familiar,15,NA,NA,NA,NA,22,17,17,1,22,22,36,1,1,1,2348.4300000127405,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,23,Know,24,GRACE,GRACE,true,1801.8050000537187,23,1,10,2,23,2,35,1,2,0,8343.445000005886,undefined,undefined,undefined,
o8z9e3uam7,undefined,undefined,undefined,undefined,24,Know,29,COURTNEY,COURTNEY,true,1817.159999976866,24,21,12,2,24,20,14,0,0,0,3425.5400000838563,undefined,undefined,undefined,
