SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
pv8a29jvup,47woxszdwt,Fri Oct 23 2020 19:30:51 GMT-0500 (Central Daylight Time),2020-10-23,19:30:51,1,Familiar,23,NA,NA,NA,NA,1,10,7,1,1,28,26,0,2,0,3106.545000000624,19:51:57,122585.32999999984,60054.28000000049,
pv8a29jvup,undefined,undefined,undefined,undefined,2,Familiar,17,NA,NA,NA,NA,2,20,13,1,2,5,19,0,1,0,1160.7949999999255,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,3,Know,29,SAMANTHA,SAMANTHA,true,3676.099999998769,3,22,22,0,3,19,9,1,1,1,1373.3049999992363,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,4,Familiar,1,NA,NA,NA,NA,4,11,23,1,4,23,36,0,0,0,1090.5250000015367,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,5,Familiar,33,NA,NA,NA,NA,5,4,14,1,5,7,10,1,2,1,1188.680000001099,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,6,Know,5,EMILY,EMILY,true,2481.304999999338,6,26,12,2,6,2,34,0,1,0,738.9999999995343,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,7,Know,13,ASHLEY,ASHLEY,true,2403.9250000005122,7,9,5,1,7,26,12,0,2,0,934.0049999991897,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,8,Familiar,30,NA,NA,NA,NA,8,31,17,2,8,32,28,1,0,1,960.5749999992549,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,9,Familiar,22,NA,NA,NA,NA,9,18,27,2,9,6,3,1,2,1,1760.1150000011548,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,10,Know,11,MADISON,MADISON,true,2757.050000000163,10,21,9,1,10,15,1,1,0,0,1523.320000000298,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,11,Know,9,HANNAH,HANNAH,true,2020.5800000003073,11,27,33,1,11,11,23,0,1,0,806.0299999995623,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,12,Familiar,15,NA,NA,NA,NA,12,35,24,2,12,8,18,1,0,1,3788.3250000013504,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,13,Know,2,VICTORIA,VICTORIA,true,2123.1950000001234,13,25,18,0,13,30,20,0,0,0,1716.3600000003353,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,14,Know,27,MEGAN,MEGAN,true,1648.909999999887,14,29,4,1,14,21,2,1,1,1,1039.9600000001956,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,15,Familiar,24,NA,NA,NA,NA,15,8,25,0,15,13,29,0,1,0,932.2200000006706,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,16,Know,10,GRACE,GRACE,true,1584.9149999994552,16,2,34,1,16,12,31,1,2,1,1137.4300000006333,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,17,Familiar,32,NA,NA,NA,NA,17,23,36,0,17,34,21,1,2,1,1025.5699999998324,undefined,undefined,undefined,
pv8a29jvup,undefined,undefined,undefined,undefined,18,Know,21,LISA,LISA,true,1559.1700000004494,18,5,19,1,18,31,27,1,2,1,936.4949999998789,undefined,undefined,undefined,
