SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
r9a76ogsvf,3drl7ucckb,Wed Oct 14 2020 20:40:02 GMT-0500 (Central Daylight Time),2020-10-14,20:40:2,1,Familiar,5,NA,NA,NA,NA,1,34,26,2,1,18,18,1,0,0,6226.959999999963,21:3:48,120042.21500000125,62813.099999999395,
r9a76ogsvf,undefined,undefined,undefined,undefined,2,Know,14,STEPHANIE,STEPHANIE,true,8104.739999998885,2,4,1,2,2,26,35,0,1,0,1967.834999999497,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,3,Familiar,2,NA,NA,NA,NA,3,16,29,0,3,24,33,0,2,0,1597.0799999996088,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,4,Know,30,VICTORIA,VICTORIA,true,3156.0599999974947,4,21,36,2,4,29,5,0,2,0,1159.9800000002142,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,5,Familiar,6,NA,NA,NA,NA,5,35,22,2,5,22,6,0,1,0,869.3700000003446,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,6,Familiar,9,NA,NA,NA,NA,6,8,34,1,6,19,2,1,0,1,2647.6800000017975,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,7,Know,33,CHLOE,CHLOE,true,4829.405000000377,7,10,25,0,7,11,29,1,0,1,1716.7799999988638,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,8,Know,20,SAMANTHA,SAMANTHA,true,2969.4799999997485,8,17,17,1,8,16,31,1,0,1,2315.0400000014342,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,9,Familiar,23,NA,NA,NA,NA,9,26,35,1,9,12,3,0,2,0,3028.390000003157,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,10,Know,26,COURTNEY,COURTNEY,true,2721.669999998994,10,27,11,2,10,23,19,0,0,0,1331.9049999990966,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,11,Familiar,10,NA,NA,NA,NA,11,24,33,2,11,36,13,1,2,1,1441.4149999939837,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,12,Familiar,11,NA,NA,NA,NA,12,31,4,1,12,25,24,1,2,1,2699.775000000838,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,13,Know,22,ALYSSA,ALYSSA,true,2384.250000002794,13,7,10,1,13,27,11,0,2,0,1701.415000003064,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,14,Know,32,REBECCA,REBECCA,true,4139.8349999981,14,36,24,2,14,9,28,0,0,1,4318.3699999935925,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,15,Familiar,16,NA,NA,NA,NA,15,2,16,0,15,7,27,1,1,0,2759.265000000596,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,16,Know,8,SARAH,SARAH,true,3271.3000000003376,16,25,13,2,16,2,16,0,0,0,859.7099999971688,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,17,Familiar,18,NA,NA,NA,NA,17,23,19,0,17,21,36,0,2,0,1447.5149999996647,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,18,Familiar,1,NA,NA,NA,NA,18,20,30,1,18,1,9,1,0,1,1464.4550000012387,undefined,undefined,undefined,
r9a76ogsvf,undefined,undefined,undefined,undefined,19,Know,17,LISA,LISA,true,2723.040000000794,19,9,28,0,19,32,10,1,1,1,1781.409999995958,undefined,undefined,undefined,
