SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
rm2te2bk2y,k7wfwdju2r,Sat Oct 10 2020 15:29:32 GMT-0500 (CDT),2020-10-10,15:29:32,1,Familiar,20,NA,NA,NA,NA,1,1,25,1,1,18,30,1,0,0,2569.000000000233,15:52:36,121241,62772,
rm2te2bk2y,undefined,undefined,undefined,undefined,2,Know,5,KAYLA,KAYLA,true,5129.000000000029,2,4,9,1,2,9,17,1,0,1,1983,undefined,133944,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,3,Familiar,22,NA,NA,NA,NA,3,30,32,2,3,21,14,1,0,1,2591,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,4,Familiar,2,NA,NA,NA,NA,4,33,14,0,4,17,12,0,2,0,2530,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,5,Know,24,ASHLEY,ASHLEY,true,4778,5,10,1,2,5,32,8,0,1,1,1710,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,6,Familiar,36,NA,NA,NA,NA,6,23,33,1,6,34,33,1,1,1,1664,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,7,Familiar,14,NA,NA,NA,NA,7,36,11,0,7,16,5,0,1,0,1335,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,8,Know,31,NANCY,NANCY,true,5353,8,2,2,0,8,33,15,1,0,1,1936.9999999997672,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,9,Know,1,SOFIA,SOFIA,true,4201.000000000029,9,7,7,2,9,6,34,1,0,0,2171,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,10,Familiar,19,NA,NA,NA,NA,10,32,8,1,10,2,2,0,0,0,1487,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,11,Familiar,6,NA,NA,NA,NA,11,3,13,2,11,5,35,0,1,1,1679.9999999997672,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,12,Know,16,MADISON,MADISON,true,3466.999999999971,12,35,6,2,12,8,4,0,2,1,1733,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,13,Know,32,LAUREN,LAUREN,true,4493,13,12,3,1,13,31,16,0,1,0,1102,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,14,Familiar,33,NA,NA,NA,NA,14,8,4,2,14,14,36,0,0,0,1322.0000000002328,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,15,Familiar,18,NA,NA,NA,NA,15,15,34,0,15,23,31,1,1,1,1843,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,16,Know,28,ALYSSA,ALYSSA,true,6690,16,26,28,2,16,19,20,0,0,0,2712,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,17,Know,23,JENNIFER,JENNIFER,true,7995,17,24,21,1,17,25,24,0,2,0,1636,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,18,Familiar,21,NA,NA,NA,NA,18,9,30,0,18,29,13,1,2,1,1374,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,19,Know,34,BETTY,BETTY,true,3572,19,20,23,0,19,28,9,1,1,0,1623,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,20,Know,4,PATRICIA,PATRICIA,true,4039,20,13,19,2,20,30,32,0,2,0,3711,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,21,Familiar,15,NA,NA,NA,NA,21,31,16,1,21,20,23,0,0,1,1601,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,22,Know,11,GRACE,GRACE,true,3529.999999999942,22,5,35,1,22,15,18,1,0,1,1300,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,23,Know,12,MARY,MARY,true,3162.000000000058,23,6,18,0,23,26,28,0,2,1,1139,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,24,Familiar,9,NA,NA,NA,NA,24,22,10,0,24,3,29,1,2,1,1097.9999999997672,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,25,Know,34,BETTY,BETTY,true,4788,25,28,22,1,25,35,1,1,2,0,1295.9999999997672,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,26,Familiar,9,NA,NA,NA,NA,26,27,27,2,26,10,6,1,2,1,3106.999999999767,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,27,Familiar,22,NA,NA,NA,NA,27,29,29,2,27,4,22,1,1,1,1416,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,28,Know,32,LAUREN,LAUREN,true,5012.999999999942,28,19,20,0,28,22,10,0,0,0,1151,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,29,Familiar,36,NA,NA,NA,NA,29,25,24,2,29,27,7,1,2,1,2211,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,30,Know,24,ASHLEY,KAYLA,false,3817,30,11,26,1,30,1,25,0,1,0,1885,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,31,Know,1,SOFIA,KAYLA,false,7510,31,34,31,1,31,24,21,0,1,0,2515,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,32,Familiar,20,NA,NA,NA,NA,32,18,17,0,32,7,27,1,2,0,1296,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,33,Know,11,GRACE,KAYLA,false,3246,33,17,12,2,33,11,3,1,1,1,1286,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,34,Familiar,14,NA,NA,NA,NA,34,16,5,1,34,12,26,1,1,0,1605.0000000002328,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,35,Know,12,MARY,ASHLEY,false,17060.99999999994,35,14,36,0,35,36,11,0,0,0,1532,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,36,Know,5,KAYLA,KAYLA,true,4621,36,21,15,0,36,13,19,0,2,0,1433.9999999997672,undefined,undefined,undefined,
rm2te2bk2y,undefined,undefined,undefined,undefined,37,Familiar,2,NA,NA,NA,NA,37,7,7,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
