SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
tnjeoo4mvm,duudho9rpc,Thu Oct 15 2020 19:51:11 GMT-0500 (Central Daylight Time),2020-10-15,19:51:11,1,Familiar,33,NA,NA,NA,NA,1,28,28,0,1,26,33,0,2,1,1456.3250000064727,20:12:19,120968.82499998901,60338.71499999077,
tnjeoo4mvm,undefined,undefined,undefined,undefined,2,Familiar,27,NA,NA,NA,NA,2,6,11,2,2,24,9,0,2,0,1038.8200000161305,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,3,Know,29,VICTORIA,VICTORIA,true,7422.37000001478,3,17,24,0,3,23,17,0,1,0,774.0699999849312,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,4,Know,31,LISA,LISA,true,3313.8200000103097,4,30,2,2,4,12,12,1,1,1,1548.914999992121,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,5,Familiar,34,NA,NA,NA,NA,5,10,36,0,5,10,3,1,0,1,1781.875000015134,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,6,Familiar,15,NA,NA,NA,NA,6,13,3,0,6,36,26,1,2,1,1017.2299999976531,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,7,Know,23,PATRICIA,PATRICIA,true,8591.065000015078,7,14,26,2,7,13,36,1,0,1,1211.1349999904633,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,8,Familiar,4,NA,NA,NA,NA,8,29,18,1,8,15,25,0,0,0,1311.630000011064,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,9,Know,25,HAZEL,HAZEL,true,4370.369999989634,9,9,20,1,9,34,7,0,0,1,1315.7000000064727,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,10,Know,5,ELIZABETH,ELIZABETH,true,6581.899999990128,10,7,22,2,10,21,34,1,0,1,1011.6149999957997,undefined,undefined,undefined,
tnjeoo4mvm,undefined,undefined,undefined,undefined,11,Familiar,17,NA,NA,NA,NA,11,31,1,1,11,20,32,0,2,0,1146.8649999878835,undefined,undefined,undefined,
