SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
u691hjs9s0,zdxyn2dy20,Fri Nov 13 2020 04:11:36 GMT+0900 (대한민국 표준시),2020-11-13,4:11:36,1,Familiar,1,NA,NA,NA,NA,1,20,33,0,1,31,18,1,2,1,1819.0900000007823,4:34:19,122047.79500000272,60189.705000001006,
u691hjs9s0,undefined,undefined,undefined,undefined,2,Know,33,PATRICIA,PATRICIA,true,4135.60000000149,2,8,2,2,2,10,36,1,1,0,6103.440000003204,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,3,Know,30,VICTORIA,VICTORIA,true,3040.6399999987334,3,17,24,0,3,6,31,1,1,0,1004.9150000009686,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,4,Familiar,17,NA,NA,NA,NA,4,13,27,1,4,35,16,0,0,0,3063.399999999441,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,5,Know,21,ELIZABETH,ELIZABETH,true,2944.644999999553,5,14,21,0,5,3,12,1,0,1,1495.7450000001118,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,6,Know,4,STEPHANIE,STEPHANIE,true,2306.704999999143,6,10,31,1,6,22,3,1,2,1,1908.6700000008568,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,7,Familiar,34,NA,NA,NA,NA,7,21,30,1,7,15,35,1,2,1,2510.894999999553,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,8,Know,13,CHLOE,CHLOE,true,1079.5700000012293,8,15,32,2,8,32,15,1,0,0,1429.4550000019372,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,9,Familiar,35,NA,NA,NA,NA,9,25,25,2,9,20,33,0,0,0,1020.2299999976531,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,10,Know,23,SOFIA,SOFIA,true,934.7249999996275,10,4,23,1,10,29,11,0,2,1,1448.335000000894,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,11,Know,5,NICOLE,NICOLE,true,2189.825000002049,11,34,13,0,11,23,6,0,1,1,1008.2149999979883,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,12,Familiar,20,NA,NA,NA,NA,12,6,36,1,12,2,8,1,1,1,1510.2400000002235,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,13,Familiar,28,NA,NA,NA,NA,13,31,3,2,13,16,14,0,2,0,975.2900000018999,undefined,undefined,undefined,
u691hjs9s0,undefined,undefined,undefined,undefined,14,Know,2,EMILY,EMILY,true,2080.740000002086,14,30,20,1,14,4,23,0,1,0,2005.2599999979138,undefined,undefined,undefined,
