SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
vvv479cd73,5zbwu7v2hx,Wed Nov 04 2020 11:22:09 GMT-0600 (Central Standard Time),2020-11-4,11:22:9,1,Familiar,14,NA,NA,NA,NA,1,27,26,0,1,36,24,0,2,0,1966.240000212565,11:47:59,122476.50999994949,63572.715000016615,
vvv479cd73,undefined,undefined,undefined,undefined,2,Familiar,11,NA,NA,NA,NA,2,30,19,1,2,7,23,1,2,1,1304.770000046119,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,3,Know,34,AMANDA,AMANDA,true,4377.635000040755,3,31,34,2,3,2,8,0,1,0,1540.159999858588,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,4,Familiar,1,NA,NA,NA,NA,4,4,10,2,4,25,18,1,2,1,1659.7049999982119,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,5,Familiar,16,NA,NA,NA,NA,5,15,14,1,5,27,26,0,0,0,1613.5399998165667,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,6,Know,30,REBECCA,REBECCA,true,3847.2700000274926,6,20,6,0,6,24,3,0,2,0,1568.44999990426,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,7,Know,2,STEPHANIE,STEPHANIE,true,3562.3450002167374,7,24,3,2,7,23,15,0,2,0,2322.470000013709,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,8,Familiar,20,NA,NA,NA,NA,8,6,29,1,8,10,31,0,1,0,1359.3499998096377,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,9,Know,10,PATRICIA,PATRICIA,true,3353.0850000679493,9,19,12,2,9,4,17,1,2,1,1743.6049999669194,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,10,Know,17,COURTNEY,COURTNEY,true,3058.915000176057,10,17,4,1,10,17,4,0,1,0,1815.5700000934303,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,11,Familiar,27,NA,NA,NA,NA,11,21,2,1,11,1,25,0,0,0,1401.0149999521673,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,12,Familiar,32,NA,NA,NA,NA,12,3,9,0,12,22,11,0,1,0,1493.9749999903142,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,13,Know,22,LAUREN,LAUREN,true,3086.009999969974,13,36,24,2,13,32,9,1,0,1,1950.9199999738485,undefined,undefined,undefined,
vvv479cd73,undefined,undefined,undefined,undefined,14,Know,21,VICTORIA,VICTORIA,true,2930.3000001236796,14,14,30,0,14,5,2,1,1,1,1800.2800000831485,undefined,undefined,undefined,
