SubNum,SubNum_demo,Exp_start_time,Exp_today_date,Exp_today_time,TrialNum,Condition,Face,Name,Response,NameAcc,RespTime,StudyTrialNum,StudyFace,StudyContext,StudyFamCond,TestTrialNum,TestFace,TestContext,TestSDCond,TestFamCond,TestResponse,TestResponseTime,Exp_end_time,Distractor_1_duration,Distractor_2_duration,
y4fhmc6wgb,xvs32weplk,Mon Nov 02 2020 23:19:03 GMT-0600 (Central Standard Time),2020-11-2,23:19:3,1,Familiar,36,NA,NA,NA,NA,1,6,15,0,1,25,32,0,2,1,1465.3149999212474,23:40:3,125305.50499993842,60845.994999981485,
y4fhmc6wgb,undefined,undefined,undefined,undefined,2,Familiar,32,NA,NA,NA,NA,2,35,21,2,2,10,4,0,0,0,1593.8150000292808,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,3,Know,33,HANNAH,HANNAH,true,4400.390000082552,3,22,7,1,3,4,2,1,2,1,2126.520000048913,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,4,Know,12,HAZEL,HAZEL,true,2843.929999973625,4,13,10,1,4,36,14,0,0,0,1258.8250000262633,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,5,Familiar,10,NA,NA,NA,NA,5,26,16,0,5,6,15,0,0,0,1795.0950000667945,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,6,Know,11,ASHLEY,ASHLEY,true,3194.5449999766424,6,34,24,2,6,20,36,1,0,1,1209.7549999598414,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,7,Know,13,PATRICIA,PATRICIA,true,3210.484999930486,7,28,34,1,7,9,26,0,2,1,1507.785000023432,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,8,Familiar,5,NA,NA,NA,NA,8,33,18,1,8,19,6,1,0,1,1235.1999999955297,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,9,Familiar,6,NA,NA,NA,NA,9,25,32,2,9,22,28,1,1,0,1388.5149999987334,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,10,Know,16,SARAH,SARAH,true,2233.2300000125542,10,16,22,1,10,18,3,1,2,1,2068.580000079237,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,11,Know,31,NANCY,NANCY,true,1862.2749999631196,11,18,2,2,11,5,19,0,0,1,1377.284999936819,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,12,Familiar,24,NA,NA,NA,NA,12,17,25,2,12,11,29,0,1,0,1174.8749999096617,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,13,Familiar,26,NA,NA,NA,NA,13,12,20,1,13,7,7,1,1,1,1716.4450000273064,undefined,undefined,undefined,
y4fhmc6wgb,undefined,undefined,undefined,undefined,14,Know,8,MADISON,MADISON,true,2278.8500000024214,14,2,12,2,14,17,12,1,2,1,1407.4699999764562,undefined,undefined,undefined,
