"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","3487","0.0-0.0-0.0","06hl0aw1zn","green","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","6215","0.0-0.0-1.0","06hl0aw1zn","green","2725.379999988945","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","43036","0.0-0.0-2.0","06hl0aw1zn","green","36797.90000000503","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","52683","0.0-0.0-3.0","06hl0aw1zn","green","9636.545000001206","","","","{""Q0"":""19"",""Q1"":""0""}","","","","","","","","","","",""
"","survey-multi-select","4","74048","0.0-0.0-4.0","06hl0aw1zn","green","21363.014999995357","","","","{""Q0"":[""White""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","108643","0.0-0.0-5.0","06hl0aw1zn","green","34591.70000000449","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","108646","0.0-0.0-6.0","06hl0aw1zn","green","","","","","","","","","","","","","","","",""
"","instructions","7","191666","0.0-1.0-0.0","06hl0aw1zn","green","83017.21000000543","","","","","","","[{""page_index"":0,""viewing_time"":46854.35999999754},{""page_index"":1,""viewing_time"":9398.700000005192},{""page_index"":2,""viewing_time"":1054.4299999892246},{""page_index"":3,""viewing_time"":4288.625000001048},{""page_index"":4,""viewing_time"":2247.8050000063377},{""page_index"":5,""viewing_time"":6216.039999999339},{""page_index"":6,""viewing_time"":2200.140000000829},{""page_index"":7,""viewing_time"":10756.789999999455}]","","","","","","","",""
"","html-keyboard-response","8","193671","0.0-1.0-1.0-0.0","06hl0aw1zn","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","194674","0.0-1.0-1.0-1.0","06hl0aw1zn","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","195679","0.0-1.0-1.0-2.0","06hl0aw1zn","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","196683","0.0-1.0-1.0-3.0","06hl0aw1zn","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
