"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","5605","0.0-0.0-0.0","5us2us0rdc","red","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","12583","0.0-0.0-1.0","5us2us0rdc","red","6975.390000000005","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","105864","0.0-0.0-2.0","5us2us0rdc","red","92998.76500000003","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","111699","0.0-0.0-3.0","5us2us0rdc","red","5827.070000000051","","","","{""Q0"":""19"",""Q1"":""1""}","","","","","","","","","","",""
"","survey-multi-select","4","114648","0.0-0.0-4.0","5us2us0rdc","red","2942.389999999985","","","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","120813","0.0-0.0-5.0","5us2us0rdc","red","6160.875000000029","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","120817","0.0-0.0-6.0","5us2us0rdc","red","","","","","","","","","","","","","","","",""
"","instructions","7","211433","0.0-1.0-0.0","5us2us0rdc","red","90613.65","","","","","","","[{""page_index"":0,""viewing_time"":40736.28000000003},{""page_index"":1,""viewing_time"":12243.49999999997},{""page_index"":2,""viewing_time"":3669.3649999999907},{""page_index"":3,""viewing_time"":4111.709999999992},{""page_index"":4,""viewing_time"":5904.475000000006},{""page_index"":3,""viewing_time"":3068.3099999999977},{""page_index"":4,""viewing_time"":2087.7149999999965},{""page_index"":5,""viewing_time"":5326.169999999984},{""page_index"":6,""viewing_time"":4377.4250000000175},{""page_index"":7,""viewing_time"":3973.805000000022},{""page_index"":6,""viewing_time"":871.4200000000128},{""page_index"":5,""viewing_time"":506.32500000001164},{""page_index"":4,""viewing_time"":1472.1499999999942},{""page_index"":5,""viewing_time"":541.5899999999674},{""page_index"":6,""viewing_time"":554.6350000000384},{""page_index"":7,""viewing_time"":1168.344999999972}]","","","","","","","",""
"","html-keyboard-response","8","213436","0.0-1.0-1.0-0.0","5us2us0rdc","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","214439","0.0-1.0-1.0-1.0","5us2us0rdc","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","215442","0.0-1.0-1.0-2.0","5us2us0rdc","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","216447","0.0-1.0-1.0-3.0","5us2us0rdc","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","216893","0.0-1.0-2.0-0.0","5us2us0rdc","red","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","217713","0.0-1.0-2.0-1.0","5us2us0rdc","red","816.4300000000221","<svg viewBox=""0 0 100 100"" ><text font-size=""10%"" text-anchor=""middle""  x=""50"" y=""98"">Press Z for horizontal or M for vertical</text><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""gold"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""green"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""black"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""blueviolet"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""magenta"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(90 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(45 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","90","","","","","","VDACtraining","green","1","horizontal","true","","",""
"","html-keyboard-response","14","220220","0.0-1.0-2.0-2.0","5us2us0rdc","red","null","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","","","","","",""
