"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","3537","0.0-0.0-0.0","dk4vgokw34","green","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","6066","0.0-0.0-1.0","dk4vgokw34","green","2526.1849999951664","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","13","","","","","","","","","","","","",""
"","external-html","2","65348","0.0-0.0-2.0","dk4vgokw34","green","59205.564999982016","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","71397","0.0-0.0-3.0","dk4vgokw34","green","6040.689999994356","","","","{""Q0"":""19"",""Q1"":""1""}","","","","","","","","","","",""
"","survey-multi-select","4","73826","0.0-0.0-4.0","dk4vgokw34","green","2421.2699999916367","","","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","80029","0.0-0.0-5.0","dk4vgokw34","green","6199.309999996331","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","80034","0.0-0.0-6.0","dk4vgokw34","green","","","","","","","","","","","","","","","",""
"","instructions","7","139020","0.0-1.0-0.0","dk4vgokw34","green","58983.04500000086","","","","","","","[{""page_index"":0,""viewing_time"":24619.81000000378},{""page_index"":1,""viewing_time"":6649.514999997336},{""page_index"":2,""viewing_time"":4606.390000000829},{""page_index"":3,""viewing_time"":4564.550000010058},{""page_index"":4,""viewing_time"":1874.760000006063},{""page_index"":5,""viewing_time"":4213.899999973364},{""page_index"":6,""viewing_time"":2428.9750000170898},{""page_index"":7,""viewing_time"":10024.529999995138}]","","","","","","","",""
"","html-keyboard-response","8","141026","0.0-1.0-1.0-0.0","dk4vgokw34","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","142033","0.0-1.0-1.0-1.0","dk4vgokw34","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","143034","0.0-1.0-1.0-2.0","dk4vgokw34","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","144038","0.0-1.0-1.0-3.0","dk4vgokw34","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","144852","0.0-1.0-2.0-0.0","dk4vgokw34","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
