"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","14684","0.0-0.0-0.0","fug203u3s0","green","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","22564","0.0-0.0-1.0","fug203u3s0","green","7877.6899999938905","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","50071","0.0-0.0-2.0","fug203u3s0","green","26960.36499994807","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","55908","0.0-0.0-3.0","fug203u3s0","green","5826.539999805391","","","","{""Q0"":""20"",""Q1"":""1""}","","","","","","","","","","",""
"","survey-multi-select","4","58677","0.0-0.0-4.0","fug203u3s0","green","2763.8499999884516","","","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","67745","0.0-0.0-5.0","fug203u3s0","green","9065.119999926537","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Somewhat better than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","67748","0.0-0.0-6.0","fug203u3s0","green","","","","","","","","","","","","","","","",""
"","instructions","7","146263","0.0-1.0-0.0","fug203u3s0","green","78512.80999998562","","","","","","","[{""page_index"":0,""viewing_time"":23418.860000092536},{""page_index"":1,""viewing_time"":12962.234999984503},{""page_index"":2,""viewing_time"":2934.0849998407066},{""page_index"":3,""viewing_time"":9484.805000014603},{""page_index"":4,""viewing_time"":7381.230000173673},{""page_index"":5,""viewing_time"":7015.859999926761},{""page_index"":6,""viewing_time"":6873.910000082105},{""page_index"":7,""viewing_time"":8441.179999848828}]","","","","","","","",""
"","html-keyboard-response","8","148265","0.0-1.0-1.0-0.0","fug203u3s0","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","149269","0.0-1.0-1.0-1.0","fug203u3s0","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","150270","0.0-1.0-1.0-2.0","fug203u3s0","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","151276","0.0-1.0-1.0-3.0","fug203u3s0","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","152016","0.0-1.0-2.0-0.0","fug203u3s0","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
