"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","2073","0.0-0.0-0.0","fv9pw6xlxx","green","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","4092","0.0-0.0-1.0","fv9pw6xlxx","green","2018.5199999978067","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","10694","0.0-0.0-2.0","fv9pw6xlxx","green","6569.845000005444","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","14733","0.0-0.0-3.0","fv9pw6xlxx","green","4035.0649999891175","","","","{""Q0"":""21"",""Q1"":""3""}","","","","","","","","","","",""
"","survey-multi-select","4","17607","0.0-0.0-4.0","fv9pw6xlxx","green","2871.7299999989336","","","","{""Q0"":[""White""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","24091","0.0-0.0-5.0","fv9pw6xlxx","green","6481.479999987641","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","24093","0.0-0.0-6.0","fv9pw6xlxx","green","","","","","","","","","","","","","","","",""
"","instructions","7","301006","0.0-1.0-0.0","fv9pw6xlxx","green","276912.2150000039","","","","","","","[{""page_index"":0,""viewing_time"":249585.81000000413},{""page_index"":1,""viewing_time"":10924.109999992652},{""page_index"":2,""viewing_time"":1137.5550000084331},{""page_index"":3,""viewing_time"":2931.4900000026682},{""page_index"":4,""viewing_time"":1868.4849999990547},{""page_index"":5,""viewing_time"":2479.7399999952177},{""page_index"":6,""viewing_time"":1567.364999995334},{""page_index"":7,""viewing_time"":6417.535000000498}]","","","","","","","",""
"","html-keyboard-response","8","303018","0.0-1.0-1.0-0.0","fv9pw6xlxx","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","304031","0.0-1.0-1.0-1.0","fv9pw6xlxx","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","305032","0.0-1.0-1.0-2.0","fv9pw6xlxx","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","306045","0.0-1.0-1.0-3.0","fv9pw6xlxx","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","306504","0.0-1.0-2.0-0.0","fv9pw6xlxx","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
