"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","4663","0.0-0.0-0.0","kkvbfdpu1b","red","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","7326","0.0-0.0-1.0","kkvbfdpu1b","red","2658.0250000000087","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","54997","0.0-0.0-2.0","kkvbfdpu1b","red","47516.05499999999","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","74779","0.0-0.0-3.0","kkvbfdpu1b","red","19766.490000000034","","","","{""Q0"":""22"",""Q1"":""3""}","","","","","","","","","","",""
"","survey-multi-select","4","77699","0.0-0.0-4.0","kkvbfdpu1b","red","2911.3150000000023","","","","{""Q0"":[""Black or African-American""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","87138","0.0-0.0-5.0","kkvbfdpu1b","red","9432.295000000013","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Somewhat worse than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","87145","0.0-0.0-6.0","kkvbfdpu1b","red","","","","","","","","","","","","","","","",""
"","instructions","7","179614","0.0-1.0-0.0","kkvbfdpu1b","red","92467.11499999999","","","","","","","[{""page_index"":0,""viewing_time"":26303.87999999999},{""page_index"":1,""viewing_time"":10284.949999999983},{""page_index"":2,""viewing_time"":2245.6950000000215},{""page_index"":3,""viewing_time"":1641.2149999999965},{""page_index"":2,""viewing_time"":4390.955000000016},{""page_index"":3,""viewing_time"":6685.349999999948},{""page_index"":2,""viewing_time"":3114.86500000002},{""page_index"":3,""viewing_time"":7372.270000000019},{""page_index"":4,""viewing_time"":6029.859999999986},{""page_index"":5,""viewing_time"":6404.955000000016},{""page_index"":6,""viewing_time"":4550.705000000016},{""page_index"":7,""viewing_time"":7863.454999999987},{""page_index"":6,""viewing_time"":768.4499999999534},{""page_index"":5,""viewing_time"":361.1350000000675},{""page_index"":4,""viewing_time"":2982.1699999999837},{""page_index"":5,""viewing_time"":340.66500000000815},{""page_index"":6,""viewing_time"":462.0599999999977},{""page_index"":7,""viewing_time"":663.8549999999523}]","","","","","","","",""
"","html-keyboard-response","8","181617","0.0-1.0-1.0-0.0","kkvbfdpu1b","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","182619","0.0-1.0-1.0-1.0","kkvbfdpu1b","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
