"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","2659","0.0-0.0-0.0","lua1n8jyqn","red","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","7628","0.0-0.0-1.0","lua1n8jyqn","red","4964","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","11106","0.0-0.0-2.0","lua1n8jyqn","red","3191","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","15075","0.0-0.0-3.0","lua1n8jyqn","red","3937","","","","{""Q0"":""20"",""Q1"":""3""}","","","","","","","","","","",""
"","survey-multi-select","4","17548","0.0-0.0-4.0","lua1n8jyqn","red","2470","","","","{""Q0"":[""White""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","27321","0.0-0.0-5.0","lua1n8jyqn","red","9769.000000000004","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Much better than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","27323","0.0-0.0-6.0","lua1n8jyqn","red","","","","","","","","","","","","","","","",""
"","instructions","7","77197","0.0-1.0-0.0","lua1n8jyqn","red","49872","","","","","","","[{""page_index"":0,""viewing_time"":12373},{""page_index"":1,""viewing_time"":5668},{""page_index"":2,""viewing_time"":3337},{""page_index"":3,""viewing_time"":8051},{""page_index"":4,""viewing_time"":1939},{""page_index"":5,""viewing_time"":5194},{""page_index"":6,""viewing_time"":2474},{""page_index"":7,""viewing_time"":3960},{""page_index"":6,""viewing_time"":1127},{""page_index"":5,""viewing_time"":435.00000000001455},{""page_index"":4,""viewing_time"":2485.9999999999854},{""page_index"":5,""viewing_time"":1292},{""page_index"":6,""viewing_time"":603.0000000000146},{""page_index"":7,""viewing_time"":932.9999999999854}]","","","","","","","",""
"","html-keyboard-response","8","79200","0.0-1.0-1.0-0.0","lua1n8jyqn","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","80203","0.0-1.0-1.0-1.0","lua1n8jyqn","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
