"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","3262","0.0-0.0-0.0","oa7zj24qak","green","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","6177","0.0-0.0-1.0","oa7zj24qak","green","2911.1749999999574","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","13333","0.0-0.0-2.0","oa7zj24qak","green","7105.634999999893","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","21865","0.0-0.0-3.0","oa7zj24qak","green","8505.609999999933","","","","{""Q0"":""21"",""Q1"":""2""}","","","","","","","","","","",""
"","survey-multi-select","4","23906","0.0-0.0-4.0","oa7zj24qak","green","2026.9700000001176","","","","{""Q0"":[""Asian""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","31128","0.0-0.0-5.0","oa7zj24qak","green","7214.469999999892","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Somewhat better than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","31137","0.0-0.0-6.0","oa7zj24qak","green","","","","","","","","","","","","","","","",""
"","instructions","7","100851","0.0-1.0-0.0","oa7zj24qak","green","69712.54000000021","","","","","","","[{""page_index"":0,""viewing_time"":23925.38500000001},{""page_index"":1,""viewing_time"":11626.875000000153},{""page_index"":2,""viewing_time"":4382.25499999999},{""page_index"":3,""viewing_time"":4938.264999999767},{""page_index"":4,""viewing_time"":2881.1700000001147},{""page_index"":5,""viewing_time"":5159.140000000203},{""page_index"":6,""viewing_time"":2852.855000000098},{""page_index"":5,""viewing_time"":3391.1799999996147},{""page_index"":6,""viewing_time"":3160.9950000001845},{""page_index"":7,""viewing_time"":7393.270000000033}]","","","","","","","",""
"","html-keyboard-response","8","102870","0.0-1.0-1.0-0.0","oa7zj24qak","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","103882","0.0-1.0-1.0-1.0","oa7zj24qak","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","104898","0.0-1.0-1.0-2.0","oa7zj24qak","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","105907","0.0-1.0-1.0-3.0","oa7zj24qak","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","106640","0.0-1.0-2.0-0.0","oa7zj24qak","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","107662","0.0-1.0-2.0-1.0","oa7zj24qak","green","null","<svg viewBox=""0 0 100 100"" ><text font-size=""10%"" text-anchor=""middle""  x=""50"" y=""98"">Press Z for horizontal or M for vertical</text><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""black"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""green"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""gold"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""blueviolet"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""magenta"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(90 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(45 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","null","","","","","","VDACtraining","green","1","horizontal","null","","",""
"","html-keyboard-response","14","110185","0.0-1.0-2.0-2.0","oa7zj24qak","green","null","<p style=""font-size:300%;"">Miss.</p> <p style=""font-size:300%;"">Too slow.</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","111928","0.0-1.0-2.0-0.1","oa7zj24qak","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
