"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","2873","0.0-0.0-0.0","pu4ctkf8se","green","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","6237","0.0-0.0-1.0","pu4ctkf8se","green","3361.5549999958603","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","8627","0.0-0.0-2.0","pu4ctkf8se","green","2375.5899999960093","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","13072","0.0-0.0-3.0","pu4ctkf8se","green","4438.225000005332","","","","{""Q0"":""22"",""Q1"":""3""}","","","","","","","","","","",""
"","survey-multi-select","4","15880","0.0-0.0-4.0","pu4ctkf8se","green","2801.3150000042515","","","","{""Q0"":[""White""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","22983","0.0-0.0-5.0","pu4ctkf8se","green","7099.389999988489","","","","{""Q0"":""Female"",""Q1"":""Yes"",""Q2"":""Average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","22985","0.0-0.0-6.0","pu4ctkf8se","green","","","","","","","","","","","","","","","",""
"","instructions","7","61188","0.0-1.0-0.0","pu4ctkf8se","green","38199.46499999787","","","","","","","[{""page_index"":0,""viewing_time"":1748.6649999918882},{""page_index"":1,""viewing_time"":5383.16000001214},{""page_index"":2,""viewing_time"":1617.9299999930663},{""page_index"":3,""viewing_time"":2179.5949999941513},{""page_index"":4,""viewing_time"":2263.215000013588},{""page_index"":5,""viewing_time"":21114.53999999503},{""page_index"":6,""viewing_time"":2272.125000003143},{""page_index"":7,""viewing_time"":1619.8049999948125}]","","","","","","","",""
"","html-keyboard-response","8","62697","0.0-1.0-1.0-0.0","pu4ctkf8se","green","1506.6349999979138","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","39","","","","","","","","","","","","",""
"","html-keyboard-response","9","63698","0.0-1.0-1.0-1.0","pu4ctkf8se","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","64704","0.0-1.0-1.0-2.0","pu4ctkf8se","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","65709","0.0-1.0-1.0-3.0","pu4ctkf8se","green","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","12","66408","0.0-1.0-2.0-0.0","pu4ctkf8se","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
"","html-keyboard-response","13","67154","0.0-1.0-2.0-1.0","pu4ctkf8se","green","742.6699999923585","<svg viewBox=""0 0 100 100"" ><text font-size=""10%"" text-anchor=""middle""  x=""50"" y=""98"">Press Z for horizontal or M for vertical</text><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""magenta"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""blueviolet"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""gold"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""black"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""red"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(0 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","77","","","","","","VDACtraining","red","5","vertical","true","","",""
"","html-keyboard-response","14","69665","0.0-1.0-2.0-2.0","pu4ctkf8se","green","null","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","15","71368","0.0-1.0-2.0-0.1","pu4ctkf8se","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
"","html-keyboard-response","16","72230","0.0-1.0-2.0-1.1","pu4ctkf8se","green","860.2549999923212","<svg viewBox=""0 0 100 100"" ><text font-size=""10%"" text-anchor=""middle""  x=""50"" y=""98"">Press Z for horizontal or M for vertical</text><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""blueviolet"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""green"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""magenta"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""gold"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""black"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(0 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(45 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","77","","","","","","VDACtraining","green","2","vertical","true","","",""
"","html-keyboard-response","17","74740","0.0-1.0-2.0-2.1","pu4ctkf8se","green","null","<p style=""font-size:300%;"">Correct!</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","18","76445","0.0-1.0-2.0-0.2","pu4ctkf8se","green","null","<svg viewBox=""0 0 100 100"" > <path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/>","null","","","","","","","","","","","","",""
"","html-keyboard-response","19","77308","0.0-1.0-2.0-1.2","pu4ctkf8se","green","860.6949999957578","<svg viewBox=""0 0 100 100"" ><text font-size=""10%"" text-anchor=""middle""  x=""50"" y=""98"">Press Z for horizontal or M for vertical</text><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26  15)"" stroke=""magenta"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0  30)"" stroke=""gold"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26  15)"" stroke=""cyan"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(-26 -15)"" stroke=""green"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate(  0 -30)"" stroke=""blueviolet"" /><circle cx=""50"" cy=""50"" r=""10"" fill=""none"" transform=""translate( 26 -15)"" stroke=""black"" /><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26  15) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0  30) rotate(45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26  15) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(-26 -15) rotate(90 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate(  0 -30) rotate(-45 50 50)""/><path d=""M 50 57 L 50 43"" stroke=""black"" transform=""translate( 26 -15) rotate(-45 50 50)""/><path d=""M 50 52 L 50 48"" stroke=""black"" stroke-width="".5""/> <path d=""M 52 50 L 48 50"" stroke=""black"" stroke-width="".5""/></svg>","90","","","","","","VDACtraining","green","3","horizontal","true","","",""
