"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","stimulus","key_press","url","responses","question_order","value","view_history","trialType","color","tgtPosition","orientation","correct","rewardType","reward","colorPosition"
"true","fullscreen","0","3264","0.0-0.0-0.0","tk14meo2sj","red","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","6163","0.0-0.0-1.0","tk14meo2sj","red","2897.530000016559","<div style= ""font-size:20px;"" <p> <strong> Welcome to the experiment! </strong><br> <p style=""color:red; font-size:25px;""> Please do NOT exit full screen until you are done with the experiment. </p><p style=""color:red;""> The experiment will be canceled and your data will be lost if you try to go back or refresh the page at any time during the experiment.</p><p style=""color:red;""> Please rely on your memory and do NOT write anything down throughout the experiment. </p><br><p style=""color:black;"">Press any key to continue.</p> </span>","32","","","","","","","","","","","","",""
"","external-html","2","54511","0.0-0.0-2.0","tk14meo2sj","red","48287.959999986924","","","http://labs.psychology.illinois.edu/~jy57/memory_capture/supportFiles/Consent.html","","","","","","","","","","","",""
"","survey-text","3","65675","0.0-0.0-3.0","tk14meo2sj","red","11154.7750000027","","","","{""Q0"":""18"",""Q1"":""0""}","","","","","","","","","","",""
"","survey-multi-select","4","67529","0.0-0.0-4.0","tk14meo2sj","red","1850.910000037402","","","","{""Q0"":[""White""]}","[0]","","","","","","","","","",""
"","survey-multi-choice","5","78894","0.0-0.0-5.0","tk14meo2sj","red","11361.109999998007","","","","{""Q0"":""Female"",""Q1"":""No"",""Q2"":""Somewhat worse than average""}","[0,1,2]","","","","","","","","","",""
"","call-function","6","78898","0.0-0.0-6.0","tk14meo2sj","red","","","","","","","","","","","","","","","",""
"","instructions","7","161211","0.0-1.0-0.0","tk14meo2sj","red","82313.43500001822","","","","","","","[{""page_index"":0,""viewing_time"":32357.81000001589},{""page_index"":1,""viewing_time"":13539.540000027046},{""page_index"":2,""viewing_time"":3706.724999996368},{""page_index"":3,""viewing_time"":4495.454999967478},{""page_index"":4,""viewing_time"":1373.7700000056066},{""page_index"":5,""viewing_time"":5082.315000006929},{""page_index"":6,""viewing_time"":12303.865000023507},{""page_index"":7,""viewing_time"":9453.319999971427}]","","","","","","","",""
"","html-keyboard-response","8","163216","0.0-1.0-1.0-0.0","tk14meo2sj","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>&nbsp</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","164218","0.0-1.0-1.0-1.0","tk14meo2sj","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>3</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","10","165220","0.0-1.0-1.0-2.0","tk14meo2sj","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>2</p>","null","","","","","","","","","","","","",""
"","html-keyboard-response","11","166224","0.0-1.0-1.0-3.0","tk14meo2sj","red","null","<p>Place your fingers on the <b>Z</b> and <b>M</b> keys. The experiment will begin shortly.</p><p>1</p>","null","","","","","","","","","","","","",""
