"subj_idx","rt","response","rwdType","tgtPos","colPos","colMatch"
"06h",1.02029,1,1,3,3,2
"06h",1.68081,1,2,3,3,2
"06h",0.63527,1,1,3,3,2
"06h",0.700335,1,2,1,1,2
"06h",0.708685,1,1,1,1,2
"06h",0.84586,1,2,3,3,2
"06h",0.732825,1,1,3,3,2
"06h",1.0756,1,1,2,2,2
"06h",0.73453,1,2,1,1,2
"06h",0.984435,1,1,1,1,2
"06h",0.81664,1,1,1,1,2
"06h",0.92918,1,2,2,2,2
"06h",0.798065,1,2,3,3,2
"06h",0.84948,1,1,1,1,2
"06h",0.736555,1,2,1,1,2
"06h",0.871525,1,1,1,1,2
"06h",0.92138,1,2,2,2,2
"06h",0.49037,1,2,3,3,2
"06h",0.665075,0,1,2,2,2
"06h",0.78079,0,2,2,2,2
"06h",1.01793,1,1,3,3,2
"06h",0.796715,1,1,2,2,2
"06h",0.62703,1,2,1,1,2
"06h",0.51167,1,2,3,3,2
"06h",0.810185,1,1,2,2,2
"06h",0.76131,1,2,2,2,2
"06h",0.818675,0,1,3,3,2
"06h",0.576835,0,2,1,1,2
"06h",0.728755,1,1,2,2,2
"06h",0.57246,1,2,2,2,2
"0ja",0.891825,1,2,2,2,2
"0ja",0.92615,1,2,1,1,2
"0ja",1.019755,1,1,1,1,2
"0ja",0.828455,1,2,2,2,2
"0ja",0.88241,1,1,2,2,2
"0ja",0.93144,1,2,3,3,2
"0ja",1.36942,0,1,1,1,2
"0ja",0.733215,1,2,3,3,2
"0ja",0.7863,1,1,3,3,2
"0ja",0.704455,1,1,2,2,2
"0ja",0.94781,1,1,3,3,2
"0ja",0.770885,1,2,3,3,2
"0ja",0.482155,1,2,3,3,2
"0ja",0.65716,1,1,2,2,2
"0ja",0.92792,1,2,1,1,2
"0ja",0.81909,1,2,1,1,2
"0ja",0.82661,1,2,3,3,2
"0ja",0.490785,1,1,3,3,2
"0ja",0.581975,1,1,1,1,2
"0ja",0.703445,1,1,2,2,2
"0ja",0.6467,1,1,1,1,2
"0ja",0.80932,1,2,1,1,2
"0ja",0.77396,1,2,1,1,2
"0ja",0.70338,1,1,3,3,2
"0ja",0.77701,1,2,2,2,2
"0ja",0.952395,1,1,1,1,2
"0ja",0.783475,1,1,2,2,2
"0ja",0.505405,1,1,3,3,2
"0ja",0.9002,1,2,2,2,2
"0ja",0.683975,1,2,2,2,2
"1cf",0.479,0,1,1,1,2
"1cf",0.552,0,2,3,3,2
"1cf",0.627,0,2,1,1,2
"1cf",0.973,0,2,2,2,2
"1cf",0.621,1,1,3,3,2
"1cf",0.613,1,1,2,2,2
"1cf",0.589,1,2,2,2,2
"1cf",0.576,1,1,2,2,2
"1cf",0.609,1,1,2,2,2
"1cf",0.595,1,1,3,3,2
"1cf",0.657,1,2,1,1,2
"1cf",0.696,1,1,1,1,2
"1cf",0.548,1,2,1,1,2
"1cf",0.519,1,1,2,2,2
"1cf",0.548,1,2,3,3,2
"1cf",0.61,0,2,1,1,2
"1cf",0.621,1,2,3,3,2
"1cf",0.654,1,1,1,1,2
"1cf",0.508,1,1,1,1,2
"1cf",0.499,1,2,1,1,2
"1cf",0.718,1,2,2,2,2
"1cf",0.758,1,1,1,1,2
"1cf",0.486,1,1,3,3,2
"1cf",0.745,1,1,2,2,2
"1cf",0.548,1,1,3,3,2
"1cf",0.926,1,2,2,2,2
"1cf",1.027,1,2,2,2,2
"1cf",0.524,1,2,3,3,2
"1cf",0.67,1,2,3,3,2
"1cf",0.507,1,1,3,3,2
"2k3",1.318,1,2,1,1,2
"2k3",1.344,1,2,3,3,2
"2k3",0.783,1,1,3,3,2
"2k3",1.01,1,1,1,1,2
"2k3",1.388,1,1,1,1,2
"2k3",0.753,0,1,3,3,2
"2k3",2.063,0,1,2,2,2
"2k3",0.935,1,2,3,3,2
"2k3",1.3,1,1,2,2,2
"2k3",0.823,0,2,1,1,2
"2k3",1.402,0,2,2,2,2
"2k3",1.49,1,2,2,2,2
"2k3",1.386,0,2,2,2,2
"2k3",1.093,1,1,3,3,2
"2k3",1.057,1,1,3,3,2
"2k3",1.302,1,2,1,1,2
"2k3",1.367,1,2,3,3,2
"2k3",2.49,1,2,3,3,2
"2k3",1.178,1,2,1,1,2
"2k3",1.29,1,1,2,2,2
