"subj_idx","rt","response","rwdType","tgtPos","colPos","colMatch"
0,0.685195,1,0,3,0,0
0,1.52278,0,1,1,3,1
0,0.78622,1,1,1,2,1
0,0.93293,1,0,1,0,0
0,1.805445,1,0,1,0,0
0,0.897935,1,1,2,1,1
0,0.973175,1,1,1,2,1
0,1.299015,1,0,2,0,0
0,0.90246,1,1,2,3,1
0,1.1212,1,0,1,0,0
0,0.85152,1,0,2,0,0
0,0.93829,0,1,2,3,1
0,0.920375,1,1,3,2,1
0,0.750685,0,1,2,1,1
0,0.79264,1,0,3,0,0
0,1.522245,0,0,2,0,0
0,0.606595,1,1,3,2,1
0,0.95643,1,1,1,3,1
0,0.946445,1,0,1,0,0
0,0.89896,1,0,3,0,0
0,0.80205,1,1,3,1,1
0,0.76033,1,1,2,1,1
0,0.632505,1,1,3,2,1
0,0.73817,1,0,3,0,0
0,0.76732,1,1,2,3,1
0,0.786755,1,1,1,2,1
0,0.81793,0,1,2,1,1
0,0.654915,1,0,3,0,0
0,0.7766,0,0,2,0,0
0,1.93948,1,1,1,3,1
0,0.777815,1,1,1,2,1
0,1.118805,1,0,2,0,0
0,1.19913,1,1,2,1,1
0,1.107605,1,1,3,1,1
0,1.326155,1,1,1,2,1
0,0.854785,1,1,2,3,1
0,0.620125,0,0,1,0,0
0,1.298515,1,1,2,3,1
0,0.97065,1,1,2,3,1
0,0.934885,1,1,3,2,1
0,0.68962,1,1,3,1,1
0,0.65226,1,1,1,2,1
0,0.93029,1,1,3,2,1
0,0.709535,1,0,1,0,0
0,0.763105,1,1,1,2,1
0,0.875055,1,0,1,0,0
0,0.732695,1,1,3,2,1
0,0.709,1,1,2,3,1
0,0.739455,1,1,3,2,1
0,0.640245,1,0,3,0,0
0,0.845505,1,1,1,2,1
0,1.630045,1,1,1,3,1
0,0.983985,1,1,2,1,1
0,1.03018,1,1,3,1,1
0,0.922285,1,0,2,0,0
0,0.64471,1,1,3,2,1
0,0.93329,1,1,1,3,1
0,0.614365,1,1,3,1,1
0,0.782635,1,1,1,3,1
0,1.16457,1,1,2,1,1
0,0.556355,1,1,3,1,1
0,1.17967,1,0,3,0,0
0,1.28143,1,1,2,1,1
0,1.254205,0,0,2,0,0
0,0.61529,1,1,1,3,1
0,1.810235,0,1,1,2,1
0,0.440375,1,0,3,0,0
0,0.75276,1,1,3,2,1
0,0.63083,1,1,1,3,1
0,0.65387,1,1,3,1,1
0,1.35554,1,0,1,0,0
0,1.10742,1,0,3,0,0
0,0.757485,0,0,1,0,0
0,0.79697,1,1,1,2,1
0,0.725555,1,0,2,0,0
0,0.668175,1,1,3,1,1
0,0.810715,1,0,2,0,0
0,0.682815,1,0,2,0,0
0,0.62801,1,1,2,3,1
0,0.785195,1,0,1,0,0
0,0.93938,0,1,2,3,1
0,0.790425,1,0,3,0,0
0,0.843735,1,1,2,3,1
0,0.62754,1,1,1,3,1
0,0.695175,1,1,2,1,1
0,0.797215,1,1,1,3,1
0,0.75563,1,1,2,1,1
0,0.675755,1,1,3,2,1
0,0.667295,1,1,3,1,1
1,1.003925,1,1,1,2,1
1,1.005055,1,1,3,1,1
1,0.885585,1,1,3,1,1
1,0.9315,1,0,1,0,0
1,1.07088,1,1,2,1,1
1,0.9468,1,0,1,0,0
1,0.98445,1,1,2,1,1
1,1.00124,1,0,2,0,0
1,0.953995,1,0,1,0,0
1,0.936335,1,1,2,1,1
1,0.669505,1,0,3,0,0
1,0.878205,1,1,3,2,1
1,0.82397,1,0,2,0,0
1,0.805715,1,1,2,3,1
1,1.71747,0,0,2,0,0
1,0.94849,1,1,2,3,1
1,0.91658,1,1,1,3,1
1,0.827905,1,0,2,0,0
1,0.577725,1,0,3,0,0
1,0.854945,1,1,1,3,1
1,0.92987,1,1,1,3,1
1,0.999675,1,1,1,2,1
1,0.96456,1,1,3,1,1
1,0.836275,1,1,2,1,1
1,0.730935,1,1,3,1,1
1,0.676645,1,1,3,1,1
1,0.710925,1,1,3,2,1
1,0.817055,1,1,1,2,1
1,1.21718,1,0,1,0,0
1,0.87393,1,1,2,1,1
1,0.56697,1,0,3,0,0
1,0.86357,1,1,2,1,1
1,0.86902,1,0,2,0,0
1,0.915925,1,1,3,1,1
1,0.914195,1,1,1,2,1
1,0.748145,1,1,1,3,1
1,0.69401,1,1,2,3,1
1,0.71151,1,1,1,2,1
1,0.864075,1,0,1,0,0
1,0.730215,1,1,1,2,1
1,0.80534,1,1,2,3,1
1,0.70381,1,1,3,2,1
1,0.628915,1,0,3,0,0
1,0.606435,1,1,3,1,1
1,0.88411,1,1,2,1,1
1,0.67085,1,1,1,3,1
1,0.80063,1,1,2,3,1
1,0.80264,1,0,1,0,0
1,0.77977,1,0,1,0,0
1,0.54076,1,1,3,2,1
1,0.663905,1,1,1,3,1
1,0.622275,1,1,2,3,1
1,0.87417,1,0,2,0,0
1,0.65801,1,0,3,0,0
1,0.548145,1,0,3,0,0
1,0.80923,1,1,3,2,1
1,0.508805,1,0,3,0,0
1,0.75078,1,1,2,1,1
1,0.53381,1,1,3,1,1
1,0.88968,1,1,3,2,1
1,0.78738,1,0,1,0,0
1,0.876955,1,0,2,0,0
1,0.736795,1,1,2,1,1
1,0.7305,1,1,2,3,1
1,0.822785,1,1,2,1,1
1,0.87085,1,1,1,2,1
1,0.645785,1,1,3,2,1
1,0.67983,1,1,1,2,1
1,1.230255,1,0,2,0,0
1,0.57675,1,1,3,2,1
1,0.480855,1,0,3,0,0
1,0.689745,1,0,3,0,0
1,0.58443,1,1,1,3,1
1,0.6529,1,1,1,3,1
1,0.619505,1,0,1,0,0
1,1.346715,1,0,1,0,0
1,0.88716,0,1,1,2,1
1,0.79109,1,1,2,3,1
1,0.690715,1,1,3,1,1
1,0.673795,1,1,3,1,1
1,0.71664,1,1,2,3,1
1,0.601905,1,1,3,2,1
1,0.714305,1,1,1,2,1
1,0.725265,1,0,2,0,0
1,0.844065,1,1,1,3,1
1,1.186525,1,1,1,3,1
1,0.71585,1,1,2,3,1
1,0.635105,1,1,3,2,1
1,0.654995,1,0,3,0,0
1,0.749595,1,0,2,0,0
2,0.518,0,0,1,0,0
2,0.549,1,1,3,1,1
2,0.669,1,0,1,0,0
2,0.667,1,1,3,1,1
2,0.709,1,1,2,1,1
2,0.813,1,1,1,2,1
2,0.531,1,1,2,1,1
2,0.58,1,0,3,0,0
2,0.663,1,1,1,3,1
2,0.453,1,1,3,2,1
2,0.558,1,0,2,0,0
2,0.715,1,1,2,1,1
2,0.545,1,0,1,0,0
2,0.642,0,0,2,0,0
2,0.823,1,1,3,1,1
2,0.737,1,1,2,1,1
2,0.7,1,0,1,0,0
2,0.468,1,0,3,0,0
2,0.611,1,1,3,1,1
2,0.645,1,1,2,1,1
2,0.637,1,0,3,0,0
2,0.644,1,1,1,3,1
2,0.627,1,1,1,2,1
2,0.533,1,1,1,3,1
2,0.681,0,0,1,0,0
2,0.656,1,1,1,2,1
2,0.555,1,1,3,2,1
2,0.514,1,0,3,0,0
2,0.573,1,1,3,2,1
2,0.84,1,1,2,1,1
2,0.648,1,0,3,0,0
2,0.484,0,1,1,2,1
2,0.479,1,1,3,2,1
2,0.474,1,1,3,1,1
2,0.684,1,1,1,2,1
2,0.436,1,1,3,2,1
2,0.718,1,0,3,0,0
2,0.468,1,0,3,0,0
2,0.811,1,1,3,2,1
2,1.004,1,1,2,3,1
2,0.606,1,0,1,0,0
2,0.717,0,1,1,3,1
2,0.722,1,0,3,0,0
2,0.798,1,1,1,2,1
