"subj_idx","rt","response","rwdType","tgtPos","colPos","colMatch"
0,0.685195,1,0,3,0,0
0,0.93293,1,0,1,0,0
0,1.805445,1,0,1,0,0
0,1.299015,1,0,2,0,0
0,1.1212,1,0,1,0,0
0,0.85152,1,0,2,0,0
0,1.02029,1,1,3,3,2
0,0.79264,1,0,3,0,0
0,1.522245,0,0,2,0,0
0,1.68081,1,1,3,3,2
0,0.946445,1,0,1,0,0
0,0.89896,1,0,3,0,0
0,0.73817,1,0,3,0,0
0,0.63527,1,1,3,3,2
0,0.654915,1,0,3,0,0
0,0.7766,0,0,2,0,0
0,1.118805,1,0,2,0,0
0,0.700335,1,1,1,1,2
0,0.708685,1,1,1,1,2
0,0.84586,1,1,3,3,2
0,0.620125,0,0,1,0,0
0,0.732825,1,1,3,3,2
0,1.0756,1,1,2,2,2
0,0.73453,1,1,1,1,2
0,0.709535,1,0,1,0,0
0,0.984435,1,1,1,1,2
0,0.875055,1,0,1,0,0
0,0.81664,1,1,1,1,2
0,0.640245,1,0,3,0,0
0,0.922285,1,0,2,0,0
0,0.92918,1,1,2,2,2
0,1.17967,1,0,3,0,0
0,0.798065,1,1,3,3,2
0,1.254205,0,0,2,0,0
0,0.84948,1,1,1,1,2
0,0.440375,1,0,3,0,0
0,0.736555,1,1,1,1,2
0,0.871525,1,1,1,1,2
0,1.35554,1,0,1,0,0
0,1.10742,1,0,3,0,0
0,0.92138,1,1,2,2,2
0,0.49037,1,1,3,3,2
0,0.757485,0,0,1,0,0
0,0.725555,1,0,2,0,0
0,0.810715,1,0,2,0,0
0,0.682815,1,0,2,0,0
0,0.785195,1,0,1,0,0
0,0.665075,0,1,2,2,2
0,0.78079,0,1,2,2,2
0,0.790425,1,0,3,0,0
0,1.01793,1,1,3,3,2
0,0.796715,1,1,2,2,2
0,0.62703,1,1,1,1,2
0,0.51167,1,1,3,3,2
0,0.810185,1,1,2,2,2
0,0.76131,1,1,2,2,2
0,0.818675,0,1,3,3,2
0,0.576835,0,1,1,1,2
0,0.728755,1,1,2,2,2
0,0.57246,1,1,2,2,2
1,0.9315,1,0,1,0,0
1,0.891825,1,1,2,2,2
1,0.92615,1,1,1,1,2
1,1.019755,1,1,1,1,2
1,0.9468,1,0,1,0,0
1,1.00124,1,0,2,0,0
1,0.953995,1,0,1,0,0
1,0.828455,1,1,2,2,2
1,0.669505,1,0,3,0,0
1,0.88241,1,1,2,2,2
1,0.82397,1,0,2,0,0
1,1.71747,0,0,2,0,0
1,0.93144,1,1,3,3,2
1,1.36942,0,1,1,1,2
1,0.827905,1,0,2,0,0
1,0.577725,1,0,3,0,0
1,0.733215,1,1,3,3,2
1,0.7863,1,1,3,3,2
1,0.704455,1,1,2,2,2
1,0.94781,1,1,3,3,2
1,0.770885,1,1,3,3,2
1,1.21718,1,0,1,0,0
1,0.482155,1,1,3,3,2
1,0.56697,1,0,3,0,0
1,0.65716,1,1,2,2,2
1,0.86902,1,0,2,0,0
1,0.92792,1,1,1,1,2
1,0.81909,1,1,1,1,2
1,0.82661,1,1,3,3,2
1,0.490785,1,1,3,3,2
1,0.581975,1,1,1,1,2
1,0.864075,1,0,1,0,0
1,0.628915,1,0,3,0,0
1,0.703445,1,1,2,2,2
1,0.80264,1,0,1,0,0
1,0.77977,1,0,1,0,0
1,0.6467,1,1,1,1,2
1,0.87417,1,0,2,0,0
1,0.65801,1,0,3,0,0
1,0.80932,1,1,1,1,2
1,0.548145,1,0,3,0,0
1,0.508805,1,0,3,0,0
1,0.78738,1,0,1,0,0
1,0.876955,1,0,2,0,0
1,0.77396,1,1,1,1,2
1,0.70338,1,1,3,3,2
