"subject","rewardType","tgtPosition","colorPosition","response","rt","congruence"
"0","none","3rd","none","1",0.685195,"na"
"0","high","1st","3rd","0",1.52278,"incongruent"
"0","high","1st","2nd","1",0.78622,"incongruent"
"0","none","1st","none","1",0.93293,"na"
"0","none","1st","none","1",1.805445,"na"
"0","high","2nd","1st","1",0.897935,"incongruent"
"0","high","1st","2nd","1",0.973175,"incongruent"
"0","none","2nd","none","1",1.299015,"na"
"0","high","2nd","3rd","1",0.90246,"incongruent"
"0","none","1st","none","1",1.1212,"na"
"0","none","2nd","none","1",0.85152,"na"
"0","low","3rd","3rd","1",1.02029,"congruent"
"0","low","2nd","3rd","0",0.93829,"incongruent"
"0","low","3rd","2nd","1",0.920375,"incongruent"
"0","low","2nd","1st","0",0.750685,"incongruent"
"0","none","3rd","none","1",0.79264,"na"
"0","none","2nd","none","0",1.522245,"na"
"0","high","3rd","2nd","1",0.606595,"incongruent"
"0","high","3rd","3rd","1",1.68081,"congruent"
"0","high","1st","3rd","1",0.95643,"incongruent"
"0","none","1st","none","1",0.946445,"na"
"0","none","3rd","none","1",0.89896,"na"
"0","low","3rd","1st","1",0.80205,"incongruent"
"0","low","2nd","1st","1",0.76033,"incongruent"
"0","high","3rd","2nd","1",0.632505,"incongruent"
"0","none","3rd","none","1",0.73817,"na"
"0","low","2nd","3rd","1",0.76732,"incongruent"
"0","low","1st","2nd","1",0.786755,"incongruent"
"0","low","3rd","3rd","1",0.63527,"congruent"
"0","low","2nd","1st","0",0.81793,"incongruent"
"0","none","3rd","none","1",0.654915,"na"
"0","none","2nd","none","0",0.7766,"na"
"0","high","1st","3rd","1",1.93948,"incongruent"
"0","low","1st","2nd","1",0.777815,"incongruent"
"0","none","2nd","none","1",1.118805,"na"
"0","low","2nd","1st","1",1.19913,"incongruent"
"0","low","3rd","1st","1",1.107605,"incongruent"
"0","high","1st","2nd","1",1.326155,"incongruent"
"0","high","2nd","3rd","1",0.854785,"incongruent"
"0","high","1st","1st","1",0.700335,"congruent"
"0","low","1st","1st","1",0.708685,"congruent"
"0","high","3rd","3rd","1",0.84586,"congruent"
"0","none","1st","none","0",0.620125,"na"
"0","low","2nd","3rd","1",1.298515,"incongruent"
"0","low","2nd","3rd","1",0.97065,"incongruent"
"0","high","3rd","2nd","1",0.934885,"incongruent"
"0","high","3rd","1st","1",0.68962,"incongruent"
"0","low","3rd","3rd","1",0.732825,"congruent"
"0","low","2nd","2nd","1",1.0756,"congruent"
"0","high","1st","2nd","1",0.65226,"incongruent"
"0","high","1st","1st","1",0.73453,"congruent"
"0","low","3rd","2nd","1",0.93029,"incongruent"
"0","none","1st","none","1",0.709535,"na"
"0","low","1st","1st","1",0.984435,"congruent"
"0","low","1st","2nd","1",0.763105,"incongruent"
"0","none","1st","none","1",0.875055,"na"
"0","low","1st","1st","1",0.81664,"congruent"
"0","low","3rd","2nd","1",0.732695,"incongruent"
"0","high","2nd","3rd","1",0.709,"incongruent"
"0","high","3rd","2nd","1",0.739455,"incongruent"
"0","none","3rd","none","1",0.640245,"na"
"0","low","1st","2nd","1",0.845505,"incongruent"
"0","low","1st","3rd","1",1.630045,"incongruent"
"0","high","2nd","1st","1",0.983985,"incongruent"
"0","low","3rd","1st","1",1.03018,"incongruent"
"0","none","2nd","none","1",0.922285,"na"
"0","low","3rd","2nd","1",0.64471,"incongruent"
"0","low","1st","3rd","1",0.93329,"incongruent"
"0","high","2nd","2nd","1",0.92918,"congruent"
"0","low","3rd","1st","1",0.614365,"incongruent"
"0","low","1st","3rd","1",0.782635,"incongruent"
"0","high","2nd","1st","1",1.16457,"incongruent"
"0","high","3rd","1st","1",0.556355,"incongruent"
"0","none","3rd","none","1",1.17967,"na"
"0","high","2nd","1st","1",1.28143,"incongruent"
"0","high","3rd","3rd","1",0.798065,"congruent"
"0","none","2nd","none","0",1.254205,"na"
"0","low","1st","3rd","1",0.61529,"incongruent"
"0","low","1st","1st","1",0.84948,"congruent"
"0","low","1st","2nd","0",1.810235,"incongruent"
"0","none","3rd","none","1",0.440375,"na"
"0","high","3rd","2nd","1",0.75276,"incongruent"
"0","high","1st","1st","1",0.736555,"congruent"
"0","low","1st","3rd","1",0.63083,"incongruent"
"0","low","1st","1st","1",0.871525,"congruent"
"0","high","3rd","1st","1",0.65387,"incongruent"
"0","none","1st","none","1",1.35554,"na"
"0","none","3rd","none","1",1.10742,"na"
"0","high","2nd","2nd","1",0.92138,"congruent"
"0","high","3rd","3rd","1",0.49037,"congruent"
"0","none","1st","none","0",0.757485,"na"
"0","high","1st","2nd","1",0.79697,"incongruent"
"0","none","2nd","none","1",0.725555,"na"
"0","low","3rd","1st","1",0.668175,"incongruent"
"0","none","2nd","none","1",0.810715,"na"
"0","none","2nd","none","1",0.682815,"na"
"0","high","2nd","3rd","1",0.62801,"incongruent"
"0","none","1st","none","1",0.785195,"na"
"0","low","2nd","2nd","0",0.665075,"congruent"
"0","low","2nd","3rd","0",0.93938,"incongruent"
"0","high","2nd","2nd","0",0.78079,"congruent"
"0","none","3rd","none","1",0.790425,"na"
"0","low","3rd","3rd","1",1.01793,"congruent"
"0","high","2nd","3rd","1",0.843735,"incongruent"
"0","low","2nd","2nd","1",0.796715,"congruent"
"0","high","1st","1st","1",0.62703,"congruent"
"0","high","1st","3rd","1",0.62754,"incongruent"
"0","low","2nd","1st","1",0.695175,"incongruent"
"0","high","1st","3rd","1",0.797215,"incongruent"
"0","high","3rd","3rd","1",0.51167,"congruent"
"0","low","2nd","2nd","1",0.810185,"congruent"
"0","high","2nd","1st","1",0.75563,"incongruent"
"0","low","3rd","2nd","1",0.675755,"incongruent"
"0","high","2nd","2nd","1",0.76131,"congruent"
"0","low","3rd","3rd","0",0.818675,"congruent"
"0","high","3rd","1st","1",0.667295,"incongruent"
"0","high","1st","1st","0",0.576835,"congruent"
"0","low","2nd","2nd","1",0.728755,"congruent"
"0","high","2nd","2nd","1",0.57246,"congruent"
