subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
r98,VDACtrain,0,g,null,null,1,r,v,3,,,
r98,VDACtrain,0,g,true,907.8000000119209,2,g,h,5,,,
r98,VDACtrain,0,g,true,516.5,1,r,v,4,,,
r98,VDACtrain,0,g,true,724.2999999970198,2,g,v,5,,,
r98,VDACtrain,0,g,true,700.3999999910593,2,g,v,0,,,
r98,VDACtrain,0,g,false,820.0999999940395,2,g,h,3,,,
r98,VDACtrain,0,g,null,null,1,r,h,1,,,
r98,VDACtrain,0,g,true,488.20000000298023,1,r,h,2,,,
r98,VDACtrain,0,g,true,556.5999999940395,1,r,h,0,,,
r98,VDACtrain,0,g,true,828.6999999880791,2,g,v,2,,,
r98,VDACtest,1,g,false,740.8000000119209,1,r,h,5,,,
r98,VDACtest,2,g,true,828.4000000059605,2,g,h,5,,,
r98,VDACtest,3,g,true,827.4000000059605,1,r,v,3,,,
r98,VDACtest,4,g,true,763.9000000059605,1,r,v,2,,,
r98,VDACtest,5,g,false,946.5,2,g,v,2,,,
r98,VDACtest,6,g,true,852.6999999880791,2,g,h,1,,,
r98,VDACtest,7,g,true,691.7999999970198,2,g,h,1,,,
r98,VDACtest,8,g,true,845.2999999970198,1,r,h,1,,,
r98,VDACtest,9,g,true,788.3000000119209,1,r,v,2,,,
r98,VDACtest,10,g,null,null,1,r,h,5,,,
r98,VDACtest,11,g,true,656.5,1,r,v,1,,,
r98,VDACtest,12,g,true,660,1,r,h,2,,,
r98,VDACtest,13,g,true,507.29999999701977,2,g,v,0,,,
r98,VDACtest,14,g,true,972.7999999970198,1,r,v,4,,,
r98,VDACtest,15,g,true,813.8999999910593,2,g,v,1,,,
r98,VDACtest,16,g,true,675.7999999970198,2,g,v,1,,,
r98,VDACtest,17,g,true,580.4000000059605,1,r,v,0,,,
r98,VDACtest,18,g,true,763.7999999970198,1,r,h,3,,,
r98,VDACtest,19,g,false,715.6000000089407,1,r,v,3,,,
r98,VDACtest,20,g,true,997,1,r,h,4,,,
r98,VDACtest,21,g,null,null,1,r,v,1,,,
r98,VDACtest,22,g,true,918.9000000059605,2,g,h,4,,,
r98,VDACtest,23,g,null,null,1,r,v,1,,,
r98,VDACtest,24,g,true,800.6000000089407,1,r,h,5,,,
r98,VDACtest,25,g,true,781.5,2,g,h,3,,,
r98,VDACtest,26,g,false,963.5999999940395,2,g,h,0,,,
r98,VDACtest,27,g,false,612.3999999910593,1,r,h,0,,,
r98,VDACtest,28,g,true,756.6000000089407,2,g,v,5,,,
r98,VDACtest,29,g,null,null,2,g,v,4,,,
r98,VDACtest,30,g,true,990.7000000029802,1,r,v,0,,,
r98,VDACtest,31,g,true,722.2999999970198,2,g,h,3,,,
r98,VDACtest,32,g,true,703.7000000029802,2,g,v,1,,,
r98,VDACtest,33,g,true,659.8999999910593,2,g,v,4,,,
r98,VDACtest,34,g,true,828.0999999940395,2,g,h,4,,,
r98,VDACtest,35,g,null,null,2,g,h,2,,,
r98,VDACtest,36,g,true,753.2999999970198,2,g,h,5,,,
r98,VDACtest,37,g,true,812.7999999970198,1,r,h,1,,,
r98,VDACtest,38,g,true,629.0999999940395,1,r,v,5,,,
r98,VDACtest,39,g,false,763.5,1,r,h,2,,,
r98,VDACtest,40,g,false,779.8999999910593,2,g,h,1,,,
r98,VDACtest,41,g,true,900.4000000059605,1,r,v,4,,,
r98,VDACtest,42,g,true,718.2000000029802,2,g,v,0,,,
r98,VDACtest,43,g,true,659,2,g,v,3,,,
r98,VDACtest,44,g,true,885.4000000059605,2,g,h,1,,,
r98,VDACtest,45,g,null,null,1,r,h,2,,,
r98,VDACtest,46,g,true,991.7999999970198,2,g,v,4,,,
r98,VDACtest,47,g,true,660.5,1,r,v,5,,,
r98,VDACtest,48,g,true,812.2000000029802,1,r,h,3,,,
r98,VDACtest,49,g,true,581.3000000119209,2,g,v,3,,,
r98,VDACtest,50,g,true,581.6000000089407,2,g,h,3,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
r98,VDACtest,51,g,null,null,1,r,h,0,,,
r98,VDACtest,52,g,true,605.3999999910593,2,g,h,5,,,
r98,VDACtest,53,g,true,861.0999999940395,1,r,v,4,,,
r98,VDACtest,54,g,true,596.7999999970198,2,g,v,1,,,
r98,VDACtest,55,g,true,492.70000000298023,1,r,v,4,,,
r98,VDACtest,56,g,true,685.2999999970198,1,r,h,0,,,
r98,VDACtest,57,g,true,723.3999999910593,2,g,h,3,,,
r98,VDACtest,58,g,true,724.4000000059605,1,r,h,4,,,
r98,VDACtest,59,g,true,982,1,r,v,1,,,
r98,VDACtest,60,g,true,884.1000000089407,1,r,h,1,,,
r98,VDACtest,61,g,true,804.4000000059605,1,r,v,5,,,
r98,VDACtest,62,g,true,621.9000000059605,2,g,v,1,,,
r98,VDACtest,63,g,true,620.6999999880791,2,g,h,0,,,
r98,VDACtest,64,g,true,652.7999999970198,1,r,h,2,,,
r98,VDACtest,65,g,true,621.2000000029802,2,g,v,4,,,
r98,VDACtest,66,g,null,null,2,g,v,1,,,
r98,VDACtest,67,g,true,593.5,2,g,h,2,,,
r98,VDACtest,68,g,true,611.7999999970198,2,g,v,0,,,
r98,VDACtest,69,g,true,716.5,1,r,v,2,,,
r98,VDACtest,70,g,true,523.2999999970198,2,g,v,5,,,
r98,VDACtest,71,g,true,469,1,r,v,0,,,
r98,VDACtest,72,g,true,540.5999999940395,1,r,v,3,,,
r98,VDACtest,73,g,true,668.7999999970198,1,r,v,2,,,
r98,VDACtest,74,g,true,780.2999999970198,2,g,h,2,,,
r98,VDACtest,75,g,true,722.2999999970198,2,g,h,3,,,
r98,VDACtest,76,g,true,700.5999999940395,2,g,v,4,,,
r98,VDACtest,77,g,true,770.1999999880791,1,r,v,2,,,
r98,VDACtest,78,g,true,956.3000000119209,2,g,h,0,,,
r98,VDACtest,79,g,true,549.3000000119209,2,g,v,4,,,
r98,VDACtest,80,g,true,451.29999999701977,2,g,v,0,,,
r98,VDACtest,81,g,true,652.7999999970198,2,g,v,1,,,
r98,VDACtest,82,g,null,null,1,r,h,4,,,
r98,VDACtest,83,g,true,728.0999999940395,2,g,h,1,,,
r98,VDACtest,84,g,false,580.0999999940395,1,r,h,5,,,
r98,VDACtest,85,g,true,602.7999999970198,1,r,v,2,,,
r98,VDACtest,86,g,null,null,1,r,h,0,,,
r98,VDACtest,87,g,true,576.7000000029802,2,g,v,0,,,
r98,VDACtest,88,g,true,884.6000000089407,1,r,h,1,,,
r98,VDACtest,89,g,true,541.1000000089407,1,r,h,0,,,
r98,VDACtest,90,g,null,null,2,g,h,1,,,
r98,VDACtest,91,g,true,545.3000000119209,2,g,h,2,,,
r98,VDACtest,92,g,true,580.5,2,g,v,4,,,
r98,VDACtest,93,g,true,540.5,1,r,h,4,,,
r98,VDACtest,94,g,true,555.8999999910593,2,g,h,4,,,
r98,VDACtest,95,g,true,675.3000000119209,1,r,h,3,,,
r98,VDACtest,96,g,true,693.6999999880791,2,g,h,1,,,
r98,VDACtest,97,g,true,523.7999999970198,2,g,v,0,,,
r98,VDACtest,98,g,true,542,2,g,v,2,,,
r98,VDACtest,99,g,true,716.5999999940395,2,g,h,0,,,
r98,VDACtest,100,g,true,507.20000000298023,2,g,h,3,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
r98,VDACtest,101,g,null,null,1,r,v,1,,,
r98,VDACtest,102,g,true,488.79999999701977,1,r,v,0,,,
r98,VDACtest,103,g,true,523.9000000059605,1,r,v,5,,,
r98,VDACtest,104,g,true,612.7999999970198,1,r,v,3,,,
r98,VDACtest,105,g,true,859.8000000119209,1,r,h,4,,,
r98,VDACtest,106,g,true,548.6000000089407,2,g,h,4,,,
r98,VDACtest,107,g,true,641.0999999940395,2,g,h,0,,,
r98,VDACtest,108,g,null,null,2,g,v,1,,,
r98,VDACtest,109,g,true,514,2,g,h,0,,,
r98,VDACtest,110,g,false,757.0999999940395,1,r,v,2,,,
r98,VDACtest,111,g,true,661.2999999970198,2,g,h,5,,,
r98,VDACtest,112,g,true,547.6000000089407,2,g,v,5,,,
r98,VDACtest,113,g,true,597.5,1,r,h,0,,,
r98,VDACtest,114,g,true,770.7999999970198,1,r,h,2,,,
r98,VDACtest,115,g,true,649.5,1,r,h,3,,,
r98,VDACtest,116,g,true,492.90000000596046,1,r,h,3,,,
r98,VDACtest,117,g,true,876.5,2,g,h,1,,,
r98,VDACtest,118,g,true,732.5,1,r,h,4,,,
r98,VDACtest,119,g,true,507.6000000089407,1,r,v,5,,,
r98,VDACtest,120,g,true,502.09999999403954,2,g,h,5,,,
r98,VDACtest,121,g,true,588.5999999940395,2,g,v,5,,,
r98,VDACtest,122,g,true,724.5999999940395,1,r,h,1,,,
r98,VDACtest,123,g,true,523.6999999880791,1,r,h,4,,,
r98,VDACtest,124,g,true,868.9000000059605,1,r,v,2,,,
r98,VDACtest,125,g,true,673.3000000119209,1,r,h,2,,,
r98,VDACtest,126,g,true,612.2999999970198,2,g,h,2,,,
r98,VDACtest,127,g,true,886.1000000089407,1,r,v,3,,,
