subj_idx,rt,response,tgtPos,rwdType,colMatch
0,1.2436,1,0,2,1
0,0.698,1,0,1,1
0,0.7951,1,1,1,1
0,0.7157,1,0,1,1
0,1.1558,1,0,1,1
0,0.7392,1,1,1,1
0,0.9016,1,1,1,1
0,0.7087,1,0,1,1
0,0.7547,1,0,2,1
0,1.0044,1,1,1,1
0,1.1084,1,1,1,1
0,0.8378,1,0,2,1
0,1.1231,1,0,2,1
0,1.4668,1,0,1,1
0,0.7476,1,1,1,1
0,0.6979,1,1,2,1
0,0.8439,1,1,1,1
0,0.7871,1,1,2,1
0,0.7859,1,0,2,1
0,1.0215,1,0,2,1
0,1.0279,0,1,1,1
0,1.1465,1,1,2,1
0,0.9809,1,0,1,1
0,0.9231,1,1,2,1
0,1.1709,1,1,2,1
0,0.8837,1,1,2,1
0,1.1878,1,0,2,1
0,0.6575,1,1,2,1
0,1.1635,1,0,2,1
0,1.1397,1,0,2,1
0,0.8523,1,0,2,1
0,1.7399,1,1,2,1
0,0.7612,0,1,1,1
0,1.4356,1,1,2,1
0,1.3883,1,1,2,1
0,1.2117,1,1,1,1
0,1.653,0,1,1,1
0,1.0511,1,0,2,1
0,0.8838,1,1,2,1
0,0.8511,0,1,2,1
0,0.9625,0,1,1,1
0,0.9799,1,0,1,1
0,0.9548,1,1,1,1
0,0.8439,1,1,1,1
0,1.0347,1,0,2,1
0,0.5707,1,0,2,1
0,0.8502,1,1,2,1
0,1.5216,1,1,2,1
0,0.7471,1,1,2,1
0,0.8745,1,1,1,1
0,1.0104,1,0,2,1
0,1.0008,1,0,1,1
0,1.0588,1,0,2,1
0,0.6198,1,1,1,1
0,1.106,1,0,1,1
0,0.9066,1,1,2,1
0,1.0342,1,1,1,1
0,0.9463,1,0,2,1
0,0.8084,1,1,1,1
0,0.8589,1,0,1,1
0,0.8515,1,1,1,1
0,1.4169,1,0,1,1
0,0.6363,1,1,2,1
0,1.148,1,0,1,1
0,0.7001,1,0,1,1
0,0.9887,1,0,2,1
0,0.9464,1,0,1,1
0,0.7003,1,1,1,1
0,0.7527,1,1,2,1
0,0.7542,1,0,1,1
0,0.649,1,1,2,1
0,0.8038,1,1,1,1
0,0.8338,1,0,1,1
0,0.5453,1,1,2,1
0,0.7462,1,0,1,1
0,0.5546,1,1,2,1
0,0.7934,1,0,2,1
0,0.5428,1,1,1,1
0,0.7935,1,0,2,1
0,0.5699,1,0,1,1
