subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
5qj,VDACtrain,0,g,null,null,1,r,h,1,,,
5qj,VDACtrain,0,g,null,null,2,g,v,2,,,
5qj,VDACtrain,0,g,null,null,1,r,h,0,,,
5qj,VDACtrain,0,g,null,null,2,g,h,3,,,
5qj,VDACtrain,0,g,true,668.3000000119209,1,r,h,2,,,
5qj,VDACtrain,0,g,false,504.7000000476837,1,r,v,3,,,
5qj,VDACtrain,0,g,false,848,2,g,h,5,,,
5qj,VDACtrain,0,g,true,504.5,2,g,v,5,,,
5qj,VDACtrain,0,g,true,704.8000000119209,1,r,v,4,,,
5qj,VDACtrain,0,g,true,639.6000000238419,2,g,v,0,,,
5qj,VDACtrain,0,g,true,765.3000000119209,1,r,v,4,,,
5qj,VDACtrain,0,g,true,784.8000000119209,1,r,h,1,,,
5qj,VDACtrain,0,g,true,800,2,g,v,5,,,
5qj,VDACtrain,0,g,true,609.8000000119209,1,r,v,3,,,
5qj,VDACtrain,0,g,true,738.3999999761581,2,g,h,3,,,
5qj,VDACtrain,0,g,true,577,2,g,h,5,,,
5qj,VDACtrain,0,g,true,569.1000000238419,2,g,v,2,,,
5qj,VDACtrain,0,g,true,506.7999999523163,1,r,h,2,,,
5qj,VDACtrain,0,g,true,519.6000000238419,2,g,v,0,,,
5qj,VDACtrain,0,g,true,521.8000000119209,1,r,h,0,,,
5qj,VDACtest,1,g,false,758.1000000238419,1,r,v,3,,,
5qj,VDACtest,2,g,true,568.0999999642372,1,r,v,5,,,
5qj,VDACtest,3,g,true,881.3999999761581,1,r,v,1,,,
5qj,VDACtest,4,g,true,512.3000000119209,2,g,h,0,,,
5qj,VDACtest,5,g,true,776.8000000119209,2,g,v,5,,,
5qj,VDACtest,6,g,true,849.2999999523163,1,r,v,4,,,
5qj,VDACtest,7,g,true,520.8000000119209,1,r,v,5,,,
5qj,VDACtest,8,g,true,633.6999999880791,2,g,v,0,,,
