subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
n9d,VDACtrain,0,r,false,944.1999999992549,1,g,h,5,,,
n9d,VDACtrain,0,r,true,669,1,g,v,5,,,
n9d,VDACtrain,0,r,null,null,2,r,h,2,,,
n9d,VDACtrain,0,r,true,646.6999999992549,1,g,v,2,,,
n9d,VDACtrain,0,r,false,554,1,g,h,3,,,
n9d,VDACtrain,0,r,true,562.3000000007451,1,g,v,0,,,
n9d,VDACtrain,0,r,true,412.30000000074506,2,r,h,1,,,
n9d,VDACtrain,0,r,false,340.5,2,r,h,0,,,
n9d,VDACtrain,0,r,true,428,2,r,v,3,,,
n9d,VDACtrain,0,r,true,596,2,r,v,4,,,
n9d,VDACtest,1,r,false,548.5999999977648,1,g,v,5,,,
n9d,VDACtest,2,r,true,474.6000000014901,1,g,v,0,,,
n9d,VDACtest,3,r,true,499.1000000014901,2,r,h,1,,,
n9d,VDACtest,4,r,true,436,2,r,v,0,,,
n9d,VDACtest,5,r,true,403,1,g,h,0,,,
n9d,VDACtest,6,r,true,452.6000000014901,2,r,h,4,,,
n9d,VDACtest,7,r,false,371.80000000074506,1,g,h,5,,,
n9d,VDACtest,8,r,true,548.9000000022352,2,r,v,1,,,
n9d,VDACtest,9,r,null,null,2,r,v,2,,,
n9d,VDACtest,10,r,true,363.6000000014901,2,r,v,0,,,
n9d,VDACtest,11,r,true,468.3999999985099,1,g,h,4,,,
n9d,VDACtest,12,r,false,785.3000000007451,1,g,v,3,,,
n9d,VDACtest,13,r,false,459.8999999985099,1,g,h,1,,,
n9d,VDACtest,14,r,true,531.8999999985099,1,g,v,4,,,
n9d,VDACtest,15,r,true,436.1000000014901,2,r,v,1,,,
n9d,VDACtest,16,r,true,436,1,g,v,1,,,
n9d,VDACtest,17,r,true,516.1999999992549,1,g,v,0,,,
n9d,VDACtest,18,r,false,364.30000000074506,2,r,v,4,,,
n9d,VDACtest,19,r,true,387.4000000022352,1,g,v,5,,,
n9d,VDACtest,20,r,true,458.80000000074506,2,r,h,5,,,
n9d,VDACtest,21,r,true,371.29999999701977,2,r,h,4,,,
n9d,VDACtest,22,r,true,303.19999999925494,2,r,v,0,,,
n9d,VDACtest,23,r,false,460.80000000074506,1,g,v,4,,,
n9d,VDACtest,24,r,true,777.3000000007451,2,r,h,3,,,
n9d,VDACtest,25,r,true,668,2,r,v,1,,,
n9d,VDACtest,26,r,true,660.1999999992549,1,g,v,3,,,
n9d,VDACtest,27,r,false,387.1000000014901,2,r,h,1,,,
n9d,VDACtest,28,r,false,427.5,1,g,h,1,,,
n9d,VDACtest,29,r,true,300.79999999701977,2,r,v,5,,,
n9d,VDACtest,30,r,false,402.6000000014901,1,g,v,4,,,
n9d,VDACtest,31,r,true,371.69999999925494,2,r,h,0,,,
n9d,VDACtest,32,r,false,396.0999999977648,2,r,h,2,,,
n9d,VDACtest,33,r,true,467.20000000298023,1,g,v,1,,,
n9d,VDACtest,34,r,true,549.6999999992549,2,r,v,0,,,
n9d,VDACtest,35,r,true,587.3999999985099,1,g,v,2,,,
n9d,VDACtest,36,r,true,386.6000000014901,2,r,v,3,,,
n9d,VDACtest,37,r,true,316.4000000022352,1,g,v,0,,,
n9d,VDACtest,38,r,true,451.69999999925494,1,g,v,5,,,
n9d,VDACtest,39,r,false,370.30000000074506,2,r,v,4,,,
n9d,VDACtest,40,r,false,530.5,1,g,h,1,,,
n9d,VDACtest,41,r,true,563.6000000014901,1,g,h,4,,,
n9d,VDACtest,42,r,true,340.30000000074506,2,r,v,2,,,
n9d,VDACtest,43,r,true,770.9000000022352,2,r,h,4,,,
n9d,VDACtest,44,r,true,507.69999999925494,2,r,v,1,,,
n9d,VDACtest,45,r,true,531.5,1,g,h,4,,,
n9d,VDACtest,46,r,false,557.3000000007451,1,g,v,2,,,
n9d,VDACtest,47,r,false,523.5,2,r,v,2,,,
n9d,VDACtest,48,r,false,458.8999999985099,2,r,h,0,,,
n9d,VDACtest,49,r,false,459.69999999925494,2,r,h,5,,,
n9d,VDACtest,50,r,true,676,2,r,v,4,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
n9d,VDACtest,51,r,true,396.9000000022352,2,r,h,2,,,
n9d,VDACtest,52,r,true,395,1,g,h,2,,,
n9d,VDACtest,53,r,true,492,1,g,v,4,,,
n9d,VDACtest,54,r,true,357.19999999925494,2,r,h,0,,,
n9d,VDACtest,55,r,true,531.5999999977648,1,g,v,2,,,
n9d,VDACtest,56,r,true,266.70000000298023,2,r,h,4,,,
n9d,VDACtest,57,r,false,317,1,g,h,0,,,
n9d,VDACtest,58,r,true,515.5999999977648,2,r,v,0,,,
n9d,VDACtest,59,r,true,436.70000000298023,2,r,v,1,,,
n9d,VDACtest,60,r,true,332.3999999985099,1,g,h,5,,,
n9d,VDACtest,61,r,true,459.5,1,g,h,2,,,
n9d,VDACtest,62,r,false,507.9000000022352,2,r,h,0,,,
n9d,VDACtest,63,r,true,541.4000000022352,2,r,v,3,,,
n9d,VDACtest,64,r,true,371.9000000022352,1,g,h,5,,,
n9d,VDACtest,65,r,true,491.80000000074506,1,g,h,3,,,
n9d,VDACtest,66,r,true,619,1,g,h,3,,,
n9d,VDACtest,67,r,true,452.30000000074506,2,r,h,4,,,
n9d,VDACtest,68,r,false,340.4000000022352,2,r,v,3,,,
n9d,VDACtest,69,r,true,549.1000000014901,1,g,h,4,,,
n9d,VDACtest,70,r,false,465.69999999925494,2,r,h,1,,,
n9d,VDACtest,71,r,true,372.8999999985099,2,r,h,3,,,
n9d,VDACtest,72,r,false,452.19999999925494,1,g,h,1,,,
n9d,VDACtest,73,r,true,362.8999999985099,1,g,v,5,,,
n9d,VDACtest,74,r,true,404.0999999977648,1,g,h,2,,,
n9d,VDACtest,75,r,true,469.5999999977648,1,g,v,3,,,
n9d,VDACtest,76,r,true,444.69999999925494,2,r,h,3,,,
n9d,VDACtest,77,r,true,411.79999999701977,2,r,v,5,,,
n9d,VDACtest,78,r,true,555.5,2,r,h,1,,,
