subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
yz3,VDACtrain,0,r,null,null,1,g,h,3,,,
yz3,VDACtrain,0,r,true,707.1999999880791,1,g,v,0,,,
yz3,VDACtrain,0,r,false,703.6999999880791,2,r,v,4,,,
yz3,VDACtrain,0,r,false,558.3000000119209,1,g,h,5,,,
yz3,VDACtrain,0,r,true,599,2,r,v,3,,,
yz3,VDACtrain,0,r,null,null,2,r,h,1,,,
yz3,VDACtrain,0,r,true,886,2,r,h,0,,,
yz3,VDACtrain,0,r,true,528,2,r,h,2,,,
yz3,VDACtrain,0,r,true,429.60000002384186,1,g,v,5,,,
yz3,VDACtrain,0,r,false,550.5,1,g,v,2,,,
yz3,VDACtest,1,r,false,577.8000000119209,2,r,h,5,,,
yz3,VDACtest,2,r,true,710.3000000119209,2,r,h,2,,,
yz3,VDACtest,3,r,true,637.3999999761581,2,r,h,5,,,
yz3,VDACtest,4,r,true,541.6000000238419,1,g,h,2,,,
yz3,VDACtest,5,r,false,535.6999999880791,2,r,h,3,,,
yz3,VDACtest,6,r,true,557.1999999880791,1,g,h,1,,,
yz3,VDACtest,7,r,true,389.2999999523163,2,r,h,3,,,
yz3,VDACtest,8,r,false,415.69999998807907,2,r,v,0,,,
yz3,VDACtest,9,r,true,443.0999999642372,2,r,h,3,,,
yz3,VDACtest,10,r,false,614.6000000238419,2,r,v,4,,,
yz3,VDACtest,11,r,true,591.3999999761581,2,r,v,2,,,
yz3,VDACtest,12,r,true,631.6999999880791,1,g,v,3,,,
yz3,VDACtest,13,r,true,534.1999999880791,1,g,h,0,,,
yz3,VDACtest,14,r,false,558.0999999642372,2,r,h,1,,,
yz3,VDACtest,15,r,true,431.19999998807907,1,g,v,0,,,
yz3,VDACtest,16,r,true,415.7000000476837,1,g,v,1,,,
yz3,VDACtest,17,r,true,599.1999999880791,2,r,v,1,,,
yz3,VDACtest,18,r,false,399.80000001192093,2,r,h,2,,,
yz3,VDACtest,19,r,false,454.9000000357628,1,g,v,2,,,
yz3,VDACtest,20,r,true,599.1000000238419,1,g,h,5,,,
yz3,VDACtest,21,r,true,439.19999998807907,1,g,v,1,,,
yz3,VDACtest,22,r,false,774.9000000357628,2,r,v,0,,,
yz3,VDACtest,23,r,false,703.1000000238419,1,g,v,4,,,
yz3,VDACtest,24,r,true,647.6999999880791,1,g,v,1,,,
yz3,VDACtest,25,r,true,678.1000000238419,2,r,h,4,,,
yz3,VDACtest,26,r,true,615.2000000476837,2,r,h,3,,,
yz3,VDACtest,27,r,false,656.0999999642372,2,r,v,5,,,
yz3,VDACtest,28,r,true,493.89999997615814,1,g,v,0,,,
yz3,VDACtest,29,r,true,559.6999999880791,1,g,v,5,,,
yz3,VDACtest,30,r,true,640.0999999642372,2,r,v,0,,,
yz3,VDACtest,31,r,true,463.10000002384186,2,r,v,5,,,
yz3,VDACtest,32,r,false,615.0999999642372,1,g,v,2,,,
yz3,VDACtest,33,r,true,878.6000000238419,2,r,h,5,,,
yz3,VDACtest,34,r,true,814.6999999880791,2,r,v,4,,,
yz3,VDACtest,35,r,true,558.8000000119209,1,g,h,2,,,
yz3,VDACtest,36,r,false,574.8999999761581,2,r,h,1,,,
yz3,VDACtest,37,r,false,607.1999999880791,1,g,h,0,,,
yz3,VDACtest,38,r,true,759.3000000119209,2,r,h,2,,,
yz3,VDACtest,39,r,false,655.1999999880791,1,g,h,5,,,
yz3,VDACtest,40,r,true,694.9000000357628,2,r,v,5,,,
yz3,VDACtest,41,r,true,717.1999999880791,2,r,h,3,,,
yz3,VDACtest,42,r,false,815.5999999642372,1,g,h,1,,,
yz3,VDACtest,43,r,true,541.2000000476837,1,g,h,1,,,
yz3,VDACtest,44,r,true,551.6999999880791,1,g,h,0,,,
yz3,VDACtest,45,r,true,581.8000000119209,2,r,v,5,,,
yz3,VDACtest,46,r,false,573.6999999880791,1,g,h,0,,,
yz3,VDACtest,47,r,true,679.1999999880791,1,g,h,5,,,
yz3,VDACtest,48,r,true,584,1,g,v,5,,,
yz3,VDACtest,49,r,false,646.9000000357628,2,r,v,3,,,
yz3,VDACtest,50,r,null,null,1,g,v,1,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
yz3,VDACtest,51,r,true,831.8000000119209,1,g,v,3,,,
yz3,VDACtest,52,r,true,757.3000000119209,2,r,h,0,,,
yz3,VDACtest,53,r,true,654.9000000357628,1,g,h,1,,,
yz3,VDACtest,54,r,true,686.5,1,g,h,3,,,
yz3,VDACtest,55,r,true,470.69999998807907,1,g,h,2,,,
yz3,VDACtest,56,r,false,726.3999999761581,2,r,v,4,,,
yz3,VDACtest,57,r,true,718.4000000357628,1,g,v,1,,,
yz3,VDACtest,58,r,true,573.5,1,g,v,1,,,
yz3,VDACtest,59,r,true,693.8000000119209,2,r,h,2,,,
yz3,VDACtest,60,r,false,638.0999999642372,2,r,v,3,,,
yz3,VDACtest,61,r,false,717.6000000238419,2,r,v,2,,,
yz3,VDACtest,62,r,true,550.2999999523163,1,g,h,3,,,
yz3,VDACtest,63,r,true,743.5,2,r,v,4,,,
yz3,VDACtest,64,r,true,476.5,1,g,h,4,,,
yz3,VDACtest,65,r,false,854,1,g,v,1,,,
yz3,VDACtest,66,r,true,694.9000000357628,1,g,v,5,,,
yz3,VDACtest,67,r,true,637.3999999761581,1,g,v,2,,,
yz3,VDACtest,68,r,true,765.1999999880791,2,r,h,1,,,
yz3,VDACtest,69,r,false,838.6000000238419,2,r,h,4,,,
yz3,VDACtest,70,r,false,599.1000000238419,1,g,v,3,,,
yz3,VDACtest,71,r,true,583.3999999761581,1,g,v,5,,,
yz3,VDACtest,72,r,true,758.3999999761581,1,g,v,4,,,
yz3,VDACtest,73,r,true,734,1,g,h,5,,,
yz3,VDACtest,74,r,true,735.6999999880791,2,r,h,4,,,
yz3,VDACtest,75,r,true,654.5,2,r,v,1,,,
yz3,VDACtest,76,r,true,590.2000000476837,1,g,h,1,,,
yz3,VDACtest,77,r,true,712.5,1,g,h,5,,,
yz3,VDACtest,78,r,false,519,1,g,v,3,,,
yz3,VDACtest,79,r,true,543,1,g,v,5,,,
yz3,VDACtest,80,r,false,791.1999999880791,2,r,v,4,,,
yz3,VDACtest,81,r,true,920.6999999880791,2,r,v,3,,,
yz3,VDACtest,82,r,true,661.3000000119209,1,g,h,0,,,
yz3,VDACtest,83,r,true,791.3000000119209,1,g,v,4,,,
yz3,VDACtest,84,r,true,607.5999999642372,1,g,h,3,,,
yz3,VDACtest,85,r,false,765.5,2,r,h,4,,,
yz3,VDACtest,86,r,true,662,2,r,h,4,,,
yz3,VDACtest,87,r,true,734.3000000119209,2,r,v,0,,,
yz3,VDACtest,88,r,true,622.3000000119209,2,r,h,4,,,
yz3,VDACtest,89,r,true,583.3000000119209,2,r,h,3,,,
yz3,VDACtest,90,r,false,855.4000000357628,2,r,v,1,,,
yz3,VDACtest,91,r,true,534.4000000357628,2,r,v,0,,,
yz3,VDACtest,92,r,true,846,2,r,h,1,,,
yz3,VDACtest,93,r,true,647.5,2,r,h,0,,,
yz3,VDACtest,94,r,true,759.4000000357628,1,g,h,1,,,
yz3,VDACtest,95,r,true,663.1000000238419,1,g,v,2,,,
yz3,VDACtest,96,r,true,702.6999999880791,1,g,v,4,,,
yz3,VDACtest,97,r,true,759.2000000476837,2,r,h,0,,,
yz3,VDACtest,98,r,true,727.1999999880791,1,g,h,2,,,
yz3,VDACtest,99,r,true,751.0999999642372,1,g,v,3,,,
yz3,VDACtest,100,r,true,847.1999999880791,2,r,v,0,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
yz3,VDACtest,101,r,true,823.1999999880791,1,g,h,4,,,
yz3,VDACtest,102,r,true,557.3000000119209,2,r,v,3,,,
yz3,VDACtest,103,r,true,663.5,1,g,v,1,,,
yz3,VDACtest,104,r,true,710.8000000119209,2,r,v,0,,,
yz3,VDACtest,105,r,true,758.8999999761581,2,r,h,4,,,
yz3,VDACtest,106,r,true,583.3000000119209,1,g,v,4,,,
yz3,VDACtest,107,r,false,798.7999999523163,2,r,v,3,,,
yz3,VDACtest,108,r,true,446.2000000476837,1,g,v,4,,,
yz3,VDACtest,109,r,true,511.30000001192093,2,r,h,3,,,
yz3,VDACtest,110,r,true,768.1999999880791,1,g,v,2,,,
yz3,VDACtest,111,r,null,null,2,r,v,5,,,
yz3,VDACtest,112,r,true,509.60000002384186,2,r,v,4,,,
yz3,VDACtest,113,r,false,590.6999999880791,1,g,h,2,,,
yz3,VDACtest,114,r,true,621.8000000119209,1,g,v,2,,,
yz3,VDACtest,115,r,true,567.6000000238419,2,r,v,1,,,
yz3,VDACtest,116,r,true,447.5999999642372,1,g,h,4,,,
yz3,VDACtest,117,r,true,558.6000000238419,2,r,v,3,,,
yz3,VDACtest,118,r,true,743.5,1,g,v,5,,,
yz3,VDACtest,119,r,true,607.8999999761581,1,g,h,4,,,
yz3,VDACtest,120,r,true,767.1000000238419,2,r,v,1,,,
yz3,VDACtest,121,r,false,543.5,1,g,v,3,,,
yz3,VDACtest,122,r,true,855.0999999642372,1,g,v,0,,,
yz3,VDACtest,123,r,true,606.4000000357628,2,r,h,1,,,
yz3,VDACtest,124,r,true,574.8000000119209,1,g,h,0,,,
yz3,VDACtest,125,r,true,855.5,1,g,h,2,,,
yz3,VDACtest,126,r,true,574.5999999642372,1,g,h,3,,,
yz3,VDACtest,127,r,true,782.3999999761581,1,g,h,4,,,
yz3,VDACtest,128,r,true,639.7000000476837,1,g,v,2,,,
yz3,VDACtest,129,r,true,734.8999999761581,2,r,v,1,,,
yz3,VDACtest,130,r,false,622.3999999761581,2,r,v,2,,,
yz3,VDACtest,131,r,false,885.6999999880791,2,r,v,0,,,
yz3,VDACtest,132,r,true,534.1000000238419,1,g,v,4,,,
yz3,VDACtest,133,r,true,517.3999999761581,1,g,v,3,,,
yz3,VDACtest,134,r,true,607.5999999642372,1,g,h,2,,,
yz3,VDACtest,135,r,true,596.6999999880791,2,r,v,3,,,
yz3,VDACtest,136,r,true,694.4000000357628,1,g,h,5,,,
yz3,VDACtest,137,r,true,591.1000000238419,1,g,v,5,,,
yz3,VDACtest,138,r,true,719,2,r,v,4,,,
yz3,VDACtest,139,r,true,517.0999999642372,2,r,h,5,,,
yz3,VDACtest,140,r,true,783.6000000238419,1,g,h,1,,,
yz3,VDACtest,141,r,true,862.6999999880791,2,r,h,2,,,
yz3,VDACtest,142,r,true,772.5,2,r,h,0,,,
yz3,VDACtest,143,r,true,717.8000000119209,2,r,h,5,,,
yz3,VDACtest,144,r,true,582.3000000119209,2,r,h,2,,,
yz3,VDACtest,145,r,true,805.3000000119209,2,r,h,1,,,
yz3,VDACtest,146,r,true,573.4000000357628,2,r,h,1,,,
yz3,VDACtest,147,r,true,711.6000000238419,2,r,v,1,,,
yz3,VDACtest,148,r,true,725.1999999880791,1,g,v,0,,,
yz3,VDACtest,149,r,true,669.2000000476837,1,g,h,0,,,
yz3,VDACtest,150,r,true,693.9000000357628,1,g,h,4,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
yz3,VDACtest,151,r,true,995.4000000357628,2,r,h,0,,,
yz3,VDACtest,152,r,true,773.7999999523163,2,r,v,2,,,
yz3,VDACtest,153,r,false,766.6999999880791,1,g,v,4,,,
yz3,VDACtest,154,r,true,693.5,2,r,v,3,,,
yz3,VDACtest,155,r,true,557,1,g,v,3,,,
yz3,VDACtest,156,r,true,605.8000000119209,1,g,h,3,,,
yz3,VDACtest,157,r,true,486.4000000357628,1,g,h,3,,,
yz3,VDACtest,158,r,true,877.9000000357628,1,g,h,5,,,
yz3,VDACtest,159,r,true,879.1999999880791,2,r,h,0,,,
yz3,VDACtest,160,r,null,null,1,g,h,4,,,
yz3,VDACtest,161,r,true,762.0999999642372,2,r,v,2,,,
yz3,VDACtest,162,r,true,550.5999999642372,1,g,v,2,,,
yz3,VDACtest,163,r,true,693.5,2,r,h,4,,,
yz3,VDACtest,164,r,false,654.8999999761581,2,r,h,5,,,
yz3,VDACtest,165,r,true,503.5999999642372,1,g,v,5,,,
yz3,VDACtest,166,r,false,614.5,1,g,v,1,,,
yz3,VDACtest,167,r,true,860.4000000357628,2,r,h,0,,,
yz3,VDACtest,168,r,true,812.8000000119209,2,r,h,5,,,
yz3,VDACtest,169,r,true,710.5,2,r,v,2,,,
yz3,VDACtest,170,r,true,829.3000000119209,2,r,h,4,,,
yz3,VDACtest,171,r,true,766,2,r,h,1,,,
yz3,VDACtest,172,r,true,717.1000000238419,1,g,h,2,,,
yz3,VDACtest,173,r,true,541.2999999523163,1,g,h,3,,,
yz3,VDACtest,174,r,true,949.5,1,g,h,0,,,
yz3,VDACtest,175,r,true,607.5,1,g,h,5,,,
yz3,VDACtest,176,r,true,911.5,2,r,h,5,,,
yz3,VDACtest,177,r,true,606.6000000238419,1,g,v,0,,,
yz3,VDACtest,178,r,true,663.3000000119209,2,r,h,2,,,
yz3,VDACtest,179,r,true,655.3000000119209,2,r,v,1,,,
yz3,VDACtest,180,r,true,589.6999999880791,1,g,h,4,,,
yz3,VDACtest,181,r,true,528.6000000238419,1,g,h,4,,,
yz3,VDACtest,182,r,true,639.5999999642372,2,r,v,1,,,
yz3,VDACtest,183,r,true,654.1999999880791,1,g,v,0,,,
yz3,VDACtest,184,r,true,501,1,g,v,4,,,
yz3,VDACtest,185,r,true,679.4000000357628,1,g,h,1,,,
yz3,VDACtest,186,r,null,null,2,r,v,5,,,
yz3,VDACtest,187,r,true,507,2,r,h,0,,,
yz3,VDACtest,188,r,true,542.8000000119209,1,g,v,0,,,
yz3,VDACtest,189,r,false,710.1000000238419,2,r,v,4,,,
yz3,VDACtest,190,r,true,597.5999999642372,2,r,h,3,,,
yz3,VDACtest,191,r,true,438.5,1,g,v,0,,,
yz3,VDACtest,192,r,true,727.3000000119209,2,r,v,2,,,
yz3,VDACtest,193,r,null,null,1,g,h,3,,,
yz3,VDACtest,194,r,true,692.7000000476837,2,r,h,1,,,
yz3,VDACtest,195,r,true,703.1999999880791,2,r,v,5,,,
yz3,VDACtest,196,r,true,575.6999999880791,2,r,v,2,,,
yz3,VDACtest,197,r,true,446.5,2,r,h,2,,,
yz3,VDACtest,198,r,false,596.1999999880791,1,g,h,1,,,
yz3,VDACtest,199,r,true,855.3000000119209,2,r,v,4,,,
yz3,VDACtest,200,r,true,742.6000000238419,2,r,v,5,,,
yz3,RSVPtrain,0,r,false,944.5,0,b,,3,3,0,
yz3,RSVPtrain,0,r,true,1905.199999988079,1,g,,2,2,2,
yz3,RSVPtrain,0,r,true,862.7999999523163,0,b,,0,3,0,
yz3,RSVPtrain,0,r,true,593.8000000119209,1,g,,3,0,1,
yz3,RSVPtrain,0,r,true,1585.3999999761581,0,b,,1,3,0,
yz3,RSVPtrain,0,r,true,834,2,r,,0,0,2,
yz3,RSVPtrain,0,r,true,814.9000000357628,2,r,,3,2,1,
yz3,RSVPtrain,0,r,true,1384.800000011921,1,g,,3,1,1,
yz3,RSVPtrain,0,r,true,799.3999999761581,2,r,,1,1,2,
yz3,RSVPtrain,0,r,true,754.8999999761581,1,g,,1,0,1,
yz3,RSVPtest,1,r,true,1843,2,r,,3,0,1,
yz3,RSVPtest,2,r,false,991.5,2,r,,3,2,1,
yz3,RSVPtest,3,r,true,768.3999999761581,2,r,,2,1,1,
yz3,RSVPtest,4,r,true,1016.6999999880791,0,b,,0,3,0,
yz3,RSVPtest,5,r,true,634.2999999523163,1,g,,1,0,1,
yz3,RSVPtest,6,r,true,904.5,2,r,,0,0,2,
yz3,RSVPtest,7,r,true,665.5999999642372,2,r,,0,0,2,
yz3,RSVPtest,8,r,true,1073.5,0,b,,2,3,0,
yz3,RSVPtest,9,r,true,1160.6000000238419,2,r,,0,1,1,
yz3,RSVPtest,10,r,false,890.5,0,b,,3,3,0,
yz3,RSVPtest,11,r,false,1656.8999999761581,0,b,,3,3,0,
yz3,RSVPtest,12,r,true,592.4000000357628,2,r,,3,2,1,
yz3,RSVPtest,13,r,false,888.8000000119209,1,g,,3,1,1,
yz3,RSVPtest,14,r,false,1320.2000000476837,2,r,,1,2,1,
yz3,RSVPtest,15,r,true,1015.1999999880791,0,b,,3,3,0,
yz3,RSVPtest,16,r,false,1575.5,0,b,,3,3,0,
yz3,RSVPtest,17,r,true,1008.4000000357628,2,r,,2,1,1,
yz3,RSVPtest,18,r,true,1016.8999999761581,2,r,,3,2,1,
yz3,RSVPtest,19,r,false,886,0,b,,3,3,0,
yz3,RSVPtest,20,r,null,null,2,r,,3,1,1,
yz3,RSVPtest,21,r,false,644.5,1,g,,0,1,1,
yz3,RSVPtest,22,r,true,582.6000000238419,0,b,,2,3,0,
yz3,RSVPtest,23,r,true,649.0999999642372,0,b,,0,3,0,
yz3,RSVPtest,24,r,false,551,2,r,,3,2,1,
yz3,RSVPtest,25,r,false,872.5,0,b,,0,3,0,
yz3,RSVPtest,26,r,true,711.6000000238419,1,g,,2,2,2,
yz3,RSVPtest,27,r,false,1161.6000000238419,2,r,,1,0,1,
yz3,RSVPtest,28,r,true,1445.8999999761581,2,r,,3,1,1,
yz3,RSVPtest,29,r,null,null,2,r,,1,2,1,
yz3,RSVPtest,30,r,false,892.3000000119209,2,r,,2,2,2,
yz3,RSVPtest,31,r,true,1630.5999999642372,2,r,,3,0,1,
yz3,RSVPtest,32,r,true,14,1,g,,3,0,1,
yz3,RSVPtest,33,r,false,537,1,g,,1,0,1,
yz3,RSVPtest,34,r,false,649.1000000238419,0,b,,2,3,0,
yz3,RSVPtest,35,r,false,672,1,g,,0,1,1,
yz3,RSVPtest,36,r,true,1137.5,2,r,,2,0,1,
yz3,RSVPtest,37,r,false,1974.800000011921,2,r,,1,0,1,
yz3,RSVPtest,38,r,true,799.0999999642372,1,g,,0,0,2,
yz3,RSVPtest,39,r,true,583.8999999761581,2,r,,3,0,1,
yz3,RSVPtest,40,r,null,null,1,g,,3,0,1,
yz3,RSVPtest,41,r,true,753.5,2,r,,3,0,1,
yz3,RSVPtest,42,r,true,679.6999999880791,1,g,,1,2,1,
yz3,RSVPtest,43,r,true,850.3999999761581,0,b,,1,3,0,
yz3,RSVPtest,44,r,true,953.6000000238419,0,b,,3,3,0,
yz3,RSVPtest,45,r,false,449.89999997615814,2,r,,0,1,1,
yz3,RSVPtest,46,r,true,1250.7000000476837,2,r,,3,0,1,
yz3,RSVPtest,47,r,true,496.5,2,r,,1,1,2,
yz3,RSVPtest,48,r,true,857.3999999761581,2,r,,3,1,1,
yz3,RSVPtest,49,r,true,686.6999999880791,1,g,,3,2,1,
yz3,RSVPtest,50,r,false,1120.0999999642372,0,b,,0,3,0,
yz3,RSVPtest,51,r,false,747.0999999642372,2,r,,2,0,1,
yz3,RSVPtest,52,r,true,672.1999999880791,2,r,,3,1,1,
yz3,RSVPtest,53,r,true,800.6000000238419,1,g,,3,1,1,
yz3,RSVPtest,54,r,null,null,2,r,,2,2,2,
yz3,RSVPtest,55,r,false,1761.699999988079,2,r,,2,1,1,
yz3,RSVPtest,56,r,false,583,0,b,,1,3,0,
yz3,RSVPtest,57,r,null,null,1,g,,2,0,1,
yz3,RSVPtest,58,r,false,716.5999999642372,2,r,,1,2,1,
yz3,RSVPtest,59,r,false,671.5,2,r,,3,2,1,
yz3,RSVPtest,60,r,true,862.8999999761581,1,g,,2,2,2,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
yz3,RSVPtest,61,r,true,708,0,b,,0,3,0,
yz3,RSVPtest,62,r,true,558.4000000357628,1,g,,3,1,1,
yz3,RSVPtest,63,r,false,656.6999999880791,2,r,,1,2,1,
yz3,RSVPtest,64,r,true,913,1,g,,0,2,1,
yz3,RSVPtest,65,r,false,1216.7000000476837,1,g,,0,1,1,
yz3,RSVPtest,66,r,true,786,2,r,,0,0,2,
yz3,RSVPtest,67,r,true,632.1000000238419,1,g,,3,2,1,
yz3,RSVPtest,68,r,false,726.2000000476837,1,g,,3,1,1,
yz3,RSVPtest,69,r,true,720.7999999523163,2,r,,0,1,1,
yz3,RSVPtest,70,r,true,935.6000000238419,1,g,,3,2,1,
yz3,RSVPtest,71,r,false,897.8000000119209,1,g,,3,0,1,
yz3,RSVPtest,72,r,true,621.5,1,g,,3,2,1,
yz3,RSVPtest,73,r,true,1369.3999999761581,0,b,,2,3,0,
yz3,RSVPtest,74,r,false,784.3999999761581,0,b,,3,3,0,
yz3,RSVPtest,75,r,true,823.0999999642372,2,r,,1,0,1,
yz3,RSVPtest,76,r,false,815.4000000357628,0,b,,2,3,0,
yz3,RSVPtest,77,r,true,936.3999999761581,2,r,,1,0,1,
yz3,RSVPtest,78,r,false,720.6999999880791,2,r,,3,2,1,
yz3,RSVPtest,79,r,true,991.3000000119209,1,g,,3,1,1,
yz3,RSVPtest,80,r,true,463.30000001192093,1,g,,1,1,2,
yz3,RSVPtest,81,r,true,887,2,r,,2,2,2,
yz3,RSVPtest,82,r,true,455,2,r,,2,2,2,
yz3,RSVPtest,83,r,null,null,0,b,,3,3,0,
