subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
c9o,VDACtrain,0,g,null,null,1,r,v,4,,,
c9o,VDACtrain,0,g,true,848.8000000044703,1,r,v,3,,,
c9o,VDACtrain,0,g,true,768.7999999970198,1,r,h,0,,,
c9o,VDACtrain,0,g,false,667,1,r,h,1,,,
c9o,VDACtrain,0,g,true,713,2,g,v,5,,,
c9o,VDACtrain,0,g,false,225,2,g,v,2,,,
c9o,VDACtrain,0,g,true,691.8000000044703,2,g,h,3,,,
c9o,VDACtrain,0,g,true,666.3999999985099,2,g,v,0,,,
c9o,VDACtrain,0,g,false,480.70000000298023,2,g,h,5,,,
c9o,VDACtrain,0,g,true,740,1,r,h,2,,,
c9o,VDACtest,1,g,true,634.8999999985099,2,g,v,5,,,
c9o,VDACtest,2,g,true,609.8999999985099,1,r,v,1,,,
c9o,VDACtest,3,g,true,610.2999999970198,1,r,v,1,,,
c9o,VDACtest,4,g,true,818.5,1,r,v,0,,,
c9o,VDACtest,5,g,true,482,1,r,h,4,,,
c9o,VDACtest,6,g,true,674.1000000014901,1,r,h,2,,,
c9o,VDACtest,7,g,true,729.7000000029802,2,g,h,2,,,
c9o,VDACtest,8,g,true,584.7000000029802,2,g,h,4,,,
c9o,VDACtest,9,g,false,679.5,2,g,h,1,,,
c9o,VDACtest,10,g,true,730.1999999955297,1,r,v,1,,,
c9o,VDACtest,11,g,true,627.1000000014901,1,r,h,3,,,
c9o,VDACtest,12,g,true,458.19999999552965,2,g,v,3,,,
c9o,VDACtest,13,g,false,705.7999999970198,1,r,v,2,,,
c9o,VDACtest,14,g,true,677.2000000029802,2,g,v,1,,,
c9o,VDACtest,15,g,true,571.2000000029802,2,g,v,5,,,
c9o,VDACtest,16,g,true,456.69999999552965,2,g,v,4,,,
c9o,VDACtest,17,g,false,529.6000000014901,2,g,h,5,,,
c9o,VDACtest,18,g,true,482.29999999701977,2,g,h,3,,,
c9o,VDACtest,19,g,true,594.7999999970198,1,r,h,0,,,
c9o,VDACtest,20,g,true,809.8999999985099,2,g,h,5,,,
c9o,VDACtest,21,g,true,538.6000000014901,2,g,v,3,,,
c9o,VDACtest,22,g,true,752.6000000014901,1,r,h,1,,,
c9o,VDACtest,23,g,false,585.7999999970198,1,r,h,5,,,
c9o,VDACtest,24,g,true,770,1,r,h,2,,,
c9o,VDACtest,25,g,true,490.3999999985099,2,g,v,4,,,
c9o,VDACtest,26,g,false,657.7999999970198,1,r,v,1,,,
c9o,VDACtest,27,g,null,null,1,r,v,3,,,
c9o,VDACtest,28,g,true,672.7000000029802,2,g,h,1,,,
c9o,VDACtest,29,g,true,418.5,1,r,v,0,,,
c9o,VDACtest,30,g,false,499,1,r,h,1,,,
c9o,VDACtest,31,g,true,370.1000000014901,1,r,h,1,,,
