subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch
c1z,VDACtrain,0,g,null,null,2,g,v,5,,
c1z,VDACtrain,0,g,TRUE,621.3,2,g,v,0,,
c1z,VDACtrain,0,g,null,null,2,g,h,5,,
c1z,VDACtrain,0,g,FALSE,594.1,1,r,h,0,,
c1z,VDACtrain,0,g,null,null,1,r,v,3,,
c1z,VDACtrain,0,g,TRUE,961.4,2,g,h,3,,
c1z,VDACtrain,0,g,FALSE,613.3,1,r,h,1,,
c1z,VDACtrain,0,g,TRUE,797.5,1,r,v,4,,
c1z,VDACtrain,0,g,TRUE,742.2,2,g,v,2,,
c1z,VDACtrain,0,g,FALSE,646.7,1,r,h,2,,
c1z,VDACtrain,0,g,TRUE,888.2,2,g,h,3,,
c1z,VDACtrain,0,g,TRUE,621.8,2,g,v,2,,
c1z,VDACtrain,0,g,TRUE,582.9,1,r,h,0,,
c1z,VDACtrain,0,g,TRUE,709.4,2,g,v,0,,
c1z,VDACtrain,0,g,FALSE,877.1,1,r,h,2,,
c1z,VDACtrain,0,g,TRUE,798.5,2,g,h,5,,
c1z,VDACtrain,0,g,TRUE,678.2,1,r,h,1,,
c1z,VDACtrain,0,g,TRUE,621.4,1,r,v,4,,
c1z,VDACtrain,0,g,TRUE,546.4,1,r,v,3,,
c1z,VDACtrain,0,g,TRUE,508.5,2,g,v,5,,
c1z,VDACtest,1,g,TRUE,698.2,1,r,h,5,,
c1z,VDACtest,2,g,TRUE,635.3,1,r,v,4,,
c1z,VDACtest,3,g,TRUE,565.8,1,r,h,5,,
c1z,VDACtest,4,g,TRUE,599.3,1,r,h,3,,
c1z,VDACtest,5,g,TRUE,796.8,1,r,h,1,,
c1z,VDACtest,6,g,TRUE,365.3,2,g,v,4,,
c1z,VDACtest,7,g,FALSE,460.9,1,r,v,5,,
c1z,VDACtest,8,g,TRUE,509.3,2,g,h,3,,
c1z,VDACtest,9,g,FALSE,620.9,1,r,h,4,,
c1z,VDACtest,10,g,TRUE,581.6,1,r,h,4,,
c1z,VDACtest,11,g,TRUE,478.3,2,g,v,3,,
c1z,VDACtest,12,g,null,null,2,g,v,2,,
c1z,VDACtest,13,g,FALSE,855.9,2,g,h,2,,
c1z,VDACtest,14,g,TRUE,629.1,2,g,v,1,,
c1z,VDACtest,15,g,TRUE,628,2,g,h,2,,
c1z,VDACtest,16,g,TRUE,615.7,2,g,v,0,,
c1z,VDACtest,17,g,FALSE,596.7,2,g,h,4,,
c1z,VDACtest,18,g,TRUE,684.9,2,g,h,2,,
c1z,VDACtest,19,g,TRUE,509.3,1,r,v,5,,
c1z,VDACtest,20,g,TRUE,876.3,1,r,h,0,,
c1z,VDACtest,21,g,TRUE,581.9,2,g,v,4,,
c1z,VDACtest,22,g,TRUE,534.3,1,r,v,3,,
c1z,VDACtest,23,g,TRUE,454.6,2,g,v,5,,
c1z,VDACtest,24,g,TRUE,444.6,2,g,v,4,,
c1z,VDACtest,25,g,TRUE,421,1,r,h,2,,
c1z,VDACtest,26,g,TRUE,403.3,2,g,v,5,,
c1z,VDACtest,27,g,TRUE,533,1,r,h,4,,
c1z,VDACtest,28,g,TRUE,525.2,1,r,h,0,,
c1z,VDACtest,29,g,TRUE,388.3,2,g,v,0,,
c1z,VDACtest,30,g,TRUE,420.6,2,g,h,3,,
c1z,VDACtest,31,g,TRUE,444.8,1,r,v,4,,
c1z,VDACtest,32,g,TRUE,414.8,2,g,h,4,,
c1z,VDACtest,33,g,FALSE,509.2,1,r,h,5,,
c1z,VDACtest,34,g,TRUE,413.7,2,g,v,5,,
c1z,VDACtest,35,g,FALSE,508.6,1,r,h,1,,
c1z,VDACtest,36,g,TRUE,364.3,1,r,h,5,,
c1z,VDACtest,37,g,TRUE,437.6,2,g,h,4,,
c1z,VDACtest,38,g,TRUE,524.6,2,g,v,2,,
c1z,VDACtest,39,g,TRUE,660.4,1,r,h,2,,
c1z,VDACtest,40,g,TRUE,478.8,1,r,h,0,,
c1z,VDACtest,41,g,TRUE,404.9,2,g,v,4,,
c1z,VDACtest,42,g,FALSE,491.9,1,r,v,0,,
c1z,VDACtest,43,g,FALSE,435.8,1,r,h,4,,
c1z,VDACtest,44,g,FALSE,498,2,g,h,0,,
c1z,VDACtest,45,g,TRUE,678.6,2,g,v,1,,
c1z,VDACtest,46,g,TRUE,357.2,1,r,h,4,,
c1z,VDACtest,47,g,FALSE,543.2,1,r,v,1,,
c1z,VDACtest,48,g,FALSE,550.5,1,r,v,0,,
c1z,VDACtest,49,g,TRUE,542.6,2,g,v,1,,
c1z,VDACtest,50,g,TRUE,525.7,1,r,h,3,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk
c1z,VDACtest,51,g,TRUE,596.8,2,g,v,0,,
c1z,VDACtest,52,g,TRUE,524.8,1,r,v,0,,
c1z,VDACtest,53,g,TRUE,492.8,1,r,v,3,,
c1z,VDACtest,54,g,TRUE,413.5,2,g,h,3,,
