subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch
tex,VDACtrain,0,g,TRUE,739.1000001,2,g,h,3,,
tex,VDACtrain,0,g,TRUE,802.8999999,2,g,v,0,,
tex,VDACtrain,0,g,null,null,1,r,v,4,,
tex,VDACtrain,0,g,TRUE,705.7,2,g,h,5,,
tex,VDACtrain,0,g,FALSE,489.6999998,1,r,h,0,,
tex,VDACtrain,0,g,FALSE,959.7,1,r,h,2,,
tex,VDACtrain,0,g,TRUE,753.8,2,g,v,2,,
tex,VDACtrain,0,g,TRUE,770.8999999,2,g,v,5,,
tex,VDACtrain,0,g,TRUE,672.5999999,1,r,v,3,,
tex,VDACtrain,0,g,TRUE,673.3999999,1,r,h,1,,
tex,VDACtest,1,g,TRUE,937.3,1,r,h,0,,
tex,VDACtest,2,g,TRUE,577.4000001,2,g,v,4,,
tex,VDACtest,3,g,null,null,2,g,h,2,,
tex,VDACtest,4,g,TRUE,655.7,2,g,v,2,,
tex,VDACtest,5,g,TRUE,761.5999999,1,r,h,5,,
tex,VDACtest,6,g,TRUE,810.0999999,1,r,h,2,,
tex,VDACtest,7,g,TRUE,776.5,1,r,h,5,,
tex,VDACtest,8,g,TRUE,481.8,1,r,v,2,,
tex,VDACtest,9,g,TRUE,545.0999999,1,r,h,3,,
tex,VDACtest,10,g,TRUE,488.3,2,g,v,1,,
tex,VDACtest,11,g,TRUE,448.3999999,2,g,h,3,,
tex,VDACtest,12,g,TRUE,561.0999999,1,r,v,3,,
tex,VDACtest,13,g,TRUE,515,2,g,v,3,,
tex,VDACtest,14,g,TRUE,451.8,2,g,v,5,,
tex,VDACtest,15,g,TRUE,762.8,2,g,v,0,,
tex,VDACtest,16,g,TRUE,522.9000001,2,g,h,2,,
tex,VDACtest,17,g,null,null,1,r,v,2,,
tex,VDACtest,18,g,TRUE,605,2,g,v,3,,
tex,VDACtest,19,g,TRUE,649.5,2,g,h,4,,
tex,VDACtest,20,g,TRUE,778.6999998,2,g,v,4,,
tex,VDACtest,21,g,TRUE,522.0999999,1,r,h,3,,
tex,VDACtest,22,g,TRUE,930,1,r,h,1,,
