#subj_idx response rt stim
2 1 0.8685 1
2 0 0.926 1
2 1 1.2334 1
2 1 0.6940999999 1
2 1 1.0773 1
2 1 0.8935999999 1
2 1 1.0975 1
2 1 0.6216999998 1
2 1 0.9553999996 1
2 1 0.964 1
2 1 0.7047000003 1
2 1 0.5006999998 1
2 1 0.9718000002 1
2 1 0.7076999998 1
2 1 0.4405 1
2 0 0.7162000003 1
2 1 0.8100999999 1
2 1 0.6990999999 1
2 1 0.8787999997 1
2 0 1.4761 1
2 0 1.4878 1
2 1 1.2142 1
2 1 0.8058000002 1
2 1 0.7807000003 1
2 1 1.0731 1
2 1 0.5659000001 1
2 0 0.6444000001 1
2 1 0.7176999998 1
2 0 0.614 1
2 1 0.5746999998 1
2 0 0.8222000003 1
2 1 1.2932 1
2 1 0.8304000001 1
2 0 1.4914 1
2 0 1.0448 1
2 1 0.8035999999 1
2 0 0.7893000002 1
2 1 0.6761999998 1
2 1 1.1377 1
2 1 1.0174 1
2 1 0.9245 1
2 0 1.5315 1
2 1 0.7158000002 1
2 1 0.6699000001 1
2 0 1.0528 1
2 1 0.698 1
2 0 0.6032000003 1
2 1 0.5873000002 1
2 1 0.6670999999 1
2 1 0.543 1
2 0 0.5761999998 1
2 0 0.8345999999 1
2 0 0.7541999998 1
2 1 0.69 1
