subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
c1z,VDACtrain,0,g,null,null,2,g,v,5,,,
c1z,VDACtrain,0,g,true,621.2999999970198,2,g,v,0,,,
c1z,VDACtrain,0,g,null,null,2,g,h,5,,,
c1z,VDACtrain,0,g,false,594.0999999940395,1,r,h,0,,,
c1z,VDACtrain,0,g,null,null,1,r,v,3,,,
c1z,VDACtrain,0,g,true,961.3999999985099,2,g,h,3,,,
c1z,VDACtrain,0,g,false,613.2999999970198,1,r,h,1,,,
c1z,VDACtrain,0,g,true,797.5,1,r,v,4,,,
c1z,VDACtrain,0,g,true,742.2000000029802,2,g,v,2,,,
c1z,VDACtrain,0,g,false,646.6999999955297,1,r,h,2,,,
c1z,VDACtrain,0,g,true,888.2000000029802,2,g,h,3,,,
c1z,VDACtrain,0,g,true,621.7999999970198,2,g,v,2,,,
c1z,VDACtrain,0,g,true,582.8999999985099,1,r,h,0,,,
c1z,VDACtrain,0,g,true,709.3999999985099,2,g,v,0,,,
c1z,VDACtrain,0,g,false,877.0999999940395,1,r,h,2,,,
c1z,VDACtrain,0,g,true,798.5,2,g,h,5,,,
c1z,VDACtrain,0,g,true,678.2000000029802,1,r,h,1,,,
c1z,VDACtrain,0,g,true,621.4000000059605,1,r,v,4,,,
c1z,VDACtrain,0,g,true,546.4000000059605,1,r,v,3,,,
c1z,VDACtrain,0,g,true,508.5,2,g,v,5,,,
c1z,VDACtest,1,g,true,698.2000000029802,1,r,h,5,,,
c1z,VDACtest,2,g,true,635.3000000044703,1,r,v,4,,,
c1z,VDACtest,3,g,true,565.8000000044703,1,r,h,5,,,
c1z,VDACtest,4,g,true,599.2999999970198,1,r,h,3,,,
c1z,VDACtest,5,g,true,796.8000000044703,1,r,h,1,,,
c1z,VDACtest,6,g,true,365.30000000447035,2,g,v,4,,,
c1z,VDACtest,7,g,false,460.8999999985099,1,r,v,5,,,
c1z,VDACtest,8,g,true,509.30000000447035,2,g,h,3,,,
c1z,VDACtest,9,g,false,620.8999999985099,1,r,h,4,,,
c1z,VDACtest,10,g,true,581.6000000014901,1,r,h,4,,,
c1z,VDACtest,11,g,true,478.30000000447035,2,g,v,3,,,
c1z,VDACtest,12,g,null,null,2,g,v,2,,,
c1z,VDACtest,13,g,false,855.8999999985099,2,g,h,2,,,
c1z,VDACtest,14,g,true,629.1000000014901,2,g,v,1,,,
c1z,VDACtest,15,g,true,628,2,g,h,2,,,
c1z,VDACtest,16,g,true,615.6999999955297,2,g,v,0,,,
c1z,VDACtest,17,g,false,596.6999999955297,2,g,h,4,,,
c1z,VDACtest,18,g,true,684.8999999985099,2,g,h,2,,,
c1z,VDACtest,19,g,true,509.29999999701977,1,r,v,5,,,
c1z,VDACtest,20,g,true,876.2999999970198,1,r,h,0,,,
c1z,VDACtest,21,g,true,581.8999999985099,2,g,v,4,,,
c1z,VDACtest,22,g,true,534.3000000044703,1,r,v,3,,,
c1z,VDACtest,23,g,true,454.6000000014901,2,g,v,5,,,
c1z,VDACtest,24,g,true,444.59999999403954,2,g,v,4,,,
