subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
c6y,VDACtrain,0,g,null,null,1,r,v,3,,,
c6y,VDACtrain,0,g,false,362.1000003814697,2,g,v,5,,,
c6y,VDACtrain,0,g,null,null,2,g,v,2,,,
c6y,VDACtrain,0,g,true,706,1,r,v,4,,,
c6y,VDACtrain,0,g,null,null,1,r,h,0,,,
c6y,VDACtrain,0,g,null,null,1,r,h,1,,,
c6y,VDACtrain,0,g,null,null,2,g,h,5,,,
c6y,VDACtrain,0,g,null,null,1,r,h,2,,,
c6y,VDACtrain,0,g,null,null,2,g,h,3,,,
c6y,VDACtrain,0,g,null,null,2,g,v,0,,,
c6y,VDACtest,1,g,null,null,2,g,h,0,,,
c6y,VDACtest,2,g,null,null,2,g,h,4,,,
c6y,VDACtest,3,g,null,null,1,r,h,5,,,
c6y,VDACtest,4,g,null,null,2,g,v,2,,,
c6y,VDACtest,5,g,true,733.2999997138977,1,r,h,4,,,
c6y,VDACtest,6,g,true,771,1,r,h,3,,,
c6y,VDACtest,7,g,true,795.3000001907349,2,g,h,3,,,
c6y,VDACtest,8,g,true,562.8999996185303,1,r,h,3,,,
c6y,VDACtest,9,g,true,778,2,g,v,4,,,
c6y,VDACtest,10,g,true,756,2,g,v,5,,,
c6y,VDACtest,11,g,true,883.5999999046326,1,r,v,0,,,
c6y,VDACtest,12,g,true,611.0999999046326,2,g,v,1,,,
c6y,VDACtest,13,g,true,706.9000000953674,2,g,h,3,,,
c6y,VDACtest,14,g,false,682.8999996185303,2,g,v,5,,,
c6y,VDACtest,15,g,false,714.4000000953674,2,g,v,0,,,
c6y,VDACtest,16,g,true,803.3000001907349,1,r,v,1,,,
c6y,VDACtest,17,g,null,null,2,g,h,5,,,
c6y,VDACtest,18,g,false,695.2000002861023,2,g,v,4,,,
c6y,VDACtest,19,g,true,675.3000001907349,1,r,h,0,,,
c6y,VDACtest,20,g,true,762.1999998092651,1,r,v,1,,,
c6y,VDACtest,21,g,true,963.3000001907349,1,r,h,0,,,
c6y,VDACtest,22,g,true,922.3999996185303,2,g,h,5,,,
c6y,VDACtest,23,g,false,603.3000001907349,1,r,h,5,,,
c6y,VDACtest,24,g,null,null,1,r,v,4,,,
c6y,VDACtest,25,g,true,749.2999997138977,1,r,h,4,,,
c6y,VDACtest,26,g,true,738,2,g,v,4,,,
c6y,VDACtest,27,g,true,612.5,2,g,v,4,,,
c6y,VDACtest,28,g,false,740.2999997138977,2,g,h,1,,,
c6y,VDACtest,29,g,false,715.5999999046326,2,g,v,4,,,
c6y,VDACtest,30,g,false,787.8000001907349,1,r,v,4,,,
c6y,VDACtest,31,g,true,923.0999999046326,2,g,v,2,,,
c6y,VDACtest,32,g,true,931.2000002861023,2,g,v,2,,,
c6y,VDACtest,33,g,true,891.9000000953674,2,g,h,0,,,
c6y,VDACtest,34,g,null,null,2,g,h,2,,,
c6y,VDACtest,35,g,null,null,1,r,v,5,,,
c6y,VDACtest,36,g,true,714.6999998092651,1,r,h,1,,,
c6y,VDACtest,37,g,true,811.3999996185303,1,r,v,2,,,
c6y,VDACtest,38,g,true,586.2000002861023,2,g,h,3,,,
c6y,VDACtest,39,g,true,682.5999999046326,1,r,v,3,,,
c6y,VDACtest,40,g,true,692.7999997138977,1,r,v,2,,,
c6y,VDACtest,41,g,true,739.0999999046326,1,r,v,1,,,
c6y,VDACtest,42,g,true,700.7000002861023,2,g,v,3,,,
c6y,VDACtest,43,g,true,666.6999998092651,1,r,v,0,,,
c6y,VDACtest,44,g,null,null,1,r,h,2,,,
c6y,VDACtest,45,g,true,780.9000000953674,2,g,v,0,,,
c6y,VDACtest,46,g,null,null,1,r,v,3,,,
c6y,VDACtest,47,g,true,765.7000002861023,2,g,v,0,,,
c6y,VDACtest,48,g,true,724.8000001907349,2,g,v,4,,,
c6y,VDACtest,49,g,false,899.4000000953674,1,r,v,3,,,
c6y,VDACtest,50,g,null,null,1,r,h,4,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
c6y,VDACtest,51,g,false,601.4000000953674,2,g,v,2,,,
c6y,VDACtest,52,g,false,747.3999996185303,2,g,v,5,,,
c6y,VDACtest,53,g,true,884,2,g,v,5,,,
c6y,VDACtest,54,g,true,603.3000001907349,2,g,v,2,,,
c6y,VDACtest,55,g,false,755.3999996185303,1,r,v,3,,,
c6y,VDACtest,56,g,null,null,1,r,v,5,,,
c6y,VDACtest,57,g,true,771.1000003814697,2,g,h,5,,,
c6y,VDACtest,58,g,true,547.5,2,g,v,2,,,
c6y,VDACtest,59,g,false,539.3000001907349,1,r,v,1,,,
c6y,VDACtest,60,g,true,738.7000002861023,1,r,v,3,,,
c6y,VDACtest,61,g,true,498.3999996185303,1,r,v,4,,,
c6y,VDACtest,62,g,true,603.0999999046326,1,r,h,0,,,
c6y,VDACtest,63,g,true,572.0999999046326,2,g,h,5,,,
c6y,VDACtest,64,g,true,507.69999980926514,2,g,h,5,,,
c6y,VDACtest,65,g,false,596,1,r,h,1,,,
c6y,VDACtest,66,g,false,620.5999999046326,1,r,h,0,,,
c6y,VDACtest,67,g,true,500.2999997138977,2,g,h,0,,,
c6y,VDACtest,68,g,true,459.30000019073486,2,g,h,1,,,
c6y,VDACtest,69,g,false,580.0999999046326,1,r,v,0,,,
c6y,VDACtest,70,g,false,596.1000003814697,1,r,v,3,,,
c6y,VDACtest,71,g,false,931.0999999046326,1,r,h,2,,,
c6y,VDACtest,72,g,true,596.5,2,g,h,4,,,
c6y,VDACtest,73,g,false,539.9000000953674,2,g,v,3,,,
c6y,VDACtest,74,g,false,642.0999999046326,2,g,h,1,,,
c6y,VDACtest,75,g,false,613.0999999046326,2,g,v,5,,,
c6y,VDACtest,76,g,false,877.5,1,r,h,2,,,
c6y,VDACtest,77,g,true,930.3000001907349,1,r,v,1,,,
c6y,VDACtest,78,g,true,667.5999999046326,1,r,v,0,,,
c6y,VDACtest,79,g,true,747.9000000953674,2,g,v,5,,,
c6y,VDACtest,80,g,true,664.5999999046326,1,r,v,0,,,
c6y,VDACtest,81,g,true,755.5999999046326,1,r,h,2,,,
c6y,VDACtest,82,g,true,620.1999998092651,1,r,h,3,,,
c6y,VDACtest,83,g,false,811.8000001907349,1,r,v,4,,,
c6y,VDACtest,84,g,false,628.5999999046326,1,r,v,4,,,
c6y,VDACtest,85,g,false,748.2000002861023,2,g,h,2,,,
c6y,VDACtest,86,g,false,802.5,1,r,v,2,,,
c6y,VDACtest,87,g,false,764.0999999046326,2,g,h,2,,,
c6y,VDACtest,88,g,true,868.6999998092651,2,g,h,3,,,
c6y,VDACtest,89,g,true,966.3000001907349,1,r,h,1,,,
c6y,VDACtest,90,g,true,611.5999999046326,2,g,h,3,,,
c6y,VDACtest,91,g,true,651.6999998092651,2,g,h,0,,,
c6y,VDACtest,92,g,true,826.8000001907349,1,r,v,5,,,
c6y,VDACtest,93,g,true,587.4000000953674,2,g,h,0,,,
c6y,VDACtest,94,g,true,636,2,g,h,3,,,
c6y,VDACtest,95,g,true,811.5999999046326,1,r,h,1,,,
c6y,VDACtest,96,g,true,572.0999999046326,2,g,v,2,,,
c6y,VDACtest,97,g,false,956.6999998092651,1,r,v,2,,,
c6y,VDACtest,98,g,false,916,1,r,h,3,,,
c6y,VDACtest,99,g,true,596.0999999046326,1,r,v,3,,,
c6y,VDACtest,100,g,true,618.0999999046326,1,r,h,4,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
c6y,VDACtest,101,g,true,795.8000001907349,2,g,v,3,,,
c6y,VDACtest,102,g,true,570.9000000953674,1,r,h,1,,,
c6y,VDACtest,103,g,false,892.8000001907349,2,g,h,3,,,
c6y,VDACtest,104,g,false,979.9000000953674,1,r,v,2,,,
c6y,VDACtest,105,g,true,745.4000000953674,1,r,v,4,,,
c6y,VDACtest,106,g,true,602.5999999046326,1,r,v,4,,,
c6y,VDACtest,107,g,true,580,2,g,v,4,,,
c6y,VDACtest,108,g,true,489.30000019073486,1,r,h,0,,,
c6y,VDACtest,109,g,true,828.0999999046326,2,g,v,0,,,
c6y,VDACtest,110,g,true,908.7000002861023,1,r,h,5,,,
c6y,VDACtest,111,g,true,667,2,g,v,1,,,
c6y,VDACtest,112,g,true,599.5999999046326,1,r,h,2,,,
c6y,VDACtest,113,g,true,604.0999999046326,2,g,v,0,,,
c6y,VDACtest,114,g,false,594.6999998092651,2,g,h,1,,,
c6y,VDACtest,115,g,true,748.2000002861023,1,r,v,3,,,
c6y,VDACtest,116,g,true,556.2000002861023,2,g,h,3,,,
c6y,VDACtest,117,g,null,null,2,g,h,4,,,
c6y,VDACtest,118,g,false,621,2,g,h,5,,,
c6y,VDACtest,119,g,true,780,1,r,h,5,,,
c6y,VDACtest,120,g,true,724.2000002861023,1,r,h,2,,,
c6y,VDACtest,121,g,true,636.3000001907349,2,g,h,4,,,
c6y,VDACtest,122,g,true,692.3000001907349,2,g,v,1,,,
c6y,VDACtest,123,g,false,987.8000001907349,2,g,v,1,,,
c6y,VDACtest,124,g,true,843.2000002861023,1,r,h,1,,,
c6y,VDACtest,125,g,null,null,1,r,h,3,,,
c6y,VDACtest,126,g,true,708.1999998092651,1,r,h,3,,,
c6y,VDACtest,127,g,true,805,2,g,v,0,,,
c6y,VDACtest,128,g,false,956.4000000953674,1,r,v,4,,,
c6y,VDACtest,129,g,true,755.3000001907349,2,g,h,0,,,
c6y,VDACtest,130,g,true,652.5999999046326,1,r,h,0,,,
c6y,VDACtest,131,g,true,618,2,g,v,1,,,
c6y,VDACtest,132,g,true,561.6999998092651,2,g,h,4,,,
c6y,VDACtest,133,g,true,707.8000001907349,1,r,v,0,,,
c6y,VDACtest,134,g,true,540.3000001907349,2,g,h,2,,,
c6y,VDACtest,135,g,true,629.0999999046326,1,r,h,4,,,
c6y,VDACtest,136,g,true,578.8000001907349,1,r,h,5,,,
