subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
ur6,VDACtrain,0,g,null,null,2,g,v,0,,,
ur6,VDACtrain,0,g,true,590.9000000953674,2,g,v,5,,,
ur6,VDACtrain,0,g,true,953.7999999523163,1,r,h,1,,,
ur6,VDACtrain,0,g,true,847.7000000476837,2,g,v,2,,,
ur6,VDACtrain,0,g,true,894.9000000953674,1,r,v,3,,,
ur6,VDACtrain,0,g,null,null,2,g,h,5,,,
ur6,VDACtrain,0,g,false,877,2,g,h,3,,,
ur6,VDACtrain,0,g,null,null,1,r,h,0,,,
ur6,VDACtrain,0,g,null,null,1,r,h,2,,,
ur6,VDACtrain,0,g,false,594.8000001907349,1,r,v,4,,,
ur6,VDACtest,1,g,true,715.2999999523163,1,r,v,4,,,
ur6,VDACtest,2,g,true,673.5,1,r,h,4,,,
ur6,VDACtest,3,g,false,751.7000000476837,1,r,h,1,,,
ur6,VDACtest,4,g,false,996.9000000953674,2,g,v,1,,,
ur6,VDACtest,5,g,false,928.2999999523163,1,r,h,4,,,
ur6,VDACtest,6,g,true,938.3000001907349,2,g,v,5,,,
ur6,VDACtest,7,g,true,727.5999999046326,2,g,v,3,,,
ur6,VDACtest,8,g,null,null,2,g,v,1,,,
ur6,VDACtest,9,g,true,855.1000001430511,1,r,v,3,,,
ur6,VDACtest,10,g,true,767.6000001430511,1,r,h,2,,,
ur6,VDACtest,11,g,true,482.90000009536743,1,r,h,2,,,
ur6,VDACtest,12,g,true,767.8000001907349,1,r,v,2,,,
ur6,VDACtest,13,g,null,null,2,g,v,1,,,
ur6,VDACtest,14,g,true,636,1,r,h,4,,,
ur6,VDACtest,15,g,null,null,2,g,v,0,,,
ur6,VDACtest,16,g,true,631.1000001430511,2,g,h,5,,,
ur6,VDACtest,17,g,true,465.2000000476837,2,g,v,3,,,
ur6,VDACtest,18,g,true,745.5,1,r,h,5,,,
ur6,VDACtest,19,g,false,560.2999999523163,2,g,h,5,,,
ur6,VDACtest,20,g,false,721.0999999046326,1,r,v,1,,,
ur6,VDACtest,21,g,true,705.1000001430511,1,r,v,5,,,
ur6,VDACtest,22,g,true,752.5999999046326,2,g,h,3,,,
ur6,VDACtest,23,g,true,907.2999999523163,1,r,h,2,,,
ur6,VDACtest,24,g,true,503.2999999523163,2,g,v,2,,,
ur6,VDACtest,25,g,true,408.90000009536743,2,g,h,2,,,
ur6,VDACtest,26,g,true,689.6999998092651,1,r,v,5,,,
ur6,VDACtest,27,g,false,648.4000000953674,2,g,v,1,,,
ur6,VDACtest,28,g,true,633,2,g,v,3,,,
ur6,VDACtest,29,g,true,672.3999998569489,2,g,v,3,,,
ur6,VDACtest,30,g,true,624.5999999046326,1,r,v,0,,,
ur6,VDACtest,31,g,true,504.60000014305115,1,r,v,5,,,
ur6,VDACtest,32,g,null,null,1,r,v,1,,,
ur6,VDACtest,33,g,true,587.0999999046326,1,r,v,4,,,
ur6,VDACtest,34,g,true,537,1,r,v,2,,,
ur6,VDACtest,35,g,true,658,1,r,h,1,,,
ur6,VDACtest,36,g,true,650.6000001430511,2,g,h,2,,,
ur6,VDACtest,37,g,false,546,2,g,v,2,,,
ur6,VDACtest,38,g,false,618.0999999046326,1,r,v,3,,,
ur6,VDACtest,39,g,true,864.7000000476837,2,g,v,4,,,
ur6,VDACtest,40,g,true,937.7000000476837,2,g,v,4,,,
ur6,VDACtest,41,g,true,737.7999999523163,1,r,v,0,,,
ur6,VDACtest,42,g,true,648.6000001430511,1,r,h,0,,,
ur6,VDACtest,43,g,true,937.0999999046326,1,r,h,1,,,
