subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
9gt,VDACtrain,0,r,true,924.7999999970198,2,r,h,0,,,
9gt,VDACtrain,0,r,true,685,1,g,v,5,,,
9gt,VDACtrain,0,r,null,null,1,g,h,3,,,
9gt,VDACtrain,0,r,true,950.0999999940395,2,r,v,4,,,
9gt,VDACtrain,0,r,true,731,1,g,v,2,,,
9gt,VDACtrain,0,r,null,null,1,g,v,0,,,
9gt,VDACtrain,0,r,true,569.9000000059605,2,r,v,3,,,
9gt,VDACtrain,0,r,true,684.0999999940395,2,r,h,2,,,
9gt,VDACtrain,0,r,true,611.7000000029802,2,r,h,1,,,
9gt,VDACtrain,0,r,true,589.2999999970198,1,g,h,5,,,
9gt,VDACtest,1,r,true,968.8999999910593,1,g,h,1,,,
9gt,VDACtest,2,r,true,650.2000000029802,1,g,h,2,,,
9gt,VDACtest,3,r,true,533.7000000029802,1,g,h,3,,,
9gt,VDACtest,4,r,true,914.4000000059605,1,g,h,5,,,
9gt,VDACtest,5,r,true,571.6999999880791,1,g,h,5,,,
9gt,VDACtest,6,r,true,833.7000000029802,1,g,v,5,,,
9gt,VDACtest,7,r,false,897.5,1,g,h,4,,,
9gt,VDACtest,8,r,true,819.2000000029802,1,g,v,4,,,
9gt,VDACtest,9,r,true,592.7999999970198,1,g,h,2,,,
9gt,VDACtest,10,r,true,658.3999999910593,1,g,v,4,,,
9gt,VDACtest,11,r,true,466.3999999910593,1,g,v,4,,,
9gt,VDACtest,12,r,false,610.1000000089407,2,r,v,2,,,
9gt,VDACtest,13,r,false,578.5999999940395,1,g,h,2,,,
9gt,VDACtest,14,r,false,480.79999999701977,2,r,v,2,,,
9gt,VDACtest,15,r,false,850.6000000089407,2,r,v,5,,,
9gt,VDACtest,16,r,true,552.5999999940395,2,r,v,3,,,
9gt,VDACtest,17,r,true,836.0999999940395,1,g,h,0,,,
9gt,VDACtest,18,r,null,null,2,r,h,4,,,
9gt,VDACtest,19,r,true,515.7999999970198,2,r,v,3,,,
9gt,VDACtest,20,r,true,618.5,2,r,v,1,,,
9gt,VDACtest,21,r,true,514.9000000059605,2,r,v,1,,,
9gt,VDACtest,22,r,true,497.5,1,g,v,2,,,
9gt,VDACtest,23,r,false,682.5,1,g,h,0,,,
9gt,VDACtest,24,r,true,714.9000000059605,1,g,v,2,,,
9gt,VDACtest,25,r,null,null,1,g,v,0,,,
9gt,VDACtest,26,r,false,534.5,2,r,v,0,,,
9gt,VDACtest,27,r,true,626,2,r,v,0,,,
9gt,VDACtest,28,r,true,625.2999999970198,1,g,v,1,,,
9gt,VDACtest,29,r,true,778.5,1,g,h,5,,,
9gt,VDACtest,30,r,true,906.5,2,r,h,4,,,
9gt,VDACtest,31,r,true,482,2,r,h,1,,,
9gt,VDACtest,32,r,true,697.4000000059605,1,g,h,4,,,
9gt,VDACtest,33,r,true,529.2999999970198,1,g,h,3,,,
9gt,VDACtest,34,r,true,633.4000000059605,2,r,h,0,,,
9gt,VDACtest,35,r,true,546.7000000029802,1,g,h,2,,,
9gt,VDACtest,36,r,true,578.1000000089407,2,r,h,1,,,
9gt,VDACtest,37,r,true,528.4000000059605,1,g,v,5,,,
9gt,VDACtest,38,r,true,859.7000000029802,1,g,v,1,,,
9gt,VDACtest,39,r,true,506.5,1,g,v,3,,,
9gt,VDACtest,40,r,true,658.6000000089407,1,g,h,4,,,
9gt,VDACtest,41,r,true,540.2999999970198,2,r,v,2,,,
9gt,VDACtest,42,r,true,562.3999999910593,1,g,h,1,,,
9gt,VDACtest,43,r,false,648.9000000059605,2,r,v,4,,,
9gt,VDACtest,44,r,true,523.7000000029802,2,r,h,5,,,
9gt,VDACtest,45,r,true,792.2999999970198,1,g,h,1,,,
9gt,VDACtest,46,r,true,665.6000000089407,1,g,h,3,,,
9gt,VDACtest,47,r,true,490.5,2,r,h,4,,,
9gt,VDACtest,48,r,null,null,2,r,h,3,,,
9gt,VDACtest,49,r,true,691.5999999940395,1,g,h,1,,,
9gt,VDACtest,50,r,null,null,2,r,h,3,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
9gt,VDACtest,51,r,true,611.2000000029802,1,g,h,3,,,
9gt,VDACtest,52,r,true,527.2000000029802,2,r,v,5,,,
9gt,VDACtest,53,r,true,513.7999999970198,1,g,v,4,,,
9gt,VDACtest,54,r,true,481.30000001192093,2,r,v,5,,,
9gt,VDACtest,55,r,true,441.59999999403954,2,r,v,1,,,
9gt,VDACtest,56,r,true,409.8999999910593,1,g,h,0,,,
9gt,VDACtest,57,r,true,546.0999999940395,1,g,v,5,,,
9gt,VDACtest,58,r,true,539,2,r,v,3,,,
9gt,VDACtest,59,r,false,544.0999999940395,2,r,v,5,,,
9gt,VDACtest,60,r,false,488.59999999403954,1,g,h,4,,,
9gt,VDACtest,61,r,null,null,1,g,h,5,,,
9gt,VDACtest,62,r,true,508.5,2,r,v,1,,,
9gt,VDACtest,63,r,true,506.70000000298023,2,r,h,3,,,
9gt,VDACtest,64,r,true,447.09999999403954,1,g,v,2,,,
9gt,VDACtest,65,r,true,482.90000000596046,1,g,v,3,,,
9gt,VDACtest,66,r,true,423.20000000298023,1,g,h,0,,,
9gt,VDACtest,67,r,true,449.30000001192093,1,g,h,4,,,
9gt,VDACtest,68,r,true,514.2000000029802,1,g,v,1,,,
9gt,VDACtest,69,r,false,771.5,1,g,v,5,,,
9gt,VDACtest,70,r,true,432.40000000596046,1,g,h,5,,,
9gt,VDACtest,71,r,true,474.09999999403954,2,r,v,0,,,
9gt,VDACtest,72,r,true,363.20000000298023,2,r,v,0,,,
9gt,VDACtest,73,r,true,458.70000000298023,2,r,h,2,,,
9gt,VDACtest,74,r,true,426.69999998807907,1,g,v,3,,,
9gt,VDACtest,75,r,true,448.70000000298023,1,g,v,3,,,
9gt,VDACtest,76,r,true,440.09999999403954,1,g,v,2,,,
9gt,VDACtest,77,r,true,417,2,r,h,4,,,
9gt,VDACtest,78,r,false,582.1000000089407,1,g,h,2,,,
9gt,VDACtest,79,r,false,828.4000000059605,2,r,v,4,,,
9gt,VDACtest,80,r,true,715.5999999940395,2,r,v,3,,,
9gt,VDACtest,81,r,false,600.9000000059605,1,g,h,3,,,
9gt,VDACtest,82,r,true,562.6999999880791,1,g,v,0,,,
9gt,VDACtest,83,r,true,577.9000000059605,1,g,v,1,,,
9gt,VDACtest,84,r,true,474.19999998807907,1,g,v,4,,,
9gt,VDACtest,85,r,true,465.70000000298023,1,g,v,4,,,
9gt,VDACtest,86,r,true,394.30000001192093,2,r,h,0,,,
9gt,VDACtest,87,r,true,443.29999999701977,2,r,h,5,,,
9gt,VDACtest,88,r,true,505.59999999403954,1,g,v,2,,,
9gt,VDACtest,89,r,false,539.0999999940395,2,r,v,2,,,
9gt,VDACtest,90,r,false,554.7999999970198,1,g,h,1,,,
9gt,VDACtest,91,r,true,545.7999999970198,1,g,v,0,,,
9gt,VDACtest,92,r,false,771.2000000029802,2,r,v,3,,,
9gt,VDACtest,93,r,true,808.8999999910593,2,r,h,5,,,
9gt,VDACtest,94,r,true,570.2999999970198,1,g,v,3,,,
9gt,VDACtest,95,r,true,592,1,g,h,4,,,
9gt,VDACtest,96,r,true,723.6000000089407,2,r,h,4,,,
9gt,VDACtest,97,r,false,849.5,2,r,v,0,,,
9gt,VDACtest,98,r,true,596.7999999970198,2,r,v,4,,,
9gt,VDACtest,99,r,true,794.1000000089407,2,r,h,3,,,
9gt,VDACtest,100,r,true,536.5999999940395,1,g,v,2,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
9gt,VDACtest,101,r,true,609.6999999880791,1,g,v,0,,,
9gt,VDACtest,102,r,true,401.8999999910593,2,r,h,0,,,
9gt,VDACtest,103,r,true,386.5,2,r,h,1,,,
9gt,VDACtest,104,r,true,490.69999998807907,1,g,h,1,,,
9gt,VDACtest,105,r,true,413,1,g,v,1,,,
9gt,VDACtest,106,r,true,552.5,2,r,h,2,,,
9gt,VDACtest,107,r,true,598.3000000119209,2,r,v,4,,,
9gt,VDACtest,108,r,false,572.2999999970198,1,g,h,5,,,
9gt,VDACtest,109,r,true,594.3999999910593,1,g,h,2,,,
9gt,VDACtest,110,r,true,512.5999999940395,1,g,h,1,,,
9gt,VDACtest,111,r,true,588.2000000029802,1,g,v,3,,,
9gt,VDACtest,112,r,true,560.7999999970198,1,g,v,0,,,
9gt,VDACtest,113,r,true,777.5999999940395,2,r,h,4,,,
9gt,VDACtest,114,r,false,615.2999999970198,1,g,h,0,,,
9gt,VDACtest,115,r,true,505.59999999403954,2,r,h,0,,,
9gt,VDACtest,116,r,true,490.19999998807907,2,r,v,5,,,
9gt,VDACtest,117,r,true,600.2000000029802,1,g,h,4,,,
9gt,VDACtest,118,r,true,388,1,g,v,4,,,
9gt,VDACtest,119,r,true,441.40000000596046,2,r,h,4,,,
9gt,VDACtest,120,r,true,603.3999999910593,2,r,h,5,,,
9gt,VDACtest,121,r,true,557.7999999970198,1,g,h,4,,,
9gt,VDACtest,122,r,true,523.5,1,g,v,2,,,
9gt,VDACtest,123,r,true,457.5,1,g,h,5,,,
9gt,VDACtest,124,r,true,450.3999999910593,2,r,h,4,,,
9gt,VDACtest,125,r,true,378.40000000596046,2,r,h,5,,,
9gt,VDACtest,126,r,true,736.7000000029802,1,g,v,1,,,
9gt,VDACtest,127,r,true,554,2,r,h,1,,,
9gt,VDACtest,128,r,true,449.8999999910593,1,g,h,0,,,
9gt,VDACtest,129,r,true,368,2,r,h,2,,,
9gt,VDACtest,130,r,true,648.2999999970198,2,r,v,1,,,
9gt,VDACtest,131,r,false,433.20000000298023,1,g,h,3,,,
9gt,VDACtest,132,r,true,958,2,r,v,3,,,
9gt,VDACtest,133,r,true,426.5,2,r,v,2,,,
9gt,VDACtest,134,r,true,386.5,2,r,v,2,,,
9gt,VDACtest,135,r,true,393.29999999701977,2,r,h,2,,,
9gt,VDACtest,136,r,true,392,1,g,v,0,,,
9gt,VDACtest,137,r,true,520.6000000089407,2,r,h,1,,,
9gt,VDACtest,138,r,false,738.6000000089407,2,r,v,5,,,
9gt,VDACtest,139,r,true,418.70000000298023,2,r,h,1,,,
9gt,VDACtest,140,r,true,489.5,2,r,v,5,,,
9gt,VDACtest,141,r,true,683.2000000029802,1,g,v,0,,,
9gt,VDACtest,142,r,true,425.29999999701977,1,g,v,3,,,
9gt,VDACtest,143,r,false,691.8999999910593,2,r,v,3,,,
9gt,VDACtest,144,r,true,528.7000000029802,2,r,h,5,,,
9gt,VDACtest,145,r,true,428.3999999910593,1,g,v,5,,,
9gt,VDACtest,146,r,true,470.09999999403954,1,g,h,3,,,
9gt,VDACtest,147,r,true,585.5999999940395,2,r,v,4,,,
9gt,VDACtest,148,r,true,450.3999999910593,2,r,v,3,,,
9gt,VDACtest,149,r,true,528.4000000059605,1,g,v,5,,,
9gt,VDACtest,150,r,true,395.20000000298023,1,g,v,1,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
9gt,VDACtest,151,r,true,642.2000000029802,1,g,h,5,,,
9gt,VDACtest,152,r,true,746.8000000119209,2,r,v,0,,,
9gt,VDACtest,153,r,true,473.90000000596046,2,r,h,1,,,
9gt,VDACtest,154,r,true,534.3999999910593,2,r,h,2,,,
9gt,VDACtest,155,r,true,464.5,1,g,h,2,,,
9gt,VDACtest,156,r,null,null,2,r,h,4,,,
9gt,VDACtest,157,r,true,793,1,g,v,4,,,
9gt,VDACtest,158,r,true,432.20000000298023,1,g,v,0,,,
9gt,VDACtest,159,r,true,513.7999999970198,1,g,h,1,,,
9gt,VDACtest,160,r,true,596.5,2,r,v,5,,,
9gt,VDACtest,161,r,true,458,2,r,v,1,,,
9gt,VDACtest,162,r,true,466.1000000089407,1,g,h,0,,,
9gt,VDACtest,163,r,true,777.3000000119209,2,r,v,0,,,
9gt,VDACtest,164,r,true,476.90000000596046,2,r,h,3,,,
9gt,VDACtest,165,r,true,473.09999999403954,1,g,v,4,,,
9gt,VDACtest,166,r,false,561.8999999910593,2,r,v,1,,,
9gt,VDACtest,167,r,false,513,1,g,h,3,,,
9gt,VDACtest,168,r,true,683,1,g,h,0,,,
9gt,VDACtest,169,r,true,634.7999999970198,2,r,h,1,,,
9gt,VDACtest,170,r,true,568.1000000089407,1,g,v,3,,,
9gt,VDACtest,171,r,true,921.7000000029802,2,r,v,1,,,
9gt,VDACtest,172,r,true,479.79999999701977,1,g,v,2,,,
9gt,VDACtest,173,r,false,544.5,2,r,v,4,,,
9gt,VDACtest,174,r,true,738.3000000119209,1,g,v,5,,,
9gt,VDACtest,175,r,true,698.7999999970198,1,g,v,5,,,
9gt,VDACtest,176,r,true,434.79999999701977,2,r,h,2,,,
9gt,VDACtest,177,r,true,419.90000000596046,2,r,h,1,,,
9gt,VDACtest,178,r,false,482.59999999403954,1,g,h,4,,,
9gt,VDACtest,179,r,true,777.5,2,r,v,0,,,
9gt,VDACtest,180,r,true,385.79999999701977,2,r,h,0,,,
9gt,VDACtest,181,r,true,625.5999999940395,2,r,h,2,,,
9gt,VDACtest,182,r,true,633,2,r,v,2,,,
9gt,VDACtest,183,r,true,601.1999999880791,1,g,h,2,,,
9gt,VDACtest,184,r,true,947,2,r,h,3,,,
9gt,VDACtest,185,r,true,409.79999999701977,2,r,h,3,,,
9gt,VDACtest,186,r,true,705.9000000059605,2,r,h,5,,,
9gt,VDACtest,187,r,true,363.20000000298023,2,r,h,5,,,
9gt,VDACtest,188,r,true,755.2000000029802,2,r,h,0,,,
9gt,VDACtest,189,r,true,482.29999999701977,1,g,v,1,,,
9gt,VDACtest,190,r,true,768.2000000029802,2,r,v,4,,,
9gt,VDACtest,191,r,true,707.5,2,r,v,4,,,
9gt,VDACtest,192,r,true,537.8000000119209,2,r,h,0,,,
9gt,VDACtest,193,r,true,639.9000000059605,2,r,h,3,,,
9gt,VDACtest,194,r,true,484.70000000298023,2,r,h,2,,,
9gt,VDACtest,195,r,true,588.7999999970198,1,g,h,1,,,
9gt,VDACtest,196,r,true,627.2000000029802,2,r,v,4,,,
9gt,VDACtest,197,r,true,634.7999999970198,1,g,v,1,,,
9gt,VDACtest,198,r,true,458.29999999701977,2,r,v,2,,,
9gt,VDACtest,199,r,true,457.90000000596046,2,r,h,0,,,
9gt,VDACtest,200,r,true,489.5,2,r,v,1,,,
9gt,RSVPtrain,0,r,true,1720.800000011921,0,b,,0,3,0,
9gt,RSVPtrain,0,r,true,1708.6000000089407,1,g,,3,0,1,
9gt,RSVPtrain,0,r,true,1012.1999999880791,0,b,,3,3,0,
9gt,RSVPtrain,0,r,true,883.2000000029802,1,g,,1,0,1,
9gt,RSVPtrain,0,r,false,1532.5999999940395,1,g,,2,2,2,
9gt,RSVPtrain,0,r,true,1210.7999999970198,1,g,,3,1,1,
9gt,RSVPtrain,0,r,true,899.3999999910593,2,r,,1,1,2,
9gt,RSVPtrain,0,r,false,924.7000000029802,2,r,,3,2,1,
9gt,RSVPtrain,0,r,true,835.2000000029802,0,b,,1,3,0,
9gt,RSVPtrain,0,r,true,1259.2999999970198,2,r,,0,0,2,
9gt,RSVPtest,1,r,true,1057.2000000029802,1,g,,2,2,2,
9gt,RSVPtest,2,r,true,771.5,1,g,,2,0,1,
9gt,RSVPtest,3,r,true,736.7000000029802,2,r,,1,0,1,
9gt,RSVPtest,4,r,true,611.2000000029802,1,g,,0,1,1,
9gt,RSVPtest,5,r,true,778.0999999940395,1,g,,1,0,1,
9gt,RSVPtest,6,r,true,1149,2,r,,3,0,1,
9gt,RSVPtest,7,r,true,902.5,1,g,,3,2,1,
9gt,RSVPtest,8,r,true,708.3999999910593,0,b,,3,3,0,
9gt,RSVPtest,9,r,true,817.5,1,g,,3,0,1,
9gt,RSVPtest,10,r,false,944.0999999940395,0,b,,3,3,0,
9gt,RSVPtest,11,r,true,676.2999999970198,1,g,,1,1,2,
9gt,RSVPtest,12,r,true,706.5999999940395,0,b,,2,3,0,
9gt,RSVPtest,13,r,true,583.5,1,g,,2,0,1,
9gt,RSVPtest,14,r,false,851.2000000029802,0,b,,1,3,0,
9gt,RSVPtest,15,r,true,698.2000000029802,2,r,,2,0,1,
9gt,RSVPtest,16,r,true,624.9000000059605,1,g,,0,0,2,
9gt,RSVPtest,17,r,false,906.5,0,b,,2,3,0,
9gt,RSVPtest,18,r,true,781.4000000059605,0,b,,3,3,0,
9gt,RSVPtest,19,r,true,1069.9000000059605,1,g,,1,1,2,
9gt,RSVPtest,20,r,true,641.3999999910593,2,r,,0,2,1,
9gt,RSVPtest,21,r,true,590.5,0,b,,2,3,0,
9gt,RSVPtest,22,r,false,637.0999999940395,0,b,,3,3,0,
9gt,RSVPtest,23,r,true,1155.4000000059605,2,r,,3,2,1,
9gt,RSVPtest,24,r,true,579.2999999970198,1,g,,0,0,2,
9gt,RSVPtest,25,r,true,851.4000000059605,2,r,,3,1,1,
9gt,RSVPtest,26,r,true,619.5999999940395,2,r,,2,0,1,
9gt,RSVPtest,27,r,true,796.8999999910593,1,g,,3,0,1,
9gt,RSVPtest,28,r,true,694.4000000059605,1,g,,2,1,1,
9gt,RSVPtest,29,r,true,731.3999999910593,1,g,,3,2,1,
9gt,RSVPtest,30,r,false,738.4000000059605,1,g,,3,0,1,
9gt,RSVPtest,31,r,true,740.2999999970198,1,g,,3,0,1,
9gt,RSVPtest,32,r,true,1162.2000000029802,2,r,,3,2,1,
9gt,RSVPtest,33,r,true,727.7000000029802,2,r,,2,0,1,
9gt,RSVPtest,34,r,true,781.2999999970198,1,g,,3,1,1,
9gt,RSVPtest,35,r,true,700.5,0,b,,3,3,0,
9gt,RSVPtest,36,r,false,722.2999999970198,2,r,,3,0,1,
9gt,RSVPtest,37,r,true,560.3999999910593,1,g,,1,0,1,
9gt,RSVPtest,38,r,true,505.59999999403954,2,r,,1,0,1,
9gt,RSVPtest,39,r,true,667.0999999940395,0,b,,3,3,0,
9gt,RSVPtest,40,r,true,786.9000000059605,0,b,,3,3,0,
9gt,RSVPtest,41,r,true,662.7999999970198,1,g,,0,1,1,
9gt,RSVPtest,42,r,true,579.9000000059605,2,r,,0,2,1,
9gt,RSVPtest,43,r,true,564.2999999970198,0,b,,3,3,0,
9gt,RSVPtest,44,r,false,492.3999999910593,1,g,,0,2,1,
9gt,RSVPtest,45,r,false,619.3999999910593,0,b,,0,3,0,
9gt,RSVPtest,46,r,true,826.2999999970198,1,g,,3,2,1,
9gt,RSVPtest,47,r,true,618.5999999940395,2,r,,3,0,1,
9gt,RSVPtest,48,r,true,704.8999999910593,2,r,,3,0,1,
9gt,RSVPtest,49,r,true,564.5,0,b,,3,3,0,
9gt,RSVPtest,50,r,false,1506.5999999940395,2,r,,2,2,2,
9gt,RSVPtest,51,r,true,686.8999999910593,1,g,,3,0,1,
9gt,RSVPtest,52,r,true,647.6000000089407,1,g,,3,1,1,
9gt,RSVPtest,53,r,false,698.7999999970198,0,b,,3,3,0,
9gt,RSVPtest,54,r,true,706.5999999940395,0,b,,2,3,0,
9gt,RSVPtest,55,r,true,685.2000000029802,1,g,,0,1,1,
9gt,RSVPtest,56,r,true,754.4000000059605,2,r,,3,2,1,
9gt,RSVPtest,57,r,false,699.1999999880791,1,g,,0,0,2,
9gt,RSVPtest,58,r,true,618.4000000059605,2,r,,0,1,1,
9gt,RSVPtest,59,r,true,624.5999999940395,0,b,,3,3,0,
9gt,RSVPtest,60,r,true,948,2,r,,1,1,2,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
9gt,RSVPtest,61,r,true,576.8000000119209,0,b,,3,3,0,
