subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
4an,VDACtrain,0,r,null,null,1,g,v,0,,,
4an,VDACtrain,0,r,true,839.7000000476837,2,r,v,4,,,
4an,VDACtrain,0,r,null,null,2,r,h,2,,,
4an,VDACtrain,0,r,true,634.5,1,g,v,2,,,
4an,VDACtrain,0,r,false,605,2,r,v,3,,,
4an,VDACtrain,0,r,true,910.2000000476837,2,r,h,1,,,
4an,VDACtrain,0,r,null,null,2,r,h,0,,,
4an,VDACtrain,0,r,true,700.2000000476837,1,g,h,5,,,
4an,VDACtrain,0,r,true,894.2000000476837,1,g,v,5,,,
4an,VDACtrain,0,r,true,886.7999999523163,1,g,h,3,,,
4an,VDACtest,1,r,false,943.1999999284744,2,r,h,4,,,
4an,VDACtest,2,r,true,549.1999999284744,1,g,v,5,,,
4an,VDACtest,3,r,false,549.1000000238419,2,r,h,0,,,
4an,VDACtest,4,r,true,893.7999999523163,2,r,v,3,,,
4an,VDACtest,5,r,null,null,2,r,h,4,,,
4an,VDACtest,6,r,true,921.2999999523163,2,r,h,1,,,
4an,VDACtest,7,r,false,684.7999999523163,2,r,v,2,,,
4an,VDACtest,8,r,true,940.7999999523163,1,g,v,1,,,
4an,VDACtest,9,r,true,629.8999999761581,1,g,h,0,,,
4an,VDACtest,10,r,true,957.3000000715256,1,g,v,2,,,
4an,VDACtest,11,r,true,789,1,g,h,4,,,
4an,VDACtest,12,r,false,662.1000000238419,1,g,h,5,,,
4an,VDACtest,13,r,true,757.8000000715256,2,r,h,3,,,
4an,VDACtest,14,r,false,813.6000000238419,2,r,h,1,,,
4an,VDACtest,15,r,true,988.5,1,g,v,2,,,
4an,VDACtest,16,r,true,821.5,2,r,h,2,,,
4an,VDACtest,17,r,true,678.3000000715256,2,r,v,3,,,
4an,VDACtest,18,r,true,766.1000000238419,1,g,v,2,,,
4an,VDACtest,19,r,true,495.5,2,r,v,2,,,
4an,VDACtest,20,r,true,499.7999999523163,1,g,h,2,,,
4an,VDACtest,21,r,true,942.3999999761581,2,r,v,0,,,
4an,VDACtest,22,r,false,623.5999999046326,1,g,v,3,,,
4an,VDACtest,23,r,true,668.8999999761581,1,g,h,2,,,
4an,VDACtest,24,r,false,613.6999999284744,2,r,v,1,,,
4an,VDACtest,25,r,true,934.3999999761581,1,g,h,3,,,
4an,VDACtest,26,r,true,813.6999999284744,2,r,h,2,,,
4an,VDACtest,27,r,true,709.2999999523163,1,g,v,0,,,
4an,VDACtest,28,r,false,614.9000000953674,1,g,v,5,,,
4an,VDACtest,29,r,true,748.6000000238419,2,r,h,2,,,
4an,VDACtest,30,r,true,652.1999999284744,2,r,v,1,,,
4an,VDACtest,31,r,true,885.7999999523163,1,g,v,4,,,
4an,VDACtest,32,r,null,null,2,r,h,2,,,
4an,VDACtest,33,r,true,836.1000000238419,2,r,v,4,,,
4an,VDACtest,34,r,null,null,1,g,h,1,,,
4an,VDACtest,35,r,false,624.8000000715256,1,g,v,4,,,
4an,VDACtest,36,r,null,null,1,g,h,2,,,
4an,VDACtest,37,r,true,642.3999999761581,2,r,v,5,,,
4an,VDACtest,38,r,false,526,2,r,h,1,,,
4an,VDACtest,39,r,null,null,2,r,h,2,,,
4an,VDACtest,40,r,false,443.6999999284744,2,r,v,2,,,
4an,VDACtest,41,r,null,null,1,g,v,3,,,
4an,VDACtest,42,r,true,235.29999995231628,2,r,h,3,,,
4an,VDACtest,43,r,true,669.2999999523163,1,g,h,5,,,
4an,VDACtest,44,r,true,725.1000000238419,1,g,h,0,,,
4an,VDACtest,45,r,true,508.60000002384186,1,g,h,5,,,
4an,VDACtest,46,r,true,484.90000009536743,2,r,v,5,,,
4an,VDACtest,47,r,false,486.7999999523163,1,g,v,5,,,
4an,VDACtest,48,r,false,517,1,g,v,5,,,
4an,VDACtest,49,r,true,948.5,2,r,h,2,,,
4an,VDACtest,50,r,false,749.0999999046326,2,r,v,4,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
4an,VDACtest,51,r,true,936.5999999046326,1,g,v,0,,,
4an,VDACtest,52,r,true,660.8999999761581,2,r,h,4,,,
4an,VDACtest,53,r,true,678.8999999761581,1,g,h,1,,,
4an,VDACtest,54,r,true,589,1,g,v,0,,,
4an,VDACtest,55,r,true,708.6999999284744,2,r,v,5,,,
4an,VDACtest,56,r,true,749.2999999523163,2,r,h,4,,,
4an,VDACtest,57,r,null,null,1,g,h,2,,,
4an,VDACtest,58,r,true,836.0999999046326,1,g,h,3,,,
4an,VDACtest,59,r,true,655.1000000238419,2,r,h,0,,,
