subID,trialType,trialNum,cntBalance,correct,rt,rwdType,tgtCol,tgtDir,tgtPos,colPos,colMatch,
xjk,VDACtrain,0,r,null,null,1,g,h,3,,,
xjk,VDACtrain,0,r,false,563.8999996185303,2,r,h,0,,,
xjk,VDACtrain,0,r,false,664.1000003814697,2,r,h,2,,,
xjk,VDACtrain,0,r,true,512.1000003814697,2,r,v,4,,,
xjk,VDACtrain,0,r,true,568.0999984741211,2,r,v,3,,,
xjk,VDACtrain,0,r,true,575,1,g,v,0,,,
xjk,VDACtrain,0,r,true,656.2999992370605,1,g,v,5,,,
xjk,VDACtrain,0,r,false,576.5,1,g,v,2,,,
xjk,VDACtrain,0,r,false,704.7000007629395,2,r,h,1,,,
xjk,VDACtrain,0,r,null,null,1,g,h,5,,,
xjk,VDACtest,1,r,true,626.8999996185303,2,r,h,1,,,
xjk,VDACtest,2,r,false,560.3999996185303,1,g,h,4,,,
xjk,VDACtest,3,r,true,583.2999992370605,2,r,v,0,,,
xjk,VDACtest,4,r,true,536.3999996185303,1,g,h,5,,,
xjk,VDACtest,5,r,false,480.5,1,g,v,4,,,
xjk,VDACtest,6,r,false,551.8000011444092,1,g,h,4,,,
xjk,VDACtest,7,r,true,543.3000011444092,1,g,h,2,,,
xjk,VDACtest,8,r,false,528,2,r,h,5,,,
xjk,VDACtest,9,r,true,631.1000003814697,2,r,v,1,,,
xjk,VDACtest,10,r,true,696.6000003814697,1,g,h,0,,,
xjk,VDACtest,11,r,true,608.6999988555908,2,r,h,1,,,
xjk,VDACtest,12,r,false,815.2999992370605,1,g,v,4,,,
xjk,VDACtest,13,r,true,680.3000011444092,2,r,h,4,,,
xjk,VDACtest,14,r,true,769.1000003814697,1,g,h,1,,,
xjk,VDACtest,15,r,true,679.8000011444092,1,g,v,5,,,
xjk,VDACtest,16,r,true,800.8999996185303,1,g,v,5,,,
xjk,VDACtest,17,r,true,656.5,2,r,v,4,,,
xjk,VDACtest,18,r,true,625.6000003814697,2,r,h,3,,,
xjk,VDACtest,19,r,true,712,1,g,h,5,,,
xjk,VDACtest,20,r,true,639.3000011444092,1,g,h,0,,,
xjk,VDACtest,21,r,true,441.3999996185303,2,r,v,5,,,
xjk,VDACtest,22,r,true,518.5,2,r,v,5,,,
xjk,VDACtest,23,r,true,544.1000003814697,1,g,v,0,,,
xjk,VDACtest,24,r,false,512.2000007629395,2,r,h,5,,,
xjk,VDACtest,25,r,true,641,1,g,v,3,,,
xjk,VDACtest,26,r,true,624.7000007629395,1,g,v,2,,,
xjk,VDACtest,27,r,true,608.6999988555908,2,r,v,4,,,
xjk,VDACtest,28,r,false,489.1000003814697,2,r,h,5,,,
xjk,VDACtest,29,r,true,583,2,r,v,3,,,
xjk,VDACtest,30,r,true,638.5999984741211,1,g,h,4,,,
xjk,VDACtest,31,r,true,528.9000015258789,2,r,h,5,,,
xjk,VDACtest,32,r,true,513.3999996185303,2,r,h,4,,,
xjk,VDACtest,33,r,true,976.4000015258789,1,g,v,2,,,
xjk,VDACtest,34,r,true,889.5,1,g,h,0,,,
xjk,VDACtest,35,r,true,697.3000011444092,1,g,h,0,,,
xjk,VDACtest,36,r,true,663.3000011444092,2,r,h,2,,,
xjk,VDACtest,37,r,true,591.4000015258789,1,g,h,3,,,
xjk,VDACtest,38,r,true,896.2999992370605,2,r,v,3,,,
xjk,VDACtest,39,r,true,649.2000007629395,1,g,h,1,,,
xjk,VDACtest,40,r,true,688.6000003814697,1,g,v,1,,,
xjk,VDACtest,41,r,true,512.1999988555908,1,g,v,4,,,
xjk,VDACtest,42,r,true,607.1000003814697,1,g,h,1,,,
xjk,VDACtest,43,r,true,544.2000007629395,2,r,v,0,,,
xjk,VDACtest,44,r,false,505.5,2,r,v,2,,,
xjk,VDACtest,45,r,true,679.5,1,g,v,1,,,
xjk,VDACtest,46,r,true,760,2,r,h,0,,,
xjk,VDACtest,47,r,true,609.0999984741211,1,g,h,5,,,
xjk,VDACtest,48,r,true,849,1,g,h,3,,,
xjk,VDACtest,49,r,true,601.3999996185303,1,g,v,3,,,
xjk,VDACtest,50,r,true,770.3000011444092,2,r,v,2,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
xjk,VDACtest,51,r,true,862.7000007629395,2,r,h,5,,,
xjk,VDACtest,52,r,true,528.7999992370605,1,g,v,3,,,
xjk,VDACtest,53,r,true,654.9000015258789,1,g,h,0,,,
xjk,VDACtest,54,r,true,530.1999988555908,1,g,h,5,,,
xjk,VDACtest,55,r,true,534.5,2,r,v,4,,,
xjk,VDACtest,56,r,true,720,2,r,v,1,,,
xjk,VDACtest,57,r,true,648.4000015258789,1,g,h,3,,,
xjk,VDACtest,58,r,true,615,2,r,h,2,,,
xjk,VDACtest,59,r,true,736.8999996185303,1,g,h,1,,,
xjk,VDACtest,60,r,false,487.8999996185303,2,r,h,5,,,
xjk,VDACtest,61,r,true,639.2000007629395,1,g,v,1,,,
xjk,VDACtest,62,r,true,649.1000003814697,2,r,v,2,,,
xjk,VDACtest,63,r,true,521.5,2,r,v,3,,,
xjk,VDACtest,64,r,true,648.7000007629395,2,r,v,3,,,
xjk,VDACtest,65,r,true,993.8999996185303,2,r,h,2,,,
xjk,VDACtest,66,r,true,615.1000003814697,1,g,v,4,,,
xjk,VDACtest,67,r,true,562,1,g,v,3,,,
xjk,VDACtest,68,r,true,562.6999988555908,2,r,h,2,,,
xjk,VDACtest,69,r,true,446.20000076293945,1,g,h,3,,,
xjk,VDACtest,70,r,true,505,2,r,v,4,,,
xjk,VDACtest,71,r,true,712.5,1,g,h,1,,,
xjk,VDACtest,72,r,true,639.2999992370605,1,g,v,0,,,
xjk,VDACtest,73,r,true,872.3999996185303,1,g,h,5,,,
xjk,VDACtest,74,r,null,null,2,r,v,4,,,
xjk,VDACtest,75,r,true,665.2000007629395,2,r,h,0,,,
xjk,VDACtest,76,r,true,758.0999984741211,2,r,h,1,,,
xjk,VDACtest,77,r,true,639.2999992370605,2,r,v,0,,,
xjk,VDACtest,78,r,true,616.8999996185303,1,g,h,0,,,
xjk,VDACtest,79,r,true,630.3999996185303,1,g,h,1,,,
xjk,VDACtest,80,r,true,679.5,2,r,v,4,,,
xjk,VDACtest,81,r,null,null,2,r,v,5,,,
xjk,VDACtest,82,r,false,672.5,1,g,v,3,,,
xjk,VDACtest,83,r,true,711.9000015258789,1,g,v,5,,,
xjk,VDACtest,84,r,true,586,2,r,v,5,,,
xjk,VDACtest,85,r,true,472.4000015258789,2,r,v,5,,,
xjk,VDACtest,86,r,true,703.8999996185303,2,r,h,1,,,
xjk,VDACtest,87,r,true,633.2999992370605,2,r,v,1,,,
xjk,VDACtest,88,r,true,607.3999996185303,2,r,v,4,,,
xjk,VDACtest,89,r,true,615,1,g,h,1,,,
xjk,VDACtest,90,r,true,785.8999996185303,1,g,h,5,,,
xjk,VDACtest,91,r,true,687.8000011444092,2,r,h,4,,,
xjk,VDACtest,92,r,true,631,1,g,h,0,,,
xjk,VDACtest,93,r,true,680.2000007629395,2,r,h,1,,,
xjk,VDACtest,94,r,true,582.7999992370605,1,g,h,2,,,
xjk,VDACtest,95,r,true,552.8999996185303,2,r,h,3,,,
xjk,VDACtest,96,r,true,625.2000007629395,2,r,v,2,,,
xjk,VDACtest,97,r,true,736.7000007629395,1,g,v,4,,,
xjk,VDACtest,98,r,true,503.6000003814697,2,r,h,2,,,
xjk,VDACtest,99,r,true,649.6000003814697,1,g,h,3,,,
xjk,VDACtest,100,r,true,655.8999996185303,1,g,v,0,,,
brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,brk,
xjk,VDACtest,101,r,true,665.1999988555908,1,g,v,0,,,
xjk,VDACtest,102,r,false,606.8999996185303,1,g,v,1,,,
xjk,VDACtest,103,r,true,481.3000011444092,1,g,v,2,,,
xjk,VDACtest,104,r,true,656.8999996185303,1,g,h,1,,,
xjk,VDACtest,105,r,true,518.3999996185303,1,g,v,1,,,
xjk,VDACtest,106,r,true,545.3999996185303,1,g,v,5,,,
xjk,VDACtest,107,r,true,512.7999992370605,1,g,v,5,,,
xjk,VDACtest,108,r,true,736.5,2,r,v,1,,,
xjk,VDACtest,109,r,true,664.8999996185303,2,r,h,4,,,
